#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,access to electricity pct of population,0.56479,True,0.46746,True,Decision
2,mortality rate under-5 per 1000 live births,-0.55827,True,-0.46678,True,Decision
3,life expectancy at birth female years,0.55302,True,0.46879,True,Decision
4,mortality rate infant per 1000 live births,-0.55029,True,-0.46412,True,Decision
5,survival to age 65 female pct of cohort,0.54558,True,0.44751,True,Decision
6,access to electricity urban pct of urban population,0.54461,True,0.47656,True,Decision
7,fertility rate total births per woman,-0.54152,True,-0.42513,True,Decision
8,life expectancy at birth total years,0.54001,True,0.45004,True,Decision
9,mortality rate adult female per 1000 female adults,-0.53274,True,-0.44184,True,Decision
10,population ages 0-4 female pct of female population,-0.52897,True,-0.46234,True,Decision
11,lifetime risk of maternal death pct,-0.52684,True,-0.45529,True,Decision
12,maternal mortality ratio modeled estimate per 100000 live births,-0.52364,True,-0.44912,True,Decision
13,birth rate crude per 1000 people,-0.52297,True,-0.41774,True,Decision
14,life expectancy at birth male years,0.51813,True,0.43141,True,Decision
15,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.51712,True,-0.4708,True,Decision
16,prevalence of anemia among children pct of children under 5,-0.51668,True,-0.44818,True,Decision
17,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.51336,True,-0.46887,True,Decision
18,population ages 5-9 female pct of female population,-0.51205,True,-0.48013,True,Decision
19,population ages 0-14 female pct of total,-0.5117,True,-0.47462,True,Decision
20,age dependency ratio young pct of working-age population,-0.50926,True,-0.43194,True,Decision
21,mortality rate neonatal per 1000 live births,-0.50357,True,-0.44907,True,Decision
22,population ages 0-4 male pct of male population,-0.49333,True,-0.41099,True,Decision
23,population ages 0-14 pct of total,-0.48664,True,-0.43674,True,Decision
24,immunization measles pct of children ages 12-23 months,0.48303,True,0.40004,True,Decision
25,immunization dpt pct of children ages 12-23 months,0.48226,True,0.39104,True,Decision
26,population ages 15-64 female pct of total,0.47495,True,0.39061,True,Decision
27,access to electricity rural pct of rural population,0.4747,True,0.43316,True,Decision
28,age dependency ratio pct of working-age population,-0.47415,True,-0.36671,True,Decision
29,population ages 55-59 female pct of female population,0.47371,True,0.49349,True,Decision
30,survival to age 65 male pct of cohort,0.47124,True,0.40598,True,Decision
31,population ages 50-54 female pct of female population,0.46978,True,0.47328,True,Decision
32,adolescent fertility rate births per 1000 women ages 15-19,-0.46846,True,-0.35298,True,Decision
33,population ages 0-14 male pct of total,-0.46671,True,-0.42596,True,Decision
34,population ages 5-9 male pct of male population,-0.46636,True,-0.43084,True,Decision
35,population ages 45-49 female pct of female population,0.46034,True,0.44768,True,Decision
36,population ages 10-14 female pct of female population,-0.45543,True,-0.45326,True,Decision
37,population ages 55-59 male pct of male population,0.44795,True,0.46532,True,Decision
38,population ages 60-64 female pct of female population,0.44131,True,0.47102,True,Decision
39,mortality rate adult male per 1000 male adults,-0.44021,True,-0.3847,True,Decision
40,population ages 15-64 pct of total,0.43257,True,0.36593,True,Decision
41,total natural resources rents pct of gdp,-0.43013,True,-0.38268,True,Decision
42,population ages 60-64 male pct of male population,0.42561,True,0.45778,True,Decision
43,population ages 50-54 male pct of male population,0.42317,True,0.42122,True,Decision
44,population ages 15-64 male pct of total,0.41275,True,0.35504,True,Decision
45,renewable energy consumption pct of total final energy consumption,-0.41021,True,-0.30342,True,Decision
46,population ages 65-69 female pct of female population,0.40243,True,0.45484,True,Decision
47,population ages 45-49 male pct of male population,0.4012,True,0.37612,True,Decision
48,population ages 65 and above pct of total,0.39995,True,0.46902,True,Decision
49,population ages 65 and above male pct of total,0.39976,True,0.46871,True,Decision
