#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,co2 emissions from gaseous fuel consumption kt,0.20282,True,0.06744,True,Decision
2,co2 emissions from liquid fuel consumption kt,0.19073,True,0.06481,True,Decision
3,forest area sq. km,0.10403,True,0.0623,True,Decision
4,agricultural land sq. km,0.09598,True,0.08353,True,Decision
5,co2 emissions kt,0.09269,True,0.06402,True,Decision
6,surface area sq. km,0.09206,True,0.05538,True,Decision
7,land area sq. km,0.09097,True,0.05316,True,Decision
8,fixed telephone subscriptions,0.08469,True,0.06464,True,Decision
9,co2 emissions metric tons per capita,0.07517,True,0.04652,True,Decision
10,cereal production metric tons,0.07302,True,0.06667,True,Decision
11,land under cereal production hectares,0.06878,True,0.07204,True,Decision
12,mobile cellular subscriptions per 100 people,-0.06064,True,-0.06346,True,Decision
13,fixed telephone subscriptions per 100 people,0.05524,True,0.04493,True,Decision
14,arable land hectares per person,0.05077,True,0.07179,True,Decision
15,food production index 2004-2006 = 100,-0.04869,True,-0.06705,True,Decision
16,crop production index 2004-2006 = 100,-0.04485,True,-0.059,True,Decision
17,co2 emissions from solid fuel consumption kt,0.04293,True,0.06443,True,Decision
18,temparature ($^\circ$c),-0.03892,True,-0.04662,True,Decision
19,population ages 65 and above female,0.03727,True,0.06413,True,Decision
20,urban population,0.03714,True,0.06775,True,Decision
21,livestock production index 2004-2006 = 100,-0.03636,True,-0.05462,True,Decision
22,population ages 25-29 female pct of female population,-0.03562,True,-0.03797,True,Decision
23,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.0341,True,0.03662,True,Decision
24,capture fisheries production metric tons,0.03383,False,0.06616,True,Decision
25,permanent cropland pct of land area,-0.03212,False,-0.03906,True,Decision
26,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.03141,False,0.0364,True,Decision
27,population ages 65 and above total,0.03104,False,0.06473,True,Decision
33,population ages 25-29 male pct of male population,-0.02634,False,-0.03622,True,Decision
36,energy intensity level of primary energy mj  2011 ppp gdp,0.02456,False,0.05286,True,Decision
38,population ages 65 and above male,0.02427,False,0.06524,True,Decision
46,co2 emissions from solid fuel consumption pct of total,0.02323,False,0.03408,True,Decision
52,population ages 0-14 female,0.0215,False,0.06983,True,Decision
57,population ages 0-14 total,0.02014,False,0.06984,True,Decision
60,population ages 0-14 male,0.01893,False,0.06996,True,Decision
61,population female,0.01889,False,0.07147,True,Decision
65,population male,0.01591,False,0.06834,True,Decision
67,natural gas rents pct of gdp,0.0155,False,0.05329,True,Decision
68,population ages 15-64 female,0.01548,False,0.0702,True,Decision
70,population density people per sq. km of land area,-0.01537,False,-0.03575,True,Decision
72,population ages 15-64 total,0.0146,False,0.0702,True,Decision
78,population ages 15-64 male,0.01377,False,0.07016,True,Decision
79,contributing family workers total pct of total employment modeled ilo estimate,-0.01364,False,-0.03572,True,Decision
82,labor force total,0.01338,False,0.06881,True,Decision
112,number of under-five deaths,0.00945,False,0.05051,True,Decision
113,number of infant deaths,0.00944,False,0.05202,True,Decision
114,contributing family workers male pct of male employment modeled ilo estimate,-0.00942,False,-0.03548,True,Decision
116,number of neonatal deaths,0.00905,False,0.05497,True,Decision
119,population total,0.00844,False,0.04151,True,Decision
136,number of maternal deaths,0.00632,False,0.03498,True,Decision
175,coal rents pct of gdp,-0.00204,False,0.05837,True,Decision
182,total fisheries production metric tons,-0.00122,False,0.05446,True,Decision
190,rural population,-0.00021,False,0.06883,True,Decision
28,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.0299,False,0.03215,False,Decision
29,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.02861,False,0.03181,False,Decision
30,rainfall (mm),-0.02855,False,-0.02242,False,Decision
31,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.02709,False,-0.03385,False,Decision
