#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,employment in industry female pct of female employment modeled ilo estimate,0.03539,True,0.0206,False
2,immunization dpt pct of children ages 12-23 months,-0.02883,False,-0.01891,False
3,immunization measles pct of children ages 12-23 months,-0.02701,False,-0.01904,False
4,access to electricity rural pct of rural population,-0.02644,False,-0.01799,False
5,prevalence of anemia among children pct of children under 5,0.02488,False,0.01929,False
6,unemployment female pct of female labor force modeled ilo estimate,0.02278,False,0.01775,False
7,renewable energy consumption pct of total final energy consumption,0.02232,False,0.01748,False
8,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.02208,False,-0.01817,False
9,employment in services female pct of female employment modeled ilo estimate,-0.02173,False,-0.01903,False
10,fertility rate total births per woman,0.02165,False,0.01711,False
11,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.02158,False,-0.01684,False
12,mortality rate neonatal per 1000 live births,0.02156,False,0.01774,False
13,employment to population ratio 15+ female pct modeled ilo estimate,-0.02129,False,-0.01707,False
14,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.02095,False,-0.01659,False
15,employment in services pct of total employment modeled ilo estimate,-0.02075,False,-0.01842,False
16,birth rate crude per 1000 people,0.02043,False,0.01715,False
17,population ages 0-4 female pct of female population,0.02038,False,0.01748,False
18,population ages 0-4 male pct of male population,0.02034,False,0.01743,False
19,co2 emissions from liquid fuel consumption pct of total,0.02025,False,0.01867,False
20,access to electricity pct of population,-0.02009,False,-0.01583,False
21,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.01994,False,-0.01681,False
22,employment in services male pct of male employment modeled ilo estimate,-0.01988,False,-0.01851,False
23,mobile cellular subscriptions per 100 people,-0.01972,False,-0.01992,False
24,employment in agriculture male pct of male employment modeled ilo estimate,0.01959,False,0.01707,False
25,age dependency ratio young pct of working-age population,0.01944,False,0.01693,False
26,age dependency ratio pct of working-age population,0.01937,False,0.01701,False
27,population ages 15-64 female pct of total,-0.01936,False,-0.01701,False
28,secondary education duration years,-0.01918,False,-0.02042,False
29,population ages 15-64 pct of total,-0.01885,False,-0.01701,False
30,population ages 0-14 pct of total,0.01867,False,0.01682,False
31,population ages 0-14 female pct of total,0.01865,False,0.0169,False
32,population ages 0-14 male pct of total,0.01845,False,0.01672,False
33,population ages 15-64 male pct of total,-0.01839,False,-0.01679,False
34,employment to population ratio 15+ total pct modeled ilo estimate,-0.01818,False,-0.01771,False
35,population ages 5-9 female pct of female population,0.0181,False,0.01622,False
36,population ages 5-9 male pct of male population,0.01791,False,0.01608,False
37,mortality rate infant per 1000 live births,0.01789,False,0.01635,False
38,mortality rate under-5 per 1000 live births,0.01779,False,0.01655,False
39,labor force female pct of total labor force,-0.01772,False,-0.0157,False
40,employment in agriculture pct of total employment modeled ilo estimate,0.01756,False,0.01648,False
41,population ages 40-44 female pct of female population,-0.01712,False,-0.0159,False
42,unemployment total pct of total labor force modeled ilo estimate,0.01669,False,0.01747,False
43,life expectancy at birth total years,-0.01667,False,-0.01535,False
44,population ages 45-49 male pct of male population,-0.01665,False,-0.01626,False
45,life expectancy at birth male years,-0.01662,False,-0.01549,False
46,population ages 45-49 female pct of female population,-0.01654,False,-0.01559,False
47,life expectancy at birth female years,-0.01653,False,-0.015,False
48,population ages 40-44 male pct of male population,-0.01638,False,-0.01639,False
49,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,-0.01628,False,-0.01683,False
50,population ages 50-54 male pct of male population,-0.01602,False,-0.01596,False
51,population ages 50-54 female pct of female population,-0.01596,False,-0.01596,False
