#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,oil rents pct of gdp,0.25001,True,0.07467,True,Decision
2,total natural resources rents pct of gdp,0.21161,True,0.09346,True,Decision
3,immunization measles pct of children ages 12-23 months,-0.17155,True,-0.10674,True,Decision
4,immunization dpt pct of children ages 12-23 months,-0.15338,True,-0.10364,True,Decision
5,adolescent fertility rate births per 1000 women ages 15-19,0.14901,True,0.10878,True,Decision
6,fertility rate total births per woman,0.12968,True,0.10043,True,Decision
7,birth rate crude per 1000 people,0.12878,True,0.09711,True,Decision
8,age dependency ratio pct of working-age population,0.12694,True,0.10121,True,Decision
9,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,0.12519,True,0.05051,True,Decision
10,unemployment total pct of total labor force modeled ilo estimate,0.1242,True,0.05292,True,Decision
11,population ages 15-64 female pct of total,-0.12332,True,-0.10312,True,Decision
12,mortality rate under-5 per 1000 live births,0.12242,True,0.08773,True,Decision
13,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,0.1211,True,0.05003,True,Decision
14,population ages 0-4 male pct of male population,0.11971,True,0.09564,True,Decision
15,age dependency ratio young pct of working-age population,0.11964,True,0.0986,True,Decision
16,access to electricity urban pct of urban population,-0.11881,True,-0.07934,True,Decision
17,mortality rate infant per 1000 live births,0.11779,True,0.08803,True,Decision
18,population ages 15-64 pct of total,-0.11762,True,-0.10084,True,Decision
19,population ages 0-4 female pct of female population,0.11631,True,0.09404,True,Decision
20,unemployment male pct of male labor force modeled ilo estimate,0.11529,True,0.04954,True,Decision
21,mobile cellular subscriptions per 100 people,-0.11341,True,-0.10729,True,Decision
22,life expectancy at birth male years,-0.11256,True,-0.09083,True,Decision
23,population ages 15-64 male pct of total,-0.1123,True,-0.09759,True,Decision
24,access to electricity pct of population,-0.1106,True,-0.07054,True,Decision
25,life expectancy at birth total years,-0.10883,True,-0.08541,True,Decision
27,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.10703,True,0.12144,True,Decision
28,population ages 0-14 male pct of total,0.10654,True,0.09582,True,Decision
29,population ages 0-14 pct of total,0.10634,True,0.09612,True,Decision
30,population ages 0-14 female pct of total,0.10463,True,0.09432,True,Decision
31,life expectancy at birth female years,-0.10449,True,-0.0855,True,Decision
32,survival to age 65 male pct of cohort,-0.10438,True,-0.09198,True,Decision
33,survival to age 65 female pct of cohort,-0.10396,True,-0.08815,True,Decision
34,access to electricity rural pct of rural population,-0.10314,True,-0.06511,True,Decision
35,mortality rate neonatal per 1000 live births,0.10298,True,0.085,True,Decision
37,population ages 5-9 male pct of male population,0.10226,True,0.09504,True,Decision
38,population ages 5-9 female pct of female population,0.1009,True,0.09541,True,Decision
39,lifetime risk of maternal death pct,0.10057,True,0.08369,True,Decision
40,urban population growth annual pct,0.10034,True,0.08501,True,Decision
41,death rate crude per 1000 people,0.09886,True,0.10227,True,Decision
42,mortality rate adult female per 1000 female adults,0.09562,True,0.0933,True,Decision
43,ratio of female to male labor force participation rate pct modeled ilo estimate,0.09508,True,0.11132,True,Decision
44,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.09445,True,0.10232,True,Decision
45,mortality rate adult male per 1000 male adults,0.09421,True,0.09229,True,Decision
46,renewable electricity output pct of total electricity output,0.09333,True,0.07451,True,Decision
47,population ages 35-39 female pct of female population,-0.08986,True,-0.07816,True,Decision
48,employment in industry pct of total employment modeled ilo estimate,-0.08897,True,-0.07092,True,Decision
49,population ages 55-59 male pct of male population,-0.08894,True,-0.0958,True,Decision
50,population growth annual pct,0.08744,True,0.09404,True,Decision
51,population ages 40-44 female pct of female population,-0.0859,True,-0.07691,True,Decision
52,population ages 45-49 male pct of male population,-0.08564,True,-0.07808,True,Decision
53,unemployment female pct of female labor force modeled ilo estimate,0.08563,True,0.05114,True,Decision
54,renewable energy consumption pct of total final energy consumption,0.08503,True,0.06269,True,Decision
55,population ages 10-14 female pct of female population,0.08473,True,0.0897,True,Decision
56,population ages 10-14 male pct of male population,0.08402,True,0.08855,True,Decision
57,population ages 45-49 female pct of female population,-0.08378,True,-0.08066,True,Decision
58,population ages 55-59 female pct of female population,-0.08329,True,-0.09462,True,Decision
59,wage and salaried workers female pct of female employment modeled ilo estimate,-0.08186,True,-0.05997,True,Decision
60,self-employed female pct of female employment modeled ilo estimate,0.08185,True,0.05997,True,Decision
61,population ages 50-54 male pct of male population,-0.08175,True,-0.0851,True,Decision
62,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.0811,True,0.0962,True,Decision
63,labor force female pct of total labor force,0.08062,True,0.11883,True,Decision
64,vulnerable employment female pct of female employment modeled ilo estimate,0.08062,True,0.06116,True,Decision
65,population ages 40-44 male pct of male population,-0.08031,True,-0.07345,True,Decision
66,maternal mortality ratio modeled estimate per 100000 live births,0.08027,True,0.08076,True,Decision
67,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.07817,True,0.08816,True,Decision
68,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,0.07797,True,0.03676,True,Decision
69,population ages 30-34 female pct of female population,-0.07741,True,-0.09738,True,Decision
70,population ages 50-54 female pct of female population,-0.07657,True,-0.08123,True,Decision
71,population ages 60-64 male pct of male population,-0.07559,True,-0.08705,True,Decision
72,population ages 60-64 female pct of female population,-0.07437,True,-0.08594,True,Decision
73,population ages 35-39 male pct of male population,-0.07423,True,-0.07449,True,Decision
74,wage and salaried workers total pct of total employment modeled ilo estimate,-0.07341,True,-0.05283,True,Decision
75,self-employed total pct of total employment modeled ilo estimate,0.07341,True,0.05283,True,Decision
76,vulnerable employment total pct of total employment modeled ilo estimate,0.07253,True,0.05325,True,Decision
77,rural population growth annual pct,0.07142,True,0.09109,True,Decision
78,population ages 65-69 male pct of male population,-0.06862,True,-0.08213,True,Decision
79,lower secondary school starting age years,-0.06775,True,-0.04029,True,Decision
80,employment in industry female pct of female employment modeled ilo estimate,-0.06732,True,-0.07323,True,Decision
81,employment in industry male pct of male employment modeled ilo estimate,-0.06663,True,-0.06349,True,Decision
82,population ages 65-69 female pct of female population,-0.06657,True,-0.08244,True,Decision
83,individuals using the internet pct of population,-0.06641,True,-0.07436,True,Decision
84,employment to population ratio 15+ female pct modeled ilo estimate,0.06564,True,0.08139,True,Decision
85,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.06563,True,0.04534,True,Decision
86,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.06516,True,0.04503,True,Decision
87,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.06185,True,0.06747,True,Decision
88,population ages 70-74 male pct of male population,-0.06174,True,-0.08078,True,Decision
89,population ages 30-34 male pct of male population,-0.06139,True,-0.08664,True,Decision
90,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.06068,True,0.0707,True,Decision
91,population ages 65 and above male pct of total,-0.06049,True,-0.07978,True,Decision
92,prevalence of anemia among children pct of children under 5,0.06021,True,0.04321,True,Decision
93,population ages 15-19 male pct of male population,0.0593,True,0.0685,True,Decision
94,population ages 15-19 female pct of female population,0.05904,True,0.07368,True,Decision
95,self-employed male pct of male employment modeled ilo estimate,0.05899,True,0.05022,True,Decision
96,wage and salaried workers male pct of male employment modeled ilo estimate,-0.05899,True,-0.05022,True,Decision
98,cereal yield kg per hectare,-0.05858,True,-0.07749,True,Decision
99,vulnerable employment male pct of male employment modeled ilo estimate,0.05773,True,0.05004,True,Decision
100,population ages 65 and above pct of total,-0.05669,True,-0.07866,True,Decision
101,rural population pct of total population,0.05645,True,0.0559,True,Decision
102,urban population pct of total,-0.05645,True,-0.0559,True,Decision
103,population ages 70-74 female pct of female population,-0.05642,True,-0.07505,True,Decision
104,forest area sq. km,0.05616,True,0.07954,True,Decision
105,population ages 75-79 male pct of male population,-0.05483,True,-0.07752,True,Decision
106,employment in agriculture female pct of female employment modeled ilo estimate,0.05428,True,0.05182,True,Decision
107,population ages 65 and above female pct of total,-0.05387,True,-0.07544,True,Decision
108,food production index 2004-2006 = 100,-0.0536,True,-0.06618,True,Decision
109,co2 emissions from liquid fuel consumption pct of total,-0.0516,True,-0.05588,True,Decision
110,crop production index 2004-2006 = 100,-0.05042,True,-0.0646,True,Decision
111,age dependency ratio old pct of working-age population,-0.05035,True,-0.06897,True,Decision
112,population ages 80 and above male pct of male population,-0.04961,True,-0.07063,True,Decision
113,population ages 75-79 female pct of female population,-0.0495,True,-0.06987,True,Decision
114,agricultural land sq. km,0.04805,True,0.07741,True,Decision
115,lifetime risk of maternal death 1 in  rate varies by country,-0.04733,True,-0.07541,True,Decision
116,contributing family workers male pct of male employment modeled ilo estimate,0.04521,True,0.04311,True,Decision
117,population ages 80 and above female pct of female population,-0.04311,True,-0.06743,True,Decision
118,employment in agriculture pct of total employment modeled ilo estimate,0.04197,True,0.03601,True,Decision
119,co2 emissions from solid fuel consumption pct of total,-0.04159,True,-0.05956,True,Decision
120,livestock production index 2004-2006 = 100,-0.04154,True,-0.03667,True,Decision
121,surface area sq. km,0.04114,True,0.06519,True,Decision
122,land area sq. km,0.0407,True,0.06276,True,Decision
124,preprimary education duration years,0.0406,True,0.04143,True,Decision
125,forest area pct of land area,0.04009,True,0.04938,True,Decision
126,gdp per person employed constant 2011 ppp  ,-0.03835,True,-0.04441,True,Decision
127,population ages 25-29 female pct of female population,-0.03829,True,-0.04772,True,Decision
128,population ages 25-29 male pct of male population,-0.03729,True,-0.04917,True,Decision
129,employment in services female pct of female employment modeled ilo estimate,-0.036,True,-0.03532,True,Decision
130,employment to population ratio 15+ total pct modeled ilo estimate,0.03417,True,0.04661,True,Decision
131,mineral rents pct of gdp,-0.03316,False,-0.08552,True,Decision
