#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,life expectancy at birth female years,0.44913,True,0.43737,True,Decision
2,mobile cellular subscriptions per 100 people,0.44888,True,0.468,True,Decision
3,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.43699,True,-0.43332,True,Decision
4,life expectancy at birth total years,0.43687,True,0.41519,True,Decision
5,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.4356,True,-0.43223,True,Decision
6,mortality rate infant per 1000 live births,-0.43156,True,-0.43846,True,Decision
7,survival to age 65 female pct of cohort,0.42402,True,0.40174,True,Decision
8,mortality rate under-5 per 1000 live births,-0.42266,True,-0.44063,True,Decision
9,population ages 55-59 female pct of female population,0.4219,True,0.42918,True,Decision
10,mortality rate neonatal per 1000 live births,-0.42124,True,-0.43156,True,Decision
11,life expectancy at birth male years,0.41753,True,0.39726,True,Decision
12,population ages 80 and above male pct of male population,0.41362,True,0.45085,True,Decision
13,prevalence of anemia among children pct of children under 5,-0.41178,True,-0.39099,True,Decision
14,employment in agriculture female pct of female employment modeled ilo estimate,-0.40949,True,-0.34987,True,Decision
15,access to electricity pct of population,0.40432,True,0.38791,True,Decision
16,employment in services pct of total employment modeled ilo estimate,0.40308,True,0.39018,True,Decision
17,population ages 55-59 male pct of male population,0.40216,True,0.41324,True,Decision
18,employment in services female pct of female employment modeled ilo estimate,0.40197,True,0.36536,True,Decision
19,mortality rate adult female per 1000 female adults,-0.39842,True,-0.37862,True,Decision
20,population ages 80 and above female pct of female population,0.39569,True,0.43658,True,Decision
21,employment in agriculture pct of total employment modeled ilo estimate,-0.39508,True,-0.37056,True,Decision
22,population ages 5-9 female pct of female population,-0.3942,True,-0.38372,True,Decision
23,population ages 60-64 female pct of female population,0.39313,True,0.39502,True,Decision
24,maternal mortality ratio modeled estimate per 100000 live births,-0.39131,True,-0.40684,True,Decision
25,population ages 0-14 female pct of total,-0.39114,True,-0.3781,True,Decision
26,population ages 0-4 female pct of female population,-0.38861,True,-0.36186,True,Decision
27,individuals using the internet pct of population,0.38805,True,0.42736,True,Decision
28,population ages 60-64 male pct of male population,0.38783,True,0.39276,True,Decision
29,population ages 65 and above pct of total,0.38514,True,0.40963,True,Decision
30,population ages 65 and above male pct of total,0.38477,True,0.41439,True,Decision
31,birth rate crude per 1000 people,-0.38474,True,-0.33057,True,Decision
32,population ages 65 and above female pct of total,0.38237,True,0.4061,True,Decision
33,fertility rate total births per woman,-0.38195,True,-0.30361,True,Decision
34,population ages 75-79 male pct of male population,0.38193,True,0.4187,True,Decision
35,vulnerable employment female pct of female employment modeled ilo estimate,-0.38029,True,-0.3323,True,Decision
36,lifetime risk of maternal death pct,-0.37953,True,-0.41059,True,Decision
37,age dependency ratio old pct of working-age population,0.37842,True,0.41237,True,Decision
38,population ages 50-54 female pct of female population,0.37628,True,0.38013,True,Decision
39,population ages 0-14 pct of total,-0.37598,True,-0.35548,True,Decision
40,population ages 70-74 male pct of male population,0.3755,True,0.40405,True,Decision
41,self-employed female pct of female employment modeled ilo estimate,-0.37499,True,-0.32895,True,Decision
42,wage and salaried workers female pct of female employment modeled ilo estimate,0.37499,True,0.32895,True,Decision
43,age dependency ratio young pct of working-age population,-0.37492,True,-0.3389,True,Decision
44,population ages 75-79 female pct of female population,0.37341,True,0.40745,True,Decision
45,access to electricity urban pct of urban population,0.37168,True,0.37076,True,Decision
46,survival to age 65 male pct of cohort,0.37081,True,0.35888,True,Decision
47,population ages 10-14 female pct of female population,-0.3702,True,-0.36998,True,Decision
48,population ages 70-74 female pct of female population,0.37011,True,0.39132,True,Decision
49,vulnerable employment total pct of total employment modeled ilo estimate,-0.3696,True,-0.31779,True,Decision
50,self-employed total pct of total employment modeled ilo estimate,-0.36708,True,-0.32286,True,Decision
51,wage and salaried workers total pct of total employment modeled ilo estimate,0.36708,True,0.32286,True,Decision
52,employment in agriculture male pct of male employment modeled ilo estimate,-0.36655,True,-0.33588,True,Decision
53,population ages 0-4 male pct of male population,-0.36641,True,-0.32847,True,Decision
54,population ages 5-9 male pct of male population,-0.36564,True,-0.35601,True,Decision
55,population ages 0-14 male pct of total,-0.36262,True,-0.3516,True,Decision
56,immunization dpt pct of children ages 12-23 months,0.3596,True,0.27741,True,Decision
57,vulnerable employment male pct of male employment modeled ilo estimate,-0.3542,True,-0.3044,True,Decision
58,population ages 65-69 female pct of female population,0.35172,True,0.37819,True,Decision
59,rural population pct of total population,-0.34901,True,-0.34644,True,Decision
60,urban population pct of total,0.34901,True,0.34644,True,Decision
61,wage and salaried workers male pct of male employment modeled ilo estimate,0.34779,True,0.31352,True,Decision
62,self-employed male pct of male employment modeled ilo estimate,-0.34779,True,-0.31352,True,Decision
63,population ages 65-69 male pct of male population,0.3477,True,0.38175,True,Decision
64,immunization measles pct of children ages 12-23 months,0.34598,True,0.28365,True,Decision
65,population ages 50-54 male pct of male population,0.34412,True,0.34606,True,Decision
66,access to electricity rural pct of rural population,0.3373,True,0.34613,True,Decision
67,contributing family workers total pct of total employment modeled ilo estimate,-0.33418,True,-0.29703,True,Decision
68,employment in services male pct of male employment modeled ilo estimate,0.33273,True,0.31621,True,Decision
69,urban population growth annual pct,-0.33145,True,-0.39737,True,Decision
70,population ages 10-14 male pct of male population,-0.33049,True,-0.33803,True,Decision
71,population ages 45-49 female pct of female population,0.32793,True,0.3302,True,Decision
72,employment in industry male pct of male employment modeled ilo estimate,0.32677,True,0.32008,True,Decision
73,mortality rate adult male per 1000 male adults,-0.32635,True,-0.30923,True,Decision
74,fixed telephone subscriptions per 100 people,0.32189,True,0.37326,True,Decision
75,contributing family workers female pct of female employment modeled ilo estimate,-0.32158,True,-0.29191,True,Decision
76,contributing family workers male pct of male employment modeled ilo estimate,-0.31588,True,-0.27417,True,Decision
77,population ages 15-19 female pct of female population,-0.3149,True,-0.31991,True,Decision
78,age dependency ratio pct of working-age population,-0.30845,True,-0.23047,True,Decision
79,lifetime risk of maternal death 1 in  rate varies by country,0.3079,True,0.36831,True,Decision
80,renewable energy consumption pct of total final energy consumption,-0.3068,True,-0.24771,True,Decision
81,total natural resources rents pct of gdp,-0.3063,True,-0.36917,True,Decision
82,adolescent fertility rate births per 1000 women ages 15-19,-0.30505,True,-0.22266,True,Decision
83,population ages 45-49 male pct of male population,0.29758,True,0.28308,True,Decision
84,population ages 15-64 female pct of total,0.28779,True,0.23111,True,Decision
85,forest rents pct of gdp,-0.28559,True,-0.29197,True,Decision
86,population ages 15-64 male pct of total,0.27713,True,0.23774,True,Decision
87,population ages 15-64 pct of total,0.27694,True,0.23033,True,Decision
88,population ages 15-19 male pct of male population,-0.25762,True,-0.27575,True,Decision
89,energy intensity level of primary energy mj  2011 ppp gdp,-0.2487,True,-0.30455,True,Decision
90,population ages 20-24 female pct of female population,-0.23501,True,-0.21961,True,Decision
91,gdp per person employed constant 2011 ppp  ,0.23227,True,0.31807,True,Decision
92,employers female pct of female employment modeled ilo estimate,0.22613,True,0.29648,True,Decision
93,population ages 40-44 female pct of female population,0.22005,True,0.21132,True,Decision
94,population growth annual pct,-0.21399,True,-0.29284,True,Decision
95,employment in industry pct of total employment modeled ilo estimate,0.20378,True,0.16105,True,Decision
96,capture fisheries production metric tons,-0.19838,True,-0.13287,True,Decision
97,death rate crude per 1000 people,-0.19826,True,-0.15624,True,Decision
98,employers male pct of male employment modeled ilo estimate,0.19702,True,0.3022,True,Decision
99,oil rents pct of gdp,-0.19302,True,-0.14246,True,Decision
100,rural population growth annual pct,-0.19046,True,-0.2218,True,Decision
101,total fisheries production metric tons,-0.19036,True,-0.12981,True,Decision
102,co2 emissions metric tons per capita,0.18942,True,0.28929,True,Decision
103,labor force total,-0.18791,True,-0.12302,True,Decision
104,population total,-0.18379,True,-0.19551,True,Decision
105,co2 emissions from gaseous fuel consumption pct of total,0.18187,True,0.19045,True,Decision
106,rural population,-0.17968,True,-0.27969,True,Decision
107,urban population,-0.17617,True,-0.08227,True,Decision
108,population male,-0.17592,True,-0.17213,True,Decision
109,population female,-0.17587,True,-0.16191,True,Decision
110,population ages 15-64 male,-0.1758,True,-0.14734,True,Decision
111,population ages 15-64 total,-0.17577,True,-0.14438,True,Decision
112,population ages 15-64 female,-0.17573,True,-0.14034,True,Decision
113,agricultural land sq. km,-0.17572,True,-0.22174,True,Decision
114,population ages 40-44 male pct of male population,0.17529,True,0.19542,True,Decision
115,population ages 0-14 female,-0.17318,True,-0.2556,True,Decision
116,population ages 0-14 total,-0.17247,True,-0.25304,True,Decision
117,population ages 0-14 male,-0.1718,True,-0.25114,True,Decision
118,number of maternal deaths,-0.16889,True,-0.45196,True,Decision
119,employers total pct of total employment modeled ilo estimate,0.16674,True,0.2967,True,Decision
121,population ages 20-24 male pct of male population,-0.16201,True,-0.14632,True,Decision
123,fixed telephone subscriptions,-0.16014,True,0.05881,True,Decision
127,lower secondary school starting age years,-0.14938,True,-0.15047,True,Decision
128,population ages 25-29 female pct of female population,-0.14791,True,-0.16747,True,Decision
130,employment to population ratio 15+ male pct modeled ilo estimate,-0.14501,True,-0.15993,True,Decision
131,population male pct of total,-0.14464,True,-0.25001,True,Decision
132,population female pct of total,0.14464,True,0.25001,True,Decision
133,food production index 2004-2006 = 100,0.14258,True,0.25504,True,Decision
134,land area sq. km,-0.14215,True,-0.24988,True,Decision
135,number of under-five deaths,-0.14138,True,-0.44258,True,Decision
136,surface area sq. km,-0.1384,True,-0.24388,True,Decision
137,number of infant deaths,-0.13798,True,-0.43219,True,Decision
138,livestock production index 2004-2006 = 100,0.13573,True,0.23557,True,Decision
139,crop production index 2004-2006 = 100,0.13333,True,0.23059,True,Decision
140,land under cereal production hectares,-0.13185,True,-0.10444,True,Decision
141,primary school starting age years,-0.13105,True,-0.11897,True,Decision
142,cereal yield kg per hectare,0.12984,True,0.18615,True,Decision
143,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,-0.12959,True,-0.14422,True,Decision
144,employment to population ratio 15+ total pct modeled ilo estimate,-0.12472,True,-0.12911,True,Decision
145,mobile cellular subscriptions,-0.12158,True,0.07493,True,Decision
147,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,-0.11668,True,-0.12674,True,Decision
148,number of neonatal deaths,-0.11594,True,-0.42172,True,Decision
149,unemployment male pct of male labor force modeled ilo estimate,0.11439,True,0.17293,True,Decision
