#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,fertility rate total births per woman,-0.69242,True,-0.57379,True,Decision
2,survival to age 65 female pct of cohort,0.69,True,0.58021,True,Decision
3,mortality rate under-5 per 1000 live births,-0.68623,True,-0.57588,True,Decision
4,life expectancy at birth female years,0.68569,True,0.57713,True,Decision
5,age dependency ratio pct of working-age population,-0.68397,True,-0.59673,True,Decision
6,mortality rate infant per 1000 live births,-0.68145,True,-0.57359,True,Decision
7,access to electricity pct of population,0.6806,True,0.5571,True,Decision
8,life expectancy at birth total years,0.67991,True,0.57772,True,Decision
9,birth rate crude per 1000 people,-0.678,True,-0.57682,True,Decision
10,age dependency ratio young pct of working-age population,-0.67784,True,-0.59083,True,Decision
11,mortality rate adult female per 1000 female adults,-0.67403,True,-0.59499,True,Decision
12,population ages 15-64 female pct of total,0.67,True,0.59216,True,Decision
13,population ages 0-4 male pct of male population,-0.66733,True,-0.58014,True,Decision
14,life expectancy at birth male years,0.66731,True,0.57664,True,Decision
15,population ages 15-64 pct of total,0.65905,True,0.59661,True,Decision
16,population ages 0-4 female pct of female population,-0.65575,True,-0.57197,True,Decision
17,maternal mortality ratio modeled estimate per 100000 live births,-0.64853,True,-0.58113,True,Decision
18,adolescent fertility rate births per 1000 women ages 15-19,-0.64845,True,-0.55908,True,Decision
19,population ages 15-64 male pct of total,0.64726,True,0.59523,True,Decision
20,population ages 0-14 pct of total,-0.64394,True,-0.58464,True,Decision
21,lifetime risk of maternal death pct,-0.6436,True,-0.58705,True,Decision
22,population ages 0-14 male pct of total,-0.64332,True,-0.58544,True,Decision
23,population ages 5-9 male pct of male population,-0.64219,True,-0.58861,True,Decision
24,access to electricity urban pct of urban population,0.64166,True,0.56039,True,Decision
25,prevalence of anemia among children pct of children under 5,-0.63814,True,-0.53769,True,Decision
26,survival to age 65 male pct of cohort,0.63722,True,0.56901,True,Decision
27,population ages 0-14 female pct of total,-0.63556,True,-0.57904,True,Decision
28,mortality rate neonatal per 1000 live births,-0.63488,True,-0.55684,True,Decision
29,population ages 5-9 female pct of female population,-0.63439,True,-0.58269,True,Decision
30,immunization dpt pct of children ages 12-23 months,0.60966,True,0.52938,True,Decision
31,immunization measles pct of children ages 12-23 months,0.60903,True,0.52986,True,Decision
32,mortality rate adult male per 1000 male adults,-0.60598,True,-0.57043,True,Decision
33,population ages 45-49 male pct of male population,0.59456,True,0.56909,True,Decision
34,population ages 40-44 female pct of female population,0.58825,True,0.56269,True,Decision
35,population ages 45-49 female pct of female population,0.58189,True,0.56598,True,Decision
36,access to electricity rural pct of rural population,0.58187,True,0.49753,True,Decision
37,renewable energy consumption pct of total final energy consumption,-0.57762,True,-0.49446,True,Decision
38,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.57126,True,-0.51427,True,Decision
39,population ages 10-14 female pct of female population,-0.56977,True,-0.56419,True,Decision
40,population ages 50-54 male pct of male population,0.56699,True,0.56259,True,Decision
41,population ages 10-14 male pct of male population,-0.56635,True,-0.5565,True,Decision
42,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.56574,True,-0.51163,True,Decision
43,population ages 40-44 male pct of male population,0.56471,True,0.55816,True,Decision
44,population ages 50-54 female pct of female population,0.54813,True,0.54995,True,Decision
45,mobile cellular subscriptions per 100 people,0.54233,True,0.53203,True,Decision
46,vulnerable employment total pct of total employment modeled ilo estimate,-0.54148,True,-0.48001,True,Decision
47,vulnerable employment female pct of female employment modeled ilo estimate,-0.53711,True,-0.48808,True,Decision
48,self-employed female pct of female employment modeled ilo estimate,-0.53695,True,-0.48656,True,Decision
49,wage and salaried workers female pct of female employment modeled ilo estimate,0.53695,True,0.48656,True,Decision
50,employment in agriculture pct of total employment modeled ilo estimate,-0.53584,True,-0.47677,True,Decision
51,self-employed total pct of total employment modeled ilo estimate,-0.53567,True,-0.47601,True,Decision
52,wage and salaried workers total pct of total employment modeled ilo estimate,0.53567,True,0.47601,True,Decision
53,population ages 35-39 female pct of female population,0.53226,True,0.53724,True,Decision
54,vulnerable employment male pct of male employment modeled ilo estimate,-0.52754,True,-0.46447,True,Decision
55,employment in agriculture male pct of male employment modeled ilo estimate,-0.52509,True,-0.46496,True,Decision
56,wage and salaried workers male pct of male employment modeled ilo estimate,0.51767,True,0.46031,True,Decision
57,self-employed male pct of male employment modeled ilo estimate,-0.51767,True,-0.46031,True,Decision
58,employment in agriculture female pct of female employment modeled ilo estimate,-0.51626,True,-0.4659,True,Decision
59,employment in industry male pct of male employment modeled ilo estimate,0.51525,True,0.47675,True,Decision
60,population ages 55-59 male pct of male population,0.513,True,0.54361,True,Decision
61,death rate crude per 1000 people,-0.49433,True,-0.44288,True,Decision
62,population ages 55-59 female pct of female population,0.48768,True,0.50983,True,Decision
63,employment in industry pct of total employment modeled ilo estimate,0.48593,True,0.43411,True,Decision
64,individuals using the internet pct of population,0.48053,True,0.54812,True,Decision
65,forest rents pct of gdp,-0.47773,True,-0.50647,True,Decision
66,population ages 35-39 male pct of male population,0.47672,True,0.53153,True,Decision
67,employment in services pct of total employment modeled ilo estimate,0.4655,True,0.43081,True,Decision
68,employment in services female pct of female employment modeled ilo estimate,0.46537,True,0.43457,True,Decision
69,population ages 15-19 female pct of female population,-0.45205,True,-0.48437,True,Decision
70,employment in services male pct of male employment modeled ilo estimate,0.44785,True,0.41261,True,Decision
71,population ages 60-64 male pct of male population,0.44364,True,0.49283,True,Decision
72,population ages 15-19 male pct of male population,-0.44148,True,-0.46598,True,Decision
73,population ages 60-64 female pct of female population,0.43206,True,0.47181,True,Decision
74,fixed telephone subscriptions per 100 people,0.42196,True,0.51514,True,Decision
75,population ages 70-74 male pct of male population,0.41859,True,0.48834,True,Decision
76,population ages 65 and above male pct of total,0.41771,True,0.49316,True,Decision
77,population ages 65 and above pct of total,0.41404,True,0.48968,True,Decision
78,rural population pct of total population,-0.41393,True,-0.40104,True,Decision
79,urban population pct of total,0.41393,True,0.40104,True,Decision
80,population ages 65-69 male pct of male population,0.41388,True,0.47442,True,Decision
81,population ages 75-79 male pct of male population,0.41141,True,0.49518,True,Decision
82,population ages 65-69 female pct of female population,0.41107,True,0.46113,True,Decision
83,population ages 65 and above female pct of total,0.40987,True,0.48895,True,Decision
84,contributing family workers male pct of male employment modeled ilo estimate,-0.40824,True,-0.37275,True,Decision
85,population ages 70-74 female pct of female population,0.40765,True,0.47941,True,Decision
86,population ages 75-79 female pct of female population,0.40751,True,0.4947,True,Decision
87,cereal yield kg per hectare,0.40672,True,0.51373,True,Decision
88,population ages 80 and above male pct of male population,0.39577,True,0.49989,True,Decision
89,population ages 80 and above female pct of female population,0.38898,True,0.50877,True,Decision
90,urban population growth annual pct,-0.38085,True,-0.41879,True,Decision
91,total natural resources rents pct of gdp,-0.37784,True,-0.39109,True,Decision
92,age dependency ratio old pct of working-age population,0.37256,True,0.45024,True,Decision
93,population growth annual pct,-0.36568,True,-0.46555,True,Decision
94,gdp per person employed constant 2011 ppp  ,0.35869,True,0.45092,True,Decision
95,contributing family workers total pct of total employment modeled ilo estimate,-0.3504,True,-0.33,True,Decision
96,rural population growth annual pct,-0.34865,True,-0.40726,True,Decision
97,lifetime risk of maternal death 1 in  rate varies by country,0.3353,True,0.54962,True,Decision
98,population ages 30-34 female pct of female population,0.33467,True,0.39073,True,Decision
99,co2 emissions metric tons per capita,0.31599,True,0.46188,True,Decision
100,co2 emissions from liquid fuel consumption pct of total,-0.31509,True,-0.30832,True,Decision
101,energy intensity level of primary energy mj  2011 ppp gdp,-0.31322,True,-0.25699,True,Decision
102,population ages 30-34 male pct of male population,0.30612,True,0.41474,True,Decision
103,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.29827,True,0.24256,True,Decision
104,employers male pct of male employment modeled ilo estimate,0.29584,True,0.34804,True,Decision
105,contributing family workers female pct of female employment modeled ilo estimate,-0.27451,True,-0.28165,True,Decision
106,co2 emissions from gaseous fuel consumption pct of total,0.26991,True,0.31772,True,Decision
107,temparature ($^\circ$c),-0.26581,True,-0.27623,True,Decision
108,employers total pct of total employment modeled ilo estimate,0.26527,True,0.3257,True,Decision
109,co2 emissions from solid fuel consumption pct of total,0.25159,True,0.3572,True,Decision
110,population ages 20-24 female pct of female population,-0.24819,True,-0.22163,True,Decision
