#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,crop production index 2004-2006 = 100,0.1064,True,0.0397,True,Decision
2,food production index 2004-2006 = 100,0.09386,True,0.03784,True,Decision
14,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.04026,True,0.03598,True,Decision
15,employment in industry female pct of female employment modeled ilo estimate,0.03924,True,0.03476,True,Decision
17,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.03572,True,0.03731,True,Decision
23,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.03203,False,-0.03398,True,Decision
33,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.02744,False,-0.03486,True,Decision
40,labor force female pct of total labor force,0.02474,False,0.03746,True,Decision
76,population male pct of total,-0.01206,False,-0.03417,True,Decision
77,population female pct of total,0.01206,False,0.03417,True,Decision
97,mineral rents pct of gdp,-0.00961,False,-0.03568,True,Decision
3,employment to population ratio 15+ total pct modeled ilo estimate,0.05283,True,0.03091,False,Decision
4,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.05187,True,0.03247,False,Decision
5,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.05045,True,0.03321,False,Decision
6,population ages 25-29 female pct of female population,0.0502,True,0.02784,False,Decision
7,employment to population ratio 15+ female pct modeled ilo estimate,0.04753,True,0.03358,False,Decision
8,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.0471,True,0.03118,False,Decision
9,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.04539,True,0.03145,False,Decision
10,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.04305,True,0.03145,False,Decision
11,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.0426,True,0.03314,False,Decision
12,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.04226,True,0.03376,False,Decision
13,population ages 25-29 male pct of male population,0.04093,True,0.02848,False,Decision
16,employment to population ratio 15+ male pct modeled ilo estimate,0.03898,True,0.02928,False,Decision
18,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.0357,True,0.03026,False,Decision
19,rural population pct of total population,0.03514,True,0.03033,False,Decision
20,urban population pct of total,-0.03514,True,-0.03033,False,Decision
21,access to electricity rural pct of rural population,-0.03312,False,-0.02275,False,Decision
22,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.03232,False,0.02771,False,Decision
24,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.03195,False,-0.03327,False,Decision
25,population ages 35-39 female pct of female population,-0.03181,False,-0.03136,False,Decision
26,unemployment total pct of total labor force modeled ilo estimate,-0.03138,False,-0.0326,False,Decision
27,unemployment male pct of male labor force modeled ilo estimate,-0.03114,False,-0.03315,False,Decision
28,co2 emissions from liquid fuel consumption pct of total,0.03055,False,0.02995,False,Decision
29,population ages 15-19 male pct of male population,0.02994,False,0.03055,False,Decision
30,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.02932,False,0.02984,False,Decision
31,population ages 35-39 male pct of male population,-0.02876,False,-0.03009,False,Decision
32,unemployment female pct of female labor force modeled ilo estimate,-0.02755,False,-0.03352,False,Decision
34,employers male pct of male employment modeled ilo estimate,-0.02664,False,-0.03087,False,Decision
35,ratio of female to male labor force participation rate pct modeled ilo estimate,0.02622,False,0.03185,False,Decision
36,employers total pct of total employment modeled ilo estimate,-0.02583,False,-0.03158,False,Decision
37,renewable energy consumption pct of total final energy consumption,0.02524,False,0.02207,False,Decision
38,forest area pct of land area,0.02524,False,0.02637,False,Decision
39,access to electricity pct of population,-0.02503,False,-0.01987,False,Decision
41,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.02414,False,0.02091,False,Decision
42,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.02387,False,0.02077,False,Decision
43,rainfall (mm),0.02374,False,0.02446,False,Decision
44,employers female pct of female employment modeled ilo estimate,-0.02353,False,-0.02867,False,Decision
45,mobile cellular subscriptions per 100 people,0.02248,False,0.02746,False,Decision
46,individuals using the internet pct of population,-0.02196,False,-0.02202,False,Decision
47,livestock production index 2004-2006 = 100,-0.02073,False,-0.02995,False,Decision
48,co2 emissions from gaseous fuel consumption pct of total,-0.02013,False,-0.02608,False,Decision
49,co2 emissions from solid fuel consumption pct of total,-0.01998,False,-0.01708,False,Decision
50,arable land pct of land area,0.01932,False,0.02877,False,Decision
