#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,forest area sq. km,0.06927,True,0.04841,True,Decision
4,agricultural land sq. km,0.03987,True,0.04621,True,Decision
5,individuals using the internet pct of population,0.03699,True,0.03479,True,Decision
11,mobile cellular subscriptions per 100 people,0.02913,False,0.03628,True,Decision
12,lower secondary school starting age years,-0.02849,False,-0.03397,True,Decision
20,number of maternal deaths,0.02483,False,0.0396,True,Decision
22,primary education duration years,-0.02443,False,-0.03566,True,Decision
51,co2 emissions from gaseous fuel consumption kt,0.01944,False,0.04919,True,Decision
65,mobile cellular subscriptions,0.01835,False,0.03709,True,Decision
77,urban population,0.01613,False,0.03491,True,Decision
90,co2 emissions from liquid fuel consumption kt,0.01385,False,0.04238,True,Decision
111,fixed telephone subscriptions,0.01057,False,0.03743,True,Decision
144,co2 emissions kt,0.00653,False,0.04327,True,Decision
177,co2 emissions from solid fuel consumption kt,0.00256,False,0.04533,True,Decision
192,total fisheries production metric tons,8e-05,False,0.03758,True,Decision
2,land area sq. km,0.04133,True,0.02838,False,Decision
3,surface area sq. km,0.04077,True,0.02907,False,Decision
6,employment in services pct of total employment modeled ilo estimate,0.03048,False,0.03107,False,Decision
7,rural population pct of total population,-0.0303,False,-0.03276,False,Decision
8,urban population pct of total,0.0303,False,0.03276,False,Decision
9,employment in services female pct of female employment modeled ilo estimate,0.02951,False,0.02879,False,Decision
10,population ages 65-69 female pct of female population,0.02943,False,0.02821,False,Decision
13,population ages 65-69 male pct of male population,0.02815,False,0.02623,False,Decision
14,population ages 80 and above male pct of male population,0.02741,False,0.02761,False,Decision
15,employment in services male pct of male employment modeled ilo estimate,0.027,False,0.02916,False,Decision
16,employment in agriculture female pct of female employment modeled ilo estimate,-0.02681,False,-0.02133,False,Decision
17,life expectancy at birth female years,0.02555,False,0.02968,False,Decision
18,population ages 60-64 female pct of female population,0.02507,False,0.02828,False,Decision
19,employment in agriculture pct of total employment modeled ilo estimate,-0.02492,False,-0.02233,False,Decision
21,population ages 55-59 female pct of female population,0.02464,False,0.02523,False,Decision
23,life expectancy at birth total years,0.02372,False,0.02709,False,Decision
24,population ages 50-54 female pct of female population,0.02278,False,0.01959,False,Decision
25,contributing family workers female pct of female employment modeled ilo estimate,-0.02275,False,-0.01971,False,Decision
26,vulnerable employment female pct of female employment modeled ilo estimate,-0.02261,False,-0.01945,False,Decision
27,contributing family workers total pct of total employment modeled ilo estimate,-0.02249,False,-0.02065,False,Decision
28,employment in agriculture male pct of male employment modeled ilo estimate,-0.02242,False,-0.01971,False,Decision
29,urban population growth annual pct,-0.0222,False,-0.02667,False,Decision
