#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,access to electricity pct of population,0.46804,True,0.39604,True,Decision
2,population ages 0-4 female pct of female population,-0.46136,True,-0.41853,True,Decision
3,survival to age 65 female pct of cohort,0.45337,True,0.38977,True,Decision
4,population ages 5-9 female pct of female population,-0.45323,True,-0.42543,True,Decision
5,life expectancy at birth female years,0.45261,True,0.3996,True,Decision
6,fertility rate total births per woman,-0.45103,True,-0.39671,True,Decision
7,mortality rate adult female per 1000 female adults,-0.44924,True,-0.38986,True,Decision
8,access to electricity urban pct of urban population,0.44738,True,0.41458,True,Decision
9,population ages 0-14 female pct of total,-0.44636,True,-0.41591,True,Decision
10,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.44601,True,-0.42162,True,Decision
11,life expectancy at birth total years,0.44403,True,0.3847,True,Decision
12,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.4432,True,-0.42059,True,Decision
13,birth rate crude per 1000 people,-0.4403,True,-0.37503,True,Decision
14,mortality rate infant per 1000 live births,-0.43503,True,-0.3824,True,Decision
15,maternal mortality ratio modeled estimate per 100000 live births,-0.43479,True,-0.38144,True,Decision
16,age dependency ratio young pct of working-age population,-0.43304,True,-0.3804,True,Decision
17,population ages 15-64 female pct of total,0.43244,True,0.38197,True,Decision
18,prevalence of anemia among children pct of children under 5,-0.43213,True,-0.39623,True,Decision
19,life expectancy at birth male years,0.4278,True,0.37302,True,Decision
20,population ages 45-49 female pct of female population,0.42724,True,0.41756,True,Decision
21,population ages 50-54 female pct of female population,0.42671,True,0.42654,True,Decision
22,mortality rate under-5 per 1000 live births,-0.42519,True,-0.38246,True,Decision
23,lifetime risk of maternal death pct,-0.42373,True,-0.39449,True,Decision
24,population ages 0-4 male pct of male population,-0.42146,True,-0.36748,True,Decision
25,population ages 0-14 pct of total,-0.41878,True,-0.3768,True,Decision
26,total natural resources rents pct of gdp,-0.41178,True,-0.34851,True,Decision
27,age dependency ratio pct of working-age population,-0.40794,True,-0.349,True,Decision
28,population ages 55-59 female pct of female population,0.40704,True,0.4251,True,Decision
29,population ages 5-9 male pct of male population,-0.40385,True,-0.3743,True,Decision
30,survival to age 65 male pct of cohort,0.40343,True,0.36145,True,Decision
31,adolescent fertility rate births per 1000 women ages 15-19,-0.4005,True,-0.32894,True,Decision
32,population ages 0-14 male pct of total,-0.39776,True,-0.36667,True,Decision
33,mortality rate neonatal per 1000 live births,-0.39251,True,-0.3645,True,Decision
