#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,crop production index 2004-2006 = 100,0.11815,True,0.04169,True,Decision
2,food production index 2004-2006 = 100,0.10524,True,0.04182,True,Decision
3,population ages 25-29 female pct of female population,0.06401,True,0.03984,True,Decision
4,employment to population ratio 15+ total pct modeled ilo estimate,0.06384,True,0.04118,True,Decision
5,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.06253,True,0.0414,True,Decision
6,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.05955,True,0.04136,True,Decision
7,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.05748,True,0.04072,True,Decision
8,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.05607,True,0.04096,True,Decision
9,employment to population ratio 15+ female pct modeled ilo estimate,0.0544,True,0.04121,True,Decision
10,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.05281,True,0.0408,True,Decision
11,population ages 25-29 male pct of male population,0.05122,True,0.03974,True,Decision
12,employment to population ratio 15+ male pct modeled ilo estimate,0.05122,True,0.04057,True,Decision
13,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.05081,True,0.04095,True,Decision
14,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.04816,True,0.0405,True,Decision
15,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.04542,True,0.04006,True,Decision
16,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.04495,True,0.03949,True,Decision
17,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.04465,True,0.04099,True,Decision
18,employment in industry female pct of female employment modeled ilo estimate,0.04386,True,0.03741,True,Decision
19,rural population pct of total population,0.04344,True,0.03758,True,Decision
20,urban population pct of total,-0.04344,True,-0.03758,True,Decision
22,population ages 15-19 male pct of male population,0.03951,True,0.04035,True,Decision
23,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.0382,True,-0.04172,True,Decision
24,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.03774,True,0.04072,True,Decision
25,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.03768,True,-0.04186,True,Decision
