#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,refugee population by country or territory of origin,0.10017,True,0.09785,True,Decision
2,immunization measles pct of children ages 12-23 months,-0.06176,True,-0.06169,True,Decision
3,number of maternal deaths,0.06144,True,0.08983,True,Decision
4,lifetime risk of maternal death pct,0.05801,True,0.07264,True,Decision
5,access to electricity rural pct of rural population,-0.05684,True,-0.06623,True,Decision
6,mobile cellular subscriptions per 100 people,-0.05639,True,-0.05808,True,Decision
7,age dependency ratio pct of working-age population,0.0549,True,0.06668,True,Decision
8,immunization dpt pct of children ages 12-23 months,-0.05387,True,-0.06266,True,Decision
9,age dependency ratio young pct of working-age population,0.05348,True,0.06193,True,Decision
10,population ages 15-64 female pct of total,-0.05311,True,-0.06675,True,Decision
11,fertility rate total births per woman,0.05301,True,0.06675,True,Decision
12,access to electricity urban pct of urban population,-0.05285,True,-0.0754,True,Decision
13,adolescent fertility rate births per 1000 women ages 15-19,0.0526,True,0.05528,True,Decision
14,population ages 15-64 pct of total,-0.05133,True,-0.06444,True,Decision
15,number of under-five deaths,0.05131,True,0.08795,True,Decision
16,population ages 0-4 male pct of male population,0.05082,True,0.06018,True,Decision
17,prevalence of anemia among children pct of children under 5,0.05079,True,0.064,True,Decision
18,birth rate crude per 1000 people,0.05064,True,0.06103,True,Decision
19,maternal mortality ratio modeled estimate per 100000 live births,0.05046,True,0.0688,True,Decision
20,population ages 0-4 female pct of female population,0.0504,True,0.05682,True,Decision
21,population ages 5-9 male pct of male population,0.04976,True,0.0533,True,Decision
22,population ages 15-64 male pct of total,-0.04971,True,-0.06227,True,Decision
23,population ages 0-14 pct of total,0.0496,True,0.05463,True,Decision
24,access to electricity pct of population,-0.04951,True,-0.06856,True,Decision
25,population ages 0-14 male pct of total,0.04945,True,0.05495,True,Decision
26,mortality rate neonatal per 1000 live births,0.0494,True,0.06307,True,Decision
27,population ages 5-9 female pct of female population,0.04934,True,0.05428,True,Decision
28,population ages 0-14 female pct of total,0.04916,True,0.05407,True,Decision
29,mortality rate under-5 per 1000 live births,0.04889,True,0.06622,True,Decision
30,life expectancy at birth total years,-0.04862,True,-0.06038,True,Decision
31,life expectancy at birth male years,-0.04845,True,-0.05836,True,Decision
32,life expectancy at birth female years,-0.0483,True,-0.0618,True,Decision
33,number of infant deaths,0.04779,True,0.08578,True,Decision
34,survival to age 65 female pct of cohort,-0.0466,True,-0.06229,True,Decision
35,mortality rate infant per 1000 live births,0.04646,True,0.06369,True,Decision
36,population ages 40-44 female pct of female population,-0.04635,True,-0.05161,True,Decision
37,survival to age 65 male pct of cohort,-0.04614,True,-0.05562,True,Decision
38,co2 emissions from liquid fuel consumption pct of total,0.04597,True,0.05125,True,Decision
39,population ages 45-49 male pct of male population,-0.04592,True,-0.04612,True,Decision
