#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,contributing family workers female pct of female employment modeled ilo estimate,0.0578,True,0.04157,True,Decision
3,employment in agriculture female pct of female employment modeled ilo estimate,0.04516,True,0.03763,True,Decision
4,employment in services female pct of female employment modeled ilo estimate,-0.04419,True,-0.0386,True,Decision
2,refugee population by country or territory of origin,0.0544,True,0.02826,False,Decision
5,contributing family workers total pct of total employment modeled ilo estimate,0.04363,True,0.03329,False,Decision
6,contributing family workers male pct of male employment modeled ilo estimate,0.04223,True,0.03189,False,Decision
7,employment in agriculture pct of total employment modeled ilo estimate,0.0373,True,0.03335,False,Decision
8,employment in services pct of total employment modeled ilo estimate,-0.03478,True,-0.03236,False,Decision
9,mortality rate neonatal per 1000 live births,0.03465,True,0.02891,False,Decision
10,employment in agriculture male pct of male employment modeled ilo estimate,0.03461,True,0.03107,False,Decision
11,employment in industry male pct of male employment modeled ilo estimate,-0.0346,True,-0.03167,False,Decision
12,labor force female pct of total labor force,-0.03286,False,-0.01352,False,Decision
13,mobile cellular subscriptions per 100 people,-0.03186,False,-0.03137,False,Decision
14,vulnerable employment female pct of female employment modeled ilo estimate,0.03071,False,0.02926,False,Decision
15,wage and salaried workers female pct of female employment modeled ilo estimate,-0.03039,False,-0.02878,False,Decision
16,self-employed female pct of female employment modeled ilo estimate,0.03039,False,0.02878,False,Decision
17,food production index 2004-2006 = 100,-0.03031,False,-0.02666,False,Decision
18,wage and salaried workers male pct of male employment modeled ilo estimate,-0.02961,False,-0.02964,False,Decision
19,self-employed male pct of male employment modeled ilo estimate,0.02961,False,0.02964,False,Decision
20,vulnerable employment male pct of male employment modeled ilo estimate,0.02934,False,0.02903,False,Decision
21,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.02933,False,-0.01388,False,Decision
22,rural population pct of total population,0.02923,False,0.02774,False,Decision
23,urban population pct of total,-0.02923,False,-0.02774,False,Decision
24,employment in services male pct of male employment modeled ilo estimate,-0.02913,False,-0.02727,False,Decision
25,wage and salaried workers total pct of total employment modeled ilo estimate,-0.02837,False,-0.02843,False,Decision
26,self-employed total pct of total employment modeled ilo estimate,0.02837,False,0.02843,False,Decision
27,vulnerable employment total pct of total employment modeled ilo estimate,0.02801,False,0.02795,False,Decision
28,employment in industry pct of total employment modeled ilo estimate,-0.02769,False,-0.02435,False,Decision
29,crop production index 2004-2006 = 100,-0.02719,False,-0.02524,False,Decision
