#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,co2 emissions from gaseous fuel consumption kt,0.09664,True,0.0289,False,Decision
2,co2 emissions from liquid fuel consumption kt,0.09348,True,0.02914,False,Decision
3,co2 emissions kt,0.04658,True,0.02741,False,Decision
4,fixed telephone subscriptions,0.04348,True,0.02653,False,Decision
5,co2 emissions metric tons per capita,0.04305,True,0.02845,False,Decision
6,agricultural land sq. km,0.04299,True,0.0264,False,Decision
7,surface area sq. km,0.04141,True,0.02673,False,Decision
8,land area sq. km,0.04089,True,0.02545,False,Decision
9,cereal production metric tons,0.03926,True,0.02547,False,Decision
10,fixed telephone subscriptions per 100 people,0.03728,True,0.02939,False,Decision
11,forest area sq. km,0.0371,True,0.02618,False,Decision
12,land under cereal production hectares,0.03284,False,0.0257,False,Decision
13,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.02368,False,-0.02954,False,Decision
14,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.02353,False,-0.02941,False,Decision
15,co2 emissions from solid fuel consumption kt,0.02274,False,0.02665,False,Decision
16,arable land hectares per person,0.02223,False,0.02603,False,Decision
17,prevalence of anemia among children pct of children under 5,-0.02099,False,-0.02848,False,Decision
18,gdp per person employed constant 2011 ppp  ,0.01983,False,0.02159,False,Decision
19,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.01981,False,0.02094,False,Decision
20,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.01936,False,0.02209,False,Decision
21,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.01907,False,0.02142,False,Decision
22,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.01886,False,0.0212,False,Decision
23,population ages 65 and above female,0.01852,False,0.02449,False,Decision
24,population ages 20-24 female pct of female population,-0.01821,False,-0.0191,False,Decision
25,self-employed male pct of male employment modeled ilo estimate,-0.01807,False,-0.02315,False,Decision
26,wage and salaried workers male pct of male employment modeled ilo estimate,0.01807,False,0.02315,False,Decision
27,employment in services pct of total employment modeled ilo estimate,0.018,False,0.01983,False,Decision
28,wage and salaried workers total pct of total employment modeled ilo estimate,0.01791,False,0.02193,False,Decision
29,self-employed total pct of total employment modeled ilo estimate,-0.01791,False,-0.02193,False,Decision
30,urban population,0.01785,False,0.02449,False,Decision
31,employment in services male pct of male employment modeled ilo estimate,0.01769,False,0.01938,False,Decision
32,vulnerable employment male pct of male employment modeled ilo estimate,-0.01753,False,-0.02156,False,Decision
33,vulnerable employment total pct of total employment modeled ilo estimate,-0.01746,False,-0.02112,False,Decision
34,self-employed female pct of female employment modeled ilo estimate,-0.01736,False,-0.01972,False,Decision
35,wage and salaried workers female pct of female employment modeled ilo estimate,0.01736,False,0.01972,False,Decision
36,vulnerable employment female pct of female employment modeled ilo estimate,-0.01733,False,-0.01905,False,Decision
37,mobile cellular subscriptions per 100 people,-0.01689,False,-0.01688,False,Decision
38,employment in agriculture male pct of male employment modeled ilo estimate,-0.01667,False,-0.02126,False,Decision
39,population ages 20-24 male pct of male population,-0.01657,False,-0.01709,False,Decision
40,population ages 40-44 female pct of female population,0.01639,False,0.01966,False,Decision
41,employment in agriculture pct of total employment modeled ilo estimate,-0.01637,False,-0.02139,False,Decision
42,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.01589,False,0.01996,False,Decision
43,population ages 65 and above total,0.0158,False,0.02449,False,Decision
44,employment in services female pct of female employment modeled ilo estimate,0.01545,False,0.01449,False,Decision
45,capture fisheries production metric tons,0.01544,False,0.02514,False,Decision
46,population ages 75-79 female pct of female population,0.01533,False,0.01638,False,Decision
47,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.01521,False,0.01924,False,Decision
48,employment in agriculture female pct of female employment modeled ilo estimate,-0.01515,False,-0.01768,False,Decision
49,renewable energy consumption pct of total final energy consumption,-0.01504,False,-0.01705,False,Decision
50,population ages 40-44 male pct of male population,0.01487,False,0.01782,False,Decision
51,population ages 80 and above female pct of female population,0.01487,False,0.01542,False,Decision
52,contributing family workers female pct of female employment modeled ilo estimate,-0.01437,False,-0.02496,False,Decision
53,cereal yield kg per hectare,0.01432,False,0.01771,False,Decision
54,population ages 25-29 female pct of female population,-0.01428,False,-0.01702,False,Decision
55,contributing family workers total pct of total employment modeled ilo estimate,-0.01423,False,-0.02521,False,Decision
56,population ages 15-19 female pct of female population,-0.01396,False,-0.01125,False,Decision
57,population ages 35-39 male pct of male population,0.01382,False,0.02142,False,Decision
58,population ages 35-39 female pct of female population,0.01371,False,0.02049,False,Decision
59,population ages 75-79 male pct of male population,0.01367,False,0.01444,False,Decision
60,contributing family workers male pct of male employment modeled ilo estimate,-0.01351,False,-0.02618,False,Decision
61,population ages 65 and above female pct of total,0.01341,False,0.01428,False,Decision
62,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.01327,False,0.01625,False,Decision
63,urban population pct of total,0.01316,False,0.01262,False,Decision
64,rural population pct of total population,-0.01316,False,-0.01262,False,Decision
65,population ages 70-74 female pct of female population,0.01311,False,0.01672,False,Decision
66,age dependency ratio old pct of working-age population,0.01309,False,0.01509,False,Decision
67,population ages 45-49 female pct of female population,0.01295,False,0.01345,False,Decision
68,population ages 65 and above male,0.01284,False,0.02449,False,Decision
69,population ages 80 and above male pct of male population,0.01279,False,0.01466,False,Decision
70,renewable electricity output pct of total electricity output,-0.01266,False,-0.01297,False,Decision
71,mortality rate neonatal per 1000 live births,-0.01262,False,-0.01022,False,Decision
72,co2 emissions from solid fuel consumption pct of total,0.0126,False,0.01709,False,Decision
73,population ages 65 and above pct of total,0.01244,False,0.01329,False,Decision
74,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.01242,False,0.01518,False,Decision
75,access to electricity rural pct of rural population,0.01216,False,0.01999,False,Decision
76,food production index 2004-2006 = 100,-0.01188,False,-0.02017,False,Decision
77,mortality rate infant per 1000 live births,-0.01179,False,-0.01078,False,Decision
78,permanent cropland pct of land area,-0.01178,False,-0.01569,False,Decision
79,population ages 15-19 male pct of male population,-0.01169,False,-0.01008,False,Decision
80,population ages 45-49 male pct of male population,0.01168,False,0.0113,False,Decision
81,unemployment female pct of female labor force modeled ilo estimate,-0.01149,False,-0.013,False,Decision
82,unemployment total pct of total labor force modeled ilo estimate,-0.01138,False,-0.01535,False,Decision
83,population ages 70-74 male pct of male population,0.01136,False,0.01307,False,Decision
84,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.01121,False,-0.01392,False,Decision
85,population ages 65 and above male pct of total,0.01106,False,0.01262,False,Decision
86,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.01099,False,-0.01394,False,Decision
87,access to electricity pct of population,0.01093,False,0.01932,False,Decision
88,mortality rate under-5 per 1000 live births,-0.01087,False,-0.01067,False,Decision
89,crop production index 2004-2006 = 100,-0.01069,False,-0.01766,False,Decision
90,employment in industry male pct of male employment modeled ilo estimate,0.01068,False,0.0164,False,Decision
91,unemployment male pct of male labor force modeled ilo estimate,-0.01064,False,-0.01398,False,Decision
92,total natural resources rents pct of gdp,-0.01053,False,-0.01498,False,Decision
93,population ages 50-54 female pct of female population,0.01046,False,0.008,False,Decision
94,population ages 0-4 female pct of female population,-0.0104,False,-0.00666,False,Decision
95,birth rate crude per 1000 people,-0.01031,False,-0.00621,False,Decision
96,immunization dpt pct of children ages 12-23 months,0.0102,False,0.01103,False,Decision
97,co2 emissions from liquid fuel consumption pct of total,-0.01013,False,-0.01225,False,Decision
98,maternal mortality ratio modeled estimate per 100000 live births,-0.01006,False,-0.01382,False,Decision
99,life expectancy at birth female years,0.00983,False,0.00898,False,Decision
100,population ages 10-14 female pct of female population,-0.00979,False,-0.00717,False,Decision
101,employment to population ratio 15+ female pct modeled ilo estimate,0.00977,False,0.01216,False,Decision
102,population ages 0-14 female pct of total,-0.00974,False,-0.00622,False,Decision
103,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.00967,False,-0.01157,False,Decision
104,life expectancy at birth total years,0.00966,False,0.00979,False,Decision
105,population ages 25-29 male pct of male population,-0.00965,False,-0.01436,False,Decision
106,livestock production index 2004-2006 = 100,-0.0096,False,-0.01857,False,Decision
107,population ages 0-4 male pct of male population,-0.00955,False,-0.00588,False,Decision
108,life expectancy at birth male years,0.00939,False,0.00854,False,Decision
109,population ages 0-14 pct of total,-0.00905,False,-0.00484,False,Decision
110,age dependency ratio young pct of working-age population,-0.00895,False,-0.00403,False,Decision
