#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,forest area sq. km,0.0432,True,0.04976,True,Decision
2,co2 emissions from gaseous fuel consumption kt,0.03739,True,0.05392,True,Decision
3,agricultural land sq. km,0.03473,True,0.04718,True,Decision
4,number of maternal deaths,0.03472,True,0.04113,True,Decision
6,co2 emissions from liquid fuel consumption kt,0.033,False,0.04795,True,Decision
56,capture fisheries production metric tons,0.01968,False,0.04598,True,Decision
86,co2 emissions kt,0.01469,False,0.04826,True,Decision
144,co2 emissions from solid fuel consumption kt,0.00558,False,0.04954,True,Decision
167,total fisheries production metric tons,0.00353,False,0.04974,True,Decision
5,individuals using the internet pct of population,0.03455,True,0.03348,False,Decision
7,population ages 80 and above male pct of male population,0.03059,False,0.03102,False,Decision
8,employment in services pct of total employment modeled ilo estimate,0.02924,False,0.03055,False,Decision
9,employment in services female pct of female employment modeled ilo estimate,0.02829,False,0.02741,False,Decision
10,population ages 65-69 female pct of female population,0.02797,False,0.02846,False,Decision
11,population ages 50-54 female pct of female population,0.02774,False,0.02663,False,Decision
12,life expectancy at birth female years,0.02762,False,0.03041,False,Decision
13,population ages 55-59 female pct of female population,0.02736,False,0.03008,False,Decision
14,employment in agriculture female pct of female employment modeled ilo estimate,-0.02727,False,-0.02449,False,Decision
15,population ages 65-69 male pct of male population,0.02726,False,0.02697,False,Decision
16,life expectancy at birth total years,0.02542,False,0.02596,False,Decision
17,employment in services male pct of male employment modeled ilo estimate,0.02527,False,0.02692,False,Decision
18,surface area sq. km,0.02507,False,0.02285,False,Decision
19,prevalence of anemia among children pct of children under 5,-0.02501,False,-0.02617,False,Decision
20,access to electricity rural pct of rural population,0.02498,False,0.02718,False,Decision
21,rural population pct of total population,-0.02449,False,-0.02455,False,Decision
22,urban population pct of total,0.02449,False,0.02455,False,Decision
23,access to electricity pct of population,0.02442,False,0.02507,False,Decision
24,mortality rate neonatal per 1000 live births,-0.02433,False,-0.0199,False,Decision
25,mortality rate infant per 1000 live births,-0.02427,False,-0.02292,False,Decision
26,land area sq. km,0.02426,False,0.02106,False,Decision
27,population ages 60-64 female pct of female population,0.02411,False,0.02894,False,Decision
28,population ages 65 and above male pct of total,0.02383,False,0.02709,False,Decision
29,employment in agriculture pct of total employment modeled ilo estimate,-0.02367,False,-0.02284,False,Decision
30,population ages 55-59 male pct of male population,0.02354,False,0.0265,False,Decision
31,mortality rate under-5 per 1000 live births,-0.02333,False,-0.02309,False,Decision
32,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.02332,False,-0.02234,False,Decision
33,population ages 50-54 male pct of male population,0.02326,False,0.0228,False,Decision
34,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.02318,False,-0.02229,False,Decision
35,survival to age 65 female pct of cohort,0.02295,False,0.0196,False,Decision
36,population ages 0-4 female pct of female population,-0.02294,False,-0.01911,False,Decision
37,birth rate crude per 1000 people,-0.02294,False,-0.01873,False,Decision
38,population ages 80 and above female pct of female population,0.02292,False,0.02792,False,Decision
39,age dependency ratio old pct of working-age population,0.02287,False,0.02708,False,Decision
40,life expectancy at birth male years,0.02257,False,0.02131,False,Decision
41,population ages 65 and above pct of total,0.02164,False,0.02663,False,Decision
42,population ages 0-14 female pct of total,-0.02161,False,-0.0174,False,Decision
43,population ages 45-49 female pct of female population,0.02144,False,0.02217,False,Decision
44,fertility rate total births per woman,-0.02142,False,-0.01637,False,Decision
45,population ages 5-9 female pct of female population,-0.02089,False,-0.01648,False,Decision
46,population ages 60-64 male pct of male population,0.02075,False,0.02538,False,Decision
47,mobile cellular subscriptions per 100 people,0.02068,False,0.02205,False,Decision
48,contributing family workers female pct of female employment modeled ilo estimate,-0.02067,False,-0.02182,False,Decision
49,population ages 0-4 male pct of male population,-0.02055,False,-0.01675,False,Decision
50,age dependency ratio young pct of working-age population,-0.02054,False,-0.01246,False,Decision
51,population ages 65 and above female pct of total,0.02,False,0.02574,False,Decision
52,population ages 0-14 pct of total,-0.01994,False,-0.01447,False,Decision
53,fixed telephone subscriptions per 100 people,0.01985,False,0.02162,False,Decision
54,employment in agriculture male pct of male employment modeled ilo estimate,-0.01983,False,-0.01946,False,Decision
55,access to electricity urban pct of urban population,0.01982,False,0.02902,False,Decision
57,total natural resources rents pct of gdp,-0.01964,False,-0.02033,False,Decision
58,urban population growth annual pct,-0.01954,False,-0.02299,False,Decision
59,contributing family workers total pct of total employment modeled ilo estimate,-0.01927,False,-0.0216,False,Decision
60,population ages 15-19 female pct of female population,-0.01921,False,-0.02103,False,Decision
61,population ages 10-14 female pct of female population,-0.0192,False,-0.01778,False,Decision
62,population ages 0-14 male pct of total,-0.01857,False,-0.01304,False,Decision
63,population growth annual pct,-0.01852,False,-0.02329,False,Decision
64,population ages 75-79 male pct of male population,0.01834,False,0.02465,False,Decision
65,population ages 20-24 female pct of female population,-0.01829,False,-0.02082,False,Decision
66,vulnerable employment female pct of female employment modeled ilo estimate,-0.01811,False,-0.01621,False,Decision
67,contributing family workers male pct of male employment modeled ilo estimate,-0.01801,False,-0.02234,False,Decision
68,survival to age 65 male pct of cohort,0.01798,False,0.01406,False,Decision
69,population ages 5-9 male pct of male population,-0.01779,False,-0.0124,False,Decision
70,self-employed female pct of female employment modeled ilo estimate,-0.01778,False,-0.01594,False,Decision
