#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,fertility rate total births per woman,0.46032,True,0.3706,True,Decision
2,mortality rate under-5 per 1000 live births,0.46016,True,0.36784,True,Decision
3,birth rate crude per 1000 people,0.44552,True,0.36967,True,Decision
4,mortality rate infant per 1000 live births,0.4388,True,0.36289,True,Decision
5,age dependency ratio pct of working-age population,0.43382,True,0.37167,True,Decision
6,age dependency ratio young pct of working-age population,0.43159,True,0.37261,True,Decision
7,mortality rate neonatal per 1000 live births,0.43153,True,0.36461,True,Decision
8,population ages 0-4 male pct of male population,0.43106,True,0.3696,True,Decision
9,life expectancy at birth female years,-0.42859,True,-0.36431,True,Decision
10,life expectancy at birth total years,-0.42653,True,-0.36471,True,Decision
11,population ages 0-4 female pct of female population,0.42422,True,0.36542,True,Decision
12,population ages 15-64 female pct of total,-0.42103,True,-0.36852,True,Decision
13,life expectancy at birth male years,-0.42016,True,-0.36491,True,Decision
14,access to electricity pct of population,-0.4194,True,-0.34238,True,Decision
15,survival to age 65 female pct of cohort,-0.41659,True,-0.35786,True,Decision
16,prevalence of anemia among children pct of children under 5,0.41347,True,0.34271,True,Decision
17,population ages 15-64 pct of total,-0.4123,True,-0.37105,True,Decision
18,access to electricity rural pct of rural population,-0.40788,True,-0.32523,True,Decision
19,adolescent fertility rate births per 1000 women ages 15-19,0.40687,True,0.34322,True,Decision
20,population ages 0-14 pct of total,0.40575,True,0.3693,True,Decision
21,population ages 0-14 male pct of total,0.40502,True,0.36883,True,Decision
22,population ages 15-64 male pct of total,-0.40412,True,-0.36856,True,Decision
23,population ages 0-14 female pct of total,0.40142,True,0.36669,True,Decision
24,population ages 5-9 male pct of male population,0.39756,True,0.3662,True,Decision
25,population ages 5-9 female pct of female population,0.39459,True,0.36477,True,Decision
26,lifetime risk of maternal death pct,0.39326,True,0.35513,True,Decision
27,immunization measles pct of children ages 12-23 months,-0.38801,True,-0.32339,True,Decision
28,survival to age 65 male pct of cohort,-0.38593,True,-0.35311,True,Decision
29,immunization dpt pct of children ages 12-23 months,-0.3793,True,-0.3162,True,Decision
30,access to electricity urban pct of urban population,-0.37855,True,-0.34141,True,Decision
31,mortality rate adult female per 1000 female adults,0.37679,True,0.34852,True,Decision
32,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.36963,True,0.32591,True,Decision
33,maternal mortality ratio modeled estimate per 100000 live births,0.36933,True,0.34728,True,Decision
34,population ages 40-44 female pct of female population,-0.36685,True,-0.35231,True,Decision
35,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.36607,True,0.32354,True,Decision
36,renewable energy consumption pct of total final energy consumption,0.36423,True,0.30597,True,Decision
37,population ages 45-49 male pct of male population,-0.36267,True,-0.34905,True,Decision
38,population ages 45-49 female pct of female population,-0.35769,True,-0.35205,True,Decision
39,mobile cellular subscriptions per 100 people,-0.35267,True,-0.34469,True,Decision
40,population ages 10-14 female pct of female population,0.35134,True,0.35122,True,Decision
41,vulnerable employment total pct of total employment modeled ilo estimate,0.35105,True,0.30813,True,Decision
42,vulnerable employment male pct of male employment modeled ilo estimate,0.35046,True,0.30701,True,Decision
43,population ages 50-54 male pct of male population,-0.3503,True,-0.3509,True,Decision
44,employment in agriculture male pct of male employment modeled ilo estimate,0.34918,True,0.2953,True,Decision
45,population ages 40-44 male pct of male population,-0.34749,True,-0.34443,True,Decision
46,population ages 10-14 male pct of male population,0.34735,True,0.3464,True,Decision
47,self-employed total pct of total employment modeled ilo estimate,0.3472,True,0.30468,True,Decision
48,wage and salaried workers total pct of total employment modeled ilo estimate,-0.3472,True,-0.30468,True,Decision
49,employment in agriculture pct of total employment modeled ilo estimate,0.34643,True,0.29812,True,Decision
50,wage and salaried workers male pct of male employment modeled ilo estimate,-0.34524,True,-0.30386,True,Decision
51,self-employed male pct of male employment modeled ilo estimate,0.34524,True,0.30386,True,Decision
52,vulnerable employment female pct of female employment modeled ilo estimate,0.34052,True,0.30502,True,Decision
53,population ages 50-54 female pct of female population,-0.33915,True,-0.34403,True,Decision
54,population ages 35-39 female pct of female population,-0.33903,True,-0.33624,True,Decision
