#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,co2 emissions from gaseous fuel consumption kt,0.05499,True,0.02586,False,Decision
2,co2 emissions from liquid fuel consumption kt,0.04934,True,0.02183,False,Decision
3,fixed telephone subscriptions per 100 people,0.02686,False,0.02405,False,Decision
4,co2 emissions metric tons per capita,0.02642,False,0.02385,False,Decision
5,co2 emissions kt,0.02395,False,0.02274,False,Decision
6,cereal production metric tons,0.02263,False,0.01677,False,Decision
7,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.02172,False,-0.02708,False,Decision
8,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.02168,False,-0.02678,False,Decision
9,primary school starting age years,-0.02119,False,-0.02001,False,Decision
10,population ages 20-24 female pct of female population,-0.02101,False,-0.02045,False,Decision
11,population ages 80 and above female pct of female population,0.02088,False,0.01948,False,Decision
12,population ages 20-24 male pct of male population,-0.02041,False,-0.02065,False,Decision
13,population ages 80 and above male pct of male population,0.02005,False,0.01904,False,Decision
14,prevalence of anemia among children pct of children under 5,-0.01978,False,-0.02799,False,Decision
15,cereal yield kg per hectare,0.01971,False,0.02157,False,Decision
16,population ages 75-79 male pct of male population,0.01933,False,0.01883,False,Decision
17,population ages 75-79 female pct of female population,0.01922,False,0.01899,False,Decision
18,age dependency ratio old pct of working-age population,0.01909,False,0.01824,False,Decision
19,employment in services pct of total employment modeled ilo estimate,0.01902,False,0.02156,False,Decision
20,gdp per person employed constant 2011 ppp  ,0.01884,False,0.01912,False,Decision
21,fixed telephone subscriptions,0.01861,False,0.02247,False,Decision
22,population ages 65 and above pct of total,0.01823,False,0.0172,False,Decision
23,population ages 65 and above female pct of total,0.01822,False,0.01769,False,Decision
24,population ages 65 and above male pct of total,0.01811,False,0.01762,False,Decision
25,temparature ($^\circ$c),-0.01797,False,-0.01989,False,Decision
26,employment in services male pct of male employment modeled ilo estimate,0.01794,False,0.01968,False,Decision
27,wage and salaried workers total pct of total employment modeled ilo estimate,0.01794,False,0.0223,False,Decision
28,self-employed total pct of total employment modeled ilo estimate,-0.01794,False,-0.0223,False,Decision
29,population ages 50-54 female pct of female population,0.01787,False,0.01837,False,Decision
30,population ages 50-54 male pct of male population,0.01782,False,0.01808,False,Decision
31,self-employed female pct of female employment modeled ilo estimate,-0.01778,False,-0.02176,False,Decision
32,wage and salaried workers female pct of female employment modeled ilo estimate,0.01778,False,0.02176,False,Decision
33,employment in agriculture male pct of male employment modeled ilo estimate,-0.0177,False,-0.02505,False,Decision
34,wage and salaried workers male pct of male employment modeled ilo estimate,0.01765,False,0.0216,False,Decision
35,self-employed male pct of male employment modeled ilo estimate,-0.01765,False,-0.0216,False,Decision
36,agricultural land sq. km,0.01764,False,0.01465,False,Decision
37,vulnerable employment female pct of female employment modeled ilo estimate,-0.01749,False,-0.0208,False,Decision
38,employment in agriculture pct of total employment modeled ilo estimate,-0.01712,False,-0.02575,False,Decision
39,vulnerable employment total pct of total employment modeled ilo estimate,-0.01706,False,-0.02014,False,Decision
40,population ages 25-29 female pct of female population,-0.01701,False,-0.01974,False,Decision
41,employment in services female pct of female employment modeled ilo estimate,0.01684,False,0.01932,False,Decision
42,population ages 55-59 male pct of male population,0.0168,False,0.01642,False,Decision
43,surface area sq. km,0.01671,False,0.01015,False,Decision
44,vulnerable employment male pct of male employment modeled ilo estimate,-0.01653,False,-0.01885,False,Decision
45,population ages 55-59 female pct of female population,0.01645,False,0.01493,False,Decision
46,land area sq. km,0.01645,False,0.0095,False,Decision
47,renewable energy consumption pct of total final energy consumption,-0.01634,False,-0.02029,False,Decision
48,population ages 70-74 male pct of male population,0.01628,False,0.01685,False,Decision
49,population ages 65-69 male pct of male population,0.01615,False,0.01717,False,Decision
50,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.01604,False,0.01782,False,Decision
51,population ages 15-19 female pct of female population,-0.01592,False,-0.0143,False,Decision
52,employment in agriculture female pct of female employment modeled ilo estimate,-0.01557,False,-0.02307,False,Decision
53,population ages 65-69 female pct of female population,0.01526,False,0.01607,False,Decision
54,population ages 70-74 female pct of female population,0.01487,False,0.01621,False,Decision
55,renewable electricity output pct of total electricity output,-0.01477,False,-0.01699,False,Decision
56,forest area sq. km,0.01468,False,0.00721,False,Decision
57,agricultural land pct of land area,0.01465,False,0.01486,False,Decision
58,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.01463,False,0.01731,False,Decision
59,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.01461,False,0.01709,False,Decision
60,contributing family workers female pct of female employment modeled ilo estimate,-0.0142,False,-0.02205,False,Decision
61,land under cereal production hectares,0.01409,False,0.01436,False,Decision
62,contributing family workers total pct of total employment modeled ilo estimate,-0.01404,False,-0.02279,False,Decision
63,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.01385,False,0.01696,False,Decision
64,urban population growth annual pct,-0.01383,False,-0.01729,False,Decision
65,population ages 60-64 female pct of female population,0.01379,False,0.01349,False,Decision
66,population ages 25-29 male pct of male population,-0.01378,False,-0.02066,False,Decision
