#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,fixed telephone subscriptions,0.0865,True,0.0294,False,Decision
2,rural population,0.06639,True,0.02797,False,Decision
3,labor force total,0.06626,True,0.02736,False,Decision
4,population ages 15-64 female,0.06527,True,0.02757,False,Decision
5,population ages 15-64 total,0.06516,True,0.02757,False,Decision
6,population ages 15-64 male,0.06506,True,0.02757,False,Decision
7,capture fisheries production metric tons,0.06488,True,0.02773,False,Decision
8,population total,0.06362,True,0.02753,False,Decision
9,population female,0.06338,True,0.02753,False,Decision
10,population male,0.06331,True,0.02753,False,Decision
11,total fisheries production metric tons,0.06249,True,0.02781,False,Decision
12,population ages 65 and above male,0.06029,True,0.02757,False,Decision
13,population ages 65 and above total,0.05951,True,0.02757,False,Decision
14,population ages 65 and above female,0.05871,True,0.02757,False,Decision
15,co2 emissions from solid fuel consumption kt,0.05715,True,0.02811,False,Decision
16,urban population,0.05663,True,0.02757,False,Decision
17,agricultural land sq. km,0.05619,True,0.02936,False,Decision
18,population ages 0-14 male,0.05576,True,0.02786,False,Decision
19,population ages 0-14 total,0.05546,True,0.02786,False,Decision
20,population ages 0-14 female,0.05511,True,0.02786,False,Decision
21,cereal production metric tons,0.05224,True,0.02738,False,Decision
22,co2 emissions kt,0.05037,True,0.02794,False,Decision
23,land under cereal production hectares,0.04973,True,0.02669,False,Decision
24,co2 emissions from solid fuel consumption pct of total,0.04257,True,0.02825,False,Decision
25,land area sq. km,0.04215,True,0.02823,False,Decision
26,employment in industry female pct of female employment modeled ilo estimate,0.04118,True,0.02801,False,Decision
27,surface area sq. km,0.04106,True,0.02573,False,Decision
28,population ages 35-39 female pct of female population,0.03645,True,0.0281,False,Decision
29,coal rents pct of gdp,0.03146,False,0.03017,False,Decision
30,co2 emissions from liquid fuel consumption kt,0.02991,False,0.02664,False,Decision
31,co2 emissions from liquid fuel consumption pct of total,-0.02842,False,-0.02681,False,Decision
32,population ages 30-34 female pct of female population,0.02677,False,0.0259,False,Decision
33,mobile cellular subscriptions,0.02538,False,0.02697,False,Decision
34,population ages 35-39 male pct of male population,0.02483,False,0.02677,False,Decision
35,population ages 15-64 female pct of total,0.02468,False,0.02637,False,Decision
36,number of neonatal deaths,0.02445,False,0.0272,False,Decision
37,number of infant deaths,0.0224,False,0.0272,False,Decision
38,forest area sq. km,0.02046,False,0.0243,False,Decision
39,employment in services female pct of female employment modeled ilo estimate,-0.02042,False,-0.0199,False,Decision
40,population ages 15-64 pct of total,0.02021,False,0.02499,False,Decision
41,employment in industry pct of total employment modeled ilo estimate,0.0201,False,0.02418,False,Decision
42,employment to population ratio 15+ total pct modeled ilo estimate,0.01996,False,0.02241,False,Decision
43,employment to population ratio 15+ female pct modeled ilo estimate,0.01895,False,0.02309,False,Decision
44,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.01886,False,0.02212,False,Decision
45,rural population growth annual pct,-0.01881,False,-0.02393,False,Decision
46,number of under-five deaths,0.01857,False,0.02441,False,Decision
47,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.01843,False,0.02003,False,Decision
48,age dependency ratio pct of working-age population,-0.0182,False,-0.02499,False,Decision
49,population ages 40-44 female pct of female population,0.01817,False,0.02093,False,Decision
50,population ages 30-34 male pct of male population,0.01767,False,0.02502,False,Decision
51,mobile cellular subscriptions per 100 people,-0.01728,False,-0.01703,False,Decision
52,contributing family workers female pct of female employment modeled ilo estimate,0.01727,False,0.01815,False,Decision
53,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.01716,False,0.02222,False,Decision
54,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.01712,False,0.02097,False,Decision
55,population ages 15-64 male pct of total,0.01693,False,0.02165,False,Decision
56,employment in services pct of total employment modeled ilo estimate,-0.01689,False,-0.01943,False,Decision
57,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.01673,False,0.0188,False,Decision
58,urban population growth annual pct,0.0163,False,0.02059,False,Decision
59,co2 emissions from gaseous fuel consumption pct of total,-0.01624,False,-0.01504,False,Decision
60,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.01624,False,0.01962,False,Decision
61,individuals using the internet pct of population,-0.01579,False,-0.0137,False,Decision
62,gdp per person employed constant 2011 ppp  ,-0.01579,False,-0.01716,False,Decision
63,adolescent fertility rate births per 1000 women ages 15-19,-0.01555,False,-0.02137,False,Decision
64,energy intensity level of primary energy mj  2011 ppp gdp,0.01525,False,0.02482,False,Decision
65,prevalence of anemia among children pct of children under 5,-0.01515,False,-0.01367,False,Decision
66,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.01498,False,0.01948,False,Decision
67,population ages 50-54 female pct of female population,0.01491,False,0.01225,False,Decision
68,contributing family workers total pct of total employment modeled ilo estimate,0.01463,False,0.01968,False,Decision
69,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.0146,False,0.01676,False,Decision
70,population ages 0-4 female pct of female population,-0.01442,False,-0.01545,False,Decision
71,population ages 5-9 female pct of female population,-0.01435,False,-0.0126,False,Decision
72,urban population pct of total,-0.01396,False,-0.01597,False,Decision
73,rural population pct of total population,0.01396,False,0.01597,False,Decision
74,mortality rate adult male per 1000 male adults,-0.01378,False,-0.01257,False,Decision
75,population ages 5-9 male pct of male population,-0.01373,False,-0.01167,False,Decision
76,population ages 0-4 male pct of male population,-0.01355,False,-0.01462,False,Decision
77,population ages 40-44 male pct of male population,0.01333,False,0.01683,False,Decision
78,fertility rate total births per woman,-0.01332,False,-0.01817,False,Decision
79,unemployment female pct of female labor force modeled ilo estimate,-0.01329,False,-0.01987,False,Decision
80,age dependency ratio young pct of working-age population,-0.0131,False,-0.01227,False,Decision
81,population ages 50-54 male pct of male population,0.01306,False,0.01105,False,Decision
82,birth rate crude per 1000 people,-0.01303,False,-0.0117,False,Decision
83,employment to population ratio 15+ male pct modeled ilo estimate,0.01264,False,0.01506,False,Decision
84,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.01262,False,-0.01882,False,Decision
85,agricultural land pct of land area,0.01262,False,0.01593,False,Decision
86,population ages 0-14 female pct of total,-0.01259,False,-0.01002,False,Decision
87,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.0125,False,0.01632,False,Decision
88,population ages 15-19 female pct of female population,0.0123,False,0.00987,False,Decision
89,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.01229,False,-0.01688,False,Decision
90,population ages 0-14 pct of total,-0.01212,False,-0.00966,False,Decision
91,ratio of female to male labor force participation rate pct modeled ilo estimate,0.01191,False,0.01656,False,Decision
92,population ages 0-14 male pct of total,-0.01189,False,-0.00948,False,Decision
93,employers female pct of female employment modeled ilo estimate,-0.01187,False,-0.01404,False,Decision
94,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.01179,False,0.01429,False,Decision
95,unemployment total pct of total labor force modeled ilo estimate,-0.01167,False,-0.01574,False,Decision
96,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.0113,False,0.01372,False,Decision
97,survival to age 65 male pct of cohort,0.01118,False,0.0083,False,Decision
98,employment in services male pct of male employment modeled ilo estimate,-0.01118,False,-0.01387,False,Decision
99,population ages 15-19 male pct of male population,0.0111,False,0.00944,False,Decision
100,population growth annual pct,-0.01085,False,-0.01359,False,Decision
101,cereal yield kg per hectare,0.01069,False,0.01541,False,Decision
102,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.01059,False,-0.01088,False,Decision
103,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.01041,False,-0.01292,False,Decision
104,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.01037,False,-0.0108,False,Decision
105,access to electricity rural pct of rural population,0.00995,False,0.00142,False,Decision
106,access to electricity pct of population,0.00965,False,-0.00231,False,Decision
107,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.00947,False,0.00972,False,Decision
108,forest area pct of land area,-0.00934,False,-0.0115,False,Decision
109,employment in agriculture female pct of female employment modeled ilo estimate,0.00921,False,0.01141,False,Decision
110,mortality rate adult female per 1000 female adults,-0.00907,False,-0.00453,False,Decision
111,unemployment male pct of male labor force modeled ilo estimate,-0.00906,False,-0.01185,False,Decision
112,death rate crude per 1000 people,-0.009,False,-0.00943,False,Decision
