#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,population male pct of total,0.44732,True,0.23844,True,Decision
2,population female pct of total,-0.44732,True,-0.23844,True,Decision
3,labor force female pct of total labor force,-0.42484,True,-0.24885,True,Decision
4,population ages 35-39 male pct of male population,0.38259,True,0.19861,True,Decision
5,population ages 30-34 male pct of male population,0.36888,True,0.21894,True,Decision
6,population ages 30-34 female pct of female population,0.34558,True,0.20777,True,Decision
7,oil rents pct of gdp,0.32754,True,0.21288,True,Decision
8,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,0.30508,True,0.17536,True,Decision
9,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.30502,True,-0.22772,True,Decision
10,gdp per person employed constant 2011 ppp  ,0.30217,True,0.23515,True,Decision
11,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.28117,True,-0.21762,True,Decision
12,population ages 40-44 male pct of male population,0.27155,True,0.1993,True,Decision
13,population ages 35-39 female pct of female population,0.26507,True,0.18561,True,Decision
14,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.26045,True,-0.208,True,Decision
15,employment to population ratio 15+ female pct modeled ilo estimate,-0.26016,True,-0.20149,True,Decision
16,labor force participation rate for ages 15-24 female pct modeled ilo estimate,-0.26009,True,-0.22895,True,Decision
17,employment to population ratio ages 15-24 female pct modeled ilo estimate,-0.24514,True,-0.22284,True,Decision
18,total natural resources rents pct of gdp,0.24463,True,0.17408,True,Decision
19,mobile cellular subscriptions per 100 people,0.23975,True,0.20793,True,Decision
20,labor force participation rate for ages 15-24 total pct modeled ilo estimate,-0.23876,True,-0.19135,True,Decision
21,population ages 25-29 female pct of female population,0.23329,True,0.1889,True,Decision
22,population ages 25-29 male pct of male population,0.22703,True,0.13453,True,Decision
23,unemployment female pct of female labor force modeled ilo estimate,0.21761,True,0.14584,True,Decision
24,employment to population ratio ages 15-24 total pct modeled ilo estimate,-0.21356,True,-0.18439,True,Decision
25,wage and salaried workers male pct of male employment modeled ilo estimate,0.20928,True,0.23866,True,Decision
26,self-employed male pct of male employment modeled ilo estimate,-0.20928,True,-0.23866,True,Decision
27,death rate crude per 1000 people,-0.20923,True,-0.22088,True,Decision
28,population ages 15-64 male pct of total,0.20875,True,0.18395,True,Decision
29,labor force participation rate for ages 15-24 male pct modeled ilo estimate,-0.20039,True,-0.1626,True,Decision
30,wage and salaried workers total pct of total employment modeled ilo estimate,0.19135,True,0.23708,True,Decision
31,self-employed total pct of total employment modeled ilo estimate,-0.19135,True,-0.23708,True,Decision
32,employment in services female pct of female employment modeled ilo estimate,0.18609,True,0.23778,True,Decision
33,self-employed female pct of female employment modeled ilo estimate,-0.18544,True,-0.2432,True,Decision
34,wage and salaried workers female pct of female employment modeled ilo estimate,0.18544,True,0.2432,True,Decision
35,vulnerable employment male pct of male employment modeled ilo estimate,-0.18351,True,-0.2367,True,Decision
36,individuals using the internet pct of population,0.18259,True,0.16785,True,Decision
37,population ages 15-19 male pct of male population,-0.17824,True,-0.15286,True,Decision
38,population ages 15-64 pct of total,0.17687,True,0.15447,True,Decision
39,vulnerable employment total pct of total employment modeled ilo estimate,-0.17641,True,-0.23685,True,Decision
40,vulnerable employment female pct of female employment modeled ilo estimate,-0.17634,True,-0.24048,True,Decision
41,employment to population ratio ages 15-24 male pct modeled ilo estimate,-0.17397,True,-0.16066,True,Decision
42,co2 emissions metric tons per capita,0.16629,True,0.12194,True,Decision
43,employment in industry female pct of female employment modeled ilo estimate,-0.16234,True,-0.18691,True,Decision
44,natural gas rents pct of gdp,0.15862,True,0.19873,True,Decision
45,cereal yield kg per hectare,0.15704,True,0.1127,True,Decision
46,employment in services male pct of male employment modeled ilo estimate,0.15554,True,0.1797,True,Decision
47,employment to population ratio 15+ male pct modeled ilo estimate,0.15359,True,0.14183,True,Decision
48,forest area pct of land area,-0.14907,True,-0.15529,True,Decision
49,employers female pct of female employment modeled ilo estimate,-0.14891,True,-0.18339,True,Decision
50,age dependency ratio old pct of working-age population,-0.14792,True,-0.19783,True,Decision
51,age dependency ratio pct of working-age population,-0.14766,True,-0.15376,True,Decision
52,employment in industry pct of total employment modeled ilo estimate,0.14698,True,0.13863,True,Decision
53,rural population pct of total population,-0.14656,True,-0.1622,True,Decision
54,urban population pct of total,0.14656,True,0.1622,True,Decision
55,population ages 65-69 female pct of female population,-0.14647,True,-0.18079,True,Decision
56,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,0.14579,True,0.12643,True,Decision
57,crop production index 2004-2006 = 100,-0.14288,True,-0.13882,True,Decision
58,employment in agriculture male pct of male employment modeled ilo estimate,-0.14253,True,-0.14608,True,Decision
59,population ages 70-74 female pct of female population,-0.14224,True,-0.16983,True,Decision
60,population ages 70-74 male pct of male population,-0.1419,True,-0.16974,True,Decision
61,employment in agriculture female pct of female employment modeled ilo estimate,-0.14185,True,-0.23059,True,Decision
62,population ages 60-64 female pct of female population,-0.14007,True,-0.14912,True,Decision
63,population ages 10-14 male pct of male population,-0.13955,True,-0.11005,True,Decision
64,population growth annual pct,0.13763,True,0.14529,True,Decision
65,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.13752,True,0.11888,True,Decision
66,renewable energy consumption pct of total final energy consumption,-0.13738,True,-0.18474,True,Decision
67,employment in agriculture pct of total employment modeled ilo estimate,-0.13707,True,-0.13879,True,Decision
68,population ages 65-69 male pct of male population,-0.13567,True,-0.16075,True,Decision
69,rainfall (mm),-0.13561,True,-0.20454,True,Decision
70,population ages 65 and above pct of total,-0.13474,True,-0.16206,True,Decision
71,population ages 55-59 female pct of female population,-0.13386,True,-0.13768,True,Decision
72,population ages 65 and above male pct of total,-0.13381,True,-0.15993,True,Decision
73,population ages 65 and above female pct of total,-0.13256,True,-0.15661,True,Decision
74,population ages 75-79 male pct of male population,-0.12859,True,-0.16382,True,Decision
75,population ages 75-79 female pct of female population,-0.12839,True,-0.15259,True,Decision
76,temparature ($^\circ$c),0.12715,True,0.1254,True,Decision
77,arable land pct of land area,-0.12354,True,-0.14128,True,Decision
78,contributing family workers total pct of total employment modeled ilo estimate,-0.12302,True,-0.23975,True,Decision
79,contributing family workers male pct of male employment modeled ilo estimate,-0.12261,True,-0.24159,True,Decision
80,mortality rate adult male per 1000 male adults,-0.12078,True,-0.14907,True,Decision
81,contributing family workers female pct of female employment modeled ilo estimate,-0.11885,True,-0.23037,True,Decision
82,adolescent fertility rate births per 1000 women ages 15-19,-0.11822,True,-0.13318,True,Decision
83,population ages 80 and above male pct of male population,-0.11739,True,-0.13805,True,Decision
84,immunization measles pct of children ages 12-23 months,0.1144,True,0.17454,True,Decision
85,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.11314,True,-0.10056,True,Decision
86,population ages 80 and above female pct of female population,-0.11157,True,-0.12921,True,Decision
87,unemployment male pct of male labor force modeled ilo estimate,-0.11132,True,-0.16342,True,Decision
88,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.11061,True,0.1376,True,Decision
89,employment in services pct of total employment modeled ilo estimate,0.1103,True,0.11044,True,Decision
90,population ages 45-49 male pct of male population,0.10943,True,0.11131,True,Decision
91,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.10837,True,0.13672,True,Decision
92,immunization dpt pct of children ages 12-23 months,0.10696,True,0.17336,True,Decision
93,population ages 60-64 male pct of male population,-0.10664,True,-0.09999,True,Decision
94,employers male pct of male employment modeled ilo estimate,-0.10426,True,-0.11608,True,Decision
95,survival to age 65 male pct of cohort,0.10236,True,0.09387,True,Decision
96,livestock production index 2004-2006 = 100,0.10042,True,0.0538,True,Decision
97,population ages 40-44 female pct of female population,0.09894,True,0.10671,True,Decision
98,co2 emissions from gaseous fuel consumption pct of total,0.09736,True,0.10574,True,Decision
99,co2 emissions from gaseous fuel consumption kt,0.09467,True,0.2321,True,Decision
100,population ages 0-14 male pct of total,-0.09379,True,-0.07066,True,Decision
101,population ages 50-54 female pct of female population,-0.09365,True,-0.08894,True,Decision
102,population ages 15-64 female pct of total,0.0907,True,0.09087,True,Decision
103,co2 emissions from solid fuel consumption pct of total,-0.08774,True,-0.06302,True,Decision
104,population ages 5-9 male pct of male population,-0.08723,True,-0.06713,True,Decision
105,mortality rate neonatal per 1000 live births,-0.0866,True,-0.05945,True,Decision
106,employment in industry male pct of male employment modeled ilo estimate,0.08426,True,0.05856,True,Decision
107,employers total pct of total employment modeled ilo estimate,-0.0813,True,-0.09969,True,Decision
108,mortality rate infant per 1000 live births,-0.08126,True,-0.05638,True,Decision
109,life expectancy at birth male years,0.08021,True,0.07345,True,Decision
110,agricultural land pct of land area,0.07938,True,0.05523,True,Decision
111,mortality rate under-5 per 1000 live births,-0.07919,True,-0.05631,True,Decision
113,mortality rate adult female per 1000 female adults,-0.07616,True,-0.07606,True,Decision
114,population ages 20-24 female pct of female population,0.07467,True,0.07491,True,Decision
115,arable land hectares per person,-0.074,True,-0.086,True,Decision
116,agricultural land sq. km,0.07269,True,0.09239,True,Decision
117,renewable electricity output pct of total electricity output,-0.07176,True,-0.05721,True,Decision
118,age dependency ratio young pct of working-age population,-0.07136,True,-0.0532,True,Decision
119,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,0.06823,True,0.08668,True,Decision
120,population ages 0-4 male pct of male population,-0.06746,True,-0.0454,True,Decision
121,land under cereal production hectares,-0.06685,True,-0.14593,True,Decision
122,survival to age 65 female pct of cohort,0.06581,True,0.03396,True,Decision
123,co2 emissions from liquid fuel consumption kt,0.06513,True,0.20081,True,Decision
125,mineral rents pct of gdp,-0.06432,True,-0.05335,True,Decision
126,maternal mortality ratio modeled estimate per 100000 live births,-0.06195,True,-0.06059,True,Decision
127,food production index 2004-2006 = 100,-0.06184,True,-0.08297,True,Decision
128,life expectancy at birth total years,0.06169,True,0.04511,True,Decision
129,permanent cropland pct of land area,-0.06141,True,-0.09213,True,Decision
130,coal rents pct of gdp,-0.05958,True,-0.10298,True,Decision
131,cereal production metric tons,-0.05943,True,-0.12733,True,Decision
132,forest rents pct of gdp,-0.05858,True,-0.18736,True,Decision
133,primary school starting age years,-0.05783,True,-0.06669,True,Decision
134,urban population growth annual pct,0.05591,True,0.06274,True,Decision
135,lifetime risk of maternal death pct,-0.05365,True,-0.03833,True,Decision
136,population ages 65 and above female,-0.05257,True,-0.04631,True,Decision
141,population ages 0-14 pct of total,-0.05011,True,-0.04668,True,Decision
145,population ages 15-64 total,-0.04759,True,0.04545,True,Decision
147,population total,-0.04724,True,0.04133,True,Decision
148,population male,-0.04673,True,0.04984,True,Decision
151,population ages 15-64 male,-0.04571,True,0.06331,True,Decision
152,unemployment total pct of total labor force modeled ilo estimate,-0.0457,True,-0.05544,True,Decision
154,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,-0.04532,True,-0.0753,True,Decision
155,population ages 20-24 male pct of male population,-0.04507,True,-0.06149,True,Decision
157,urban population,-0.03976,True,0.07662,True,Decision
158,rural population growth annual pct,0.03953,True,0.06499,True,Decision
159,population density people per sq. km of land area,-0.03929,True,-0.06629,True,Decision
161,population ages 45-49 female pct of female population,-0.03689,True,-0.04639,True,Decision
166,secondary education duration years,-0.03416,True,-0.03907,True,Decision
168,population ages 0-4 female pct of female population,0.03333,False,0.07578,True,Decision
170,population ages 5-9 female pct of female population,0.03019,False,0.05244,True,Decision
171,co2 emissions from liquid fuel consumption pct of total,0.02888,False,0.05579,True,Decision
173,mobile cellular subscriptions,-0.02634,False,0.09745,True,Decision
174,surface area sq. km,-0.025,False,0.07012,True,Decision
175,population ages 15-19 female pct of female population,-0.02474,False,-0.04516,True,Decision
177,employment to population ratio 15+ total pct modeled ilo estimate,-0.02356,False,-0.0659,True,Decision
178,forest area sq. km,-0.02327,False,-0.06788,True,Decision
179,land area sq. km,-0.02264,False,0.07099,True,Decision
180,population ages 0-14 female pct of total,0.02165,False,0.0461,True,Decision
182,co2 emissions from solid fuel consumption kt,-0.02065,False,0.07268,True,Decision
186,energy intensity level of primary energy mj  2011 ppp gdp,-0.01309,False,0.06619,True,Decision
187,access to electricity pct of population,0.01024,False,-0.04113,True,Decision
189,access to electricity urban pct of urban population,0.00946,False,-0.06512,True,Decision
190,refugee population by country or territory of origin,-0.00847,False,-0.05065,True,Decision
191,lifetime risk of maternal death 1 in  rate varies by country,0.00762,False,0.09608,True,Decision
192,co2 emissions kt,0.00745,False,0.19169,True,Decision
193,prevalence of anemia among children pct of children under 5,-0.00062,False,0.05657,True,Decision
112,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.07742,True,0.03215,False,Decision
124,labor force total,-0.06498,True,0.00603,False,Decision
137,population ages 55-59 male pct of male population,-0.052,True,-0.03318,False,Decision
138,rural population,-0.05191,True,-0.02719,False,Decision
139,population ages 65 and above total,-0.05153,True,-0.03218,False,Decision
140,population ages 65 and above male,-0.05034,True,-0.02205,False,Decision
142,population female,-0.04964,True,0.01331,False,Decision
143,population ages 15-64 female,-0.04956,True,0.02107,False,Decision
144,life expectancy at birth female years,0.04916,True,0.00707,False,Decision
146,fixed telephone subscriptions,-0.04744,True,0.03119,False,Decision
149,population ages 0-14 male,-0.04635,True,0.01613,False,Decision
150,population ages 0-14 total,-0.04602,True,0.01722,False,Decision
153,population ages 0-14 female,-0.04564,True,0.02051,False,Decision
156,fixed telephone subscriptions per 100 people,-0.04255,True,-0.02024,False,Decision
160,total fisheries production metric tons,-0.03755,True,0.00199,False,Decision
162,number of infant deaths,-0.03634,True,-0.03118,False,Decision
163,birth rate crude per 1000 people,-0.03617,True,-0.01592,False,Decision
164,number of neonatal deaths,-0.0351,True,-0.02625,False,Decision
165,number of under-five deaths,-0.03487,True,-0.03313,False,Decision
167,capture fisheries production metric tons,-0.03334,False,-0.00945,False,Decision
169,population ages 50-54 male pct of male population,0.0305,False,0.02792,False,Decision
172,fertility rate total births per woman,-0.02882,False,0.03273,False,Decision
176,access to electricity rural pct of rural population,0.02364,False,-0.01589,False,Decision
181,primary education duration years,0.02092,False,0.00808,False,Decision
183,lower secondary school starting age years,-0.01785,False,-0.02714,False,Decision
184,preprimary education duration years,0.01545,False,0.00543,False,Decision
185,number of maternal deaths,0.01365,False,-0.00769,False,Decision
188,population ages 10-14 female pct of female population,-0.00956,False,-0.0121,False,Decision
