#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,employment in industry female pct of female employment modeled ilo estimate,0.03539,True,0.0206,False,Decision
2,immunization dpt pct of children ages 12-23 months,-0.02883,False,-0.01891,False,Decision
3,immunization measles pct of children ages 12-23 months,-0.02701,False,-0.01904,False,Decision
4,access to electricity rural pct of rural population,-0.02644,False,-0.01799,False,Decision
5,prevalence of anemia among children pct of children under 5,0.02488,False,0.01929,False,Decision
6,unemployment female pct of female labor force modeled ilo estimate,0.02278,False,0.01775,False,Decision
7,renewable energy consumption pct of total final energy consumption,0.02232,False,0.01748,False,Decision
8,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.02208,False,-0.01817,False,Decision
9,employment in services female pct of female employment modeled ilo estimate,-0.02173,False,-0.01903,False,Decision
10,fertility rate total births per woman,0.02165,False,0.01711,False,Decision
11,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.02158,False,-0.01684,False,Decision
12,mortality rate neonatal per 1000 live births,0.02156,False,0.01774,False,Decision
13,employment to population ratio 15+ female pct modeled ilo estimate,-0.02129,False,-0.01707,False,Decision
14,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.02095,False,-0.01659,False,Decision
15,employment in services pct of total employment modeled ilo estimate,-0.02075,False,-0.01842,False,Decision
16,birth rate crude per 1000 people,0.02043,False,0.01715,False,Decision
17,population ages 0-4 female pct of female population,0.02038,False,0.01748,False,Decision
18,population ages 0-4 male pct of male population,0.02034,False,0.01743,False,Decision
19,co2 emissions from liquid fuel consumption pct of total,0.02025,False,0.01867,False,Decision
20,access to electricity pct of population,-0.02009,False,-0.01583,False,Decision
21,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.01994,False,-0.01681,False,Decision
22,employment in services male pct of male employment modeled ilo estimate,-0.01988,False,-0.01851,False,Decision
23,mobile cellular subscriptions per 100 people,-0.01972,False,-0.01992,False,Decision
24,employment in agriculture male pct of male employment modeled ilo estimate,0.01959,False,0.01707,False,Decision
25,age dependency ratio young pct of working-age population,0.01944,False,0.01693,False,Decision
26,age dependency ratio pct of working-age population,0.01937,False,0.01701,False,Decision
27,population ages 15-64 female pct of total,-0.01936,False,-0.01701,False,Decision
