#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,mortality rate adult female per 1000 female adults,0.40032,True,0.31198,True,Decision
2,maternal mortality ratio modeled estimate per 100000 live births,0.39361,True,0.3098,True,Decision
3,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,-0.39174,True,-0.2837,True,Decision
4,adolescent fertility rate births per 1000 women ages 15-19,0.38995,True,0.3138,True,Decision
5,survival to age 65 female pct of cohort,-0.38305,True,-0.30366,True,Decision
6,access to electricity pct of population,-0.37811,True,-0.30362,True,Decision
7,access to electricity urban pct of urban population,-0.37637,True,-0.31124,True,Decision
8,life expectancy at birth female years,-0.36653,True,-0.29973,True,Decision
9,prevalence of anemia among children pct of children under 5,0.36207,True,0.30019,True,Decision
10,mineral rents pct of gdp,0.35972,True,0.08115,True,Decision
11,life expectancy at birth total years,-0.35652,True,-0.2972,True,Decision
12,age dependency ratio pct of working-age population,0.35612,True,0.29883,True,Decision
13,forest rents pct of gdp,0.35543,True,0.31694,True,Decision
14,population ages 15-64 female pct of total,-0.3532,True,-0.30199,True,Decision
15,renewable energy consumption pct of total final energy consumption,0.35108,True,0.28868,True,Decision
16,lifetime risk of maternal death pct,0.34962,True,0.30746,True,Decision
17,age dependency ratio young pct of working-age population,0.34913,True,0.28801,True,Decision
18,total natural resources rents pct of gdp,0.34638,True,0.28503,True,Decision
19,population ages 15-64 pct of total,-0.34332,True,-0.29857,True,Decision
20,life expectancy at birth male years,-0.34268,True,-0.29379,True,Decision
21,mortality rate adult male per 1000 male adults,0.34167,True,0.29427,True,Decision
22,birth rate crude per 1000 people,0.341,True,0.28532,True,Decision
23,population ages 0-4 male pct of male population,0.34072,True,0.28471,True,Decision
24,fertility rate total births per woman,0.33924,True,0.28464,True,Decision
25,population ages 0-4 female pct of female population,0.3389,True,0.28499,True,Decision
26,survival to age 65 male pct of cohort,-0.33664,True,-0.29022,True,Decision
27,population ages 15-64 male pct of total,-0.33421,True,-0.29557,True,Decision
28,wage and salaried workers female pct of female employment modeled ilo estimate,-0.33213,True,-0.29775,True,Decision
29,self-employed female pct of female employment modeled ilo estimate,0.33213,True,0.29775,True,Decision
30,vulnerable employment female pct of female employment modeled ilo estimate,0.33159,True,0.29525,True,Decision
31,population ages 5-9 male pct of male population,0.33132,True,0.2903,True,Decision
32,population ages 5-9 female pct of female population,0.33107,True,0.29196,True,Decision
33,population ages 0-14 pct of total,0.33028,True,0.28532,True,Decision
34,population ages 0-14 female pct of total,0.32817,True,0.2858,True,Decision
35,population ages 0-14 male pct of total,0.32804,True,0.28545,True,Decision
36,mortality rate infant per 1000 live births,0.32634,True,0.28897,True,Decision
37,vulnerable employment total pct of total employment modeled ilo estimate,0.32426,True,0.27985,True,Decision
38,immunization dpt pct of children ages 12-23 months,-0.32362,True,-0.29225,True,Decision
39,self-employed total pct of total employment modeled ilo estimate,0.32096,True,0.27828,True,Decision
40,wage and salaried workers total pct of total employment modeled ilo estimate,-0.32096,True,-0.27828,True,Decision
41,population ages 40-44 female pct of female population,-0.31372,True,-0.2903,True,Decision
42,immunization measles pct of children ages 12-23 months,-0.31238,True,-0.29449,True,Decision
43,mortality rate under-5 per 1000 live births,0.3113,True,0.28774,True,Decision
44,population ages 45-49 male pct of male population,-0.31119,True,-0.28673,True,Decision
45,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.31101,True,0.27731,True,Decision
46,population ages 45-49 female pct of female population,-0.30771,True,-0.28679,True,Decision
47,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.30661,True,0.2762,True,Decision
48,vulnerable employment male pct of male employment modeled ilo estimate,0.30194,True,0.2617,True,Decision
49,population ages 40-44 male pct of male population,-0.29879,True,-0.28706,True,Decision
50,access to electricity rural pct of rural population,-0.29842,True,-0.26225,True,Decision
51,self-employed male pct of male employment modeled ilo estimate,0.29524,True,0.25792,True,Decision
52,wage and salaried workers male pct of male employment modeled ilo estimate,-0.29524,True,-0.25792,True,Decision
53,population ages 50-54 male pct of male population,-0.28927,True,-0.27927,True,Decision
54,population ages 10-14 female pct of female population,0.2892,True,0.28586,True,Decision
55,population ages 10-14 male pct of male population,0.28315,True,0.2748,True,Decision
56,population ages 50-54 female pct of female population,-0.28271,True,-0.27677,True,Decision
57,population ages 35-39 female pct of female population,-0.2774,True,-0.28744,True,Decision
58,employment in industry pct of total employment modeled ilo estimate,-0.27719,True,-0.23967,True,Decision
59,employment in agriculture female pct of female employment modeled ilo estimate,0.27275,True,0.25326,True,Decision
60,employment in agriculture pct of total employment modeled ilo estimate,0.26986,True,0.25894,True,Decision
61,employment in industry male pct of male employment modeled ilo estimate,-0.2687,True,-0.26076,True,Decision
62,mortality rate neonatal per 1000 live births,0.26196,True,0.2637,True,Decision
63,population ages 55-59 male pct of male population,-0.25396,True,-0.2656,True,Decision
64,employment in agriculture male pct of male employment modeled ilo estimate,0.25238,True,0.24504,True,Decision
65,death rate crude per 1000 people,0.24818,True,0.2452,True,Decision
66,population ages 35-39 male pct of male population,-0.24459,True,-0.28234,True,Decision
67,population ages 55-59 female pct of female population,-0.242,True,-0.24802,True,Decision
68,fixed telephone subscriptions per 100 people,-0.2349,True,-0.30976,True,Decision
69,employment in services female pct of female employment modeled ilo estimate,-0.23349,True,-0.22972,True,Decision
70,individuals using the internet pct of population,-0.23055,True,-0.24889,True,Decision
71,employment in services pct of total employment modeled ilo estimate,-0.22185,True,-0.22845,True,Decision
72,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,-0.22102,True,-0.20064,True,Decision
73,population ages 15-19 female pct of female population,0.21902,True,0.23474,True,Decision
74,population ages 60-64 male pct of male population,-0.21876,True,-0.24289,True,Decision
75,population ages 60-64 female pct of female population,-0.21302,True,-0.23217,True,Decision
76,population ages 15-19 male pct of male population,0.211,True,0.22337,True,Decision
77,population ages 65 and above male pct of total,-0.20593,True,-0.24829,True,Decision
78,population ages 65 and above pct of total,-0.20532,True,-0.24907,True,Decision
79,population ages 65-69 female pct of female population,-0.20514,True,-0.23433,True,Decision
80,population ages 65-69 male pct of male population,-0.20494,True,-0.23649,True,Decision
81,population ages 65 and above female pct of total,-0.20408,True,-0.25254,True,Decision
82,ratio of female to male labor force participation rate pct modeled ilo estimate,0.20403,True,0.24871,True,Decision
83,contributing family workers male pct of male employment modeled ilo estimate,0.20326,True,0.20161,True,Decision
84,labor force participation rate for ages 15-24 male pct modeled ilo estimate,-0.20259,True,-0.1834,True,Decision
85,population ages 70-74 male pct of male population,-0.2025,True,-0.23326,True,Decision
86,employment in services male pct of male employment modeled ilo estimate,-0.20238,True,-0.21248,True,Decision
87,cereal yield kg per hectare,-0.20228,True,-0.25862,True,Decision
88,population ages 75-79 male pct of male population,-0.20161,True,-0.24986,True,Decision
89,population ages 75-79 female pct of female population,-0.20151,True,-0.25459,True,Decision
90,population ages 70-74 female pct of female population,-0.20042,True,-0.23901,True,Decision
91,population ages 80 and above male pct of male population,-0.19918,True,-0.26202,True,Decision
92,employment to population ratio 15+ male pct modeled ilo estimate,-0.19676,True,-0.1856,True,Decision
93,population ages 80 and above female pct of female population,-0.19594,True,-0.27058,True,Decision
94,population growth annual pct,0.19217,True,0.24437,True,Decision
95,age dependency ratio old pct of working-age population,-0.18219,True,-0.2282,True,Decision
96,employers male pct of male employment modeled ilo estimate,-0.17679,True,-0.21606,True,Decision
97,co2 emissions metric tons per capita,-0.17577,True,-0.25265,True,Decision
98,co2 emissions from gaseous fuel consumption pct of total,-0.17568,True,-0.21127,True,Decision
99,renewable electricity output pct of total electricity output,0.17404,True,0.14414,True,Decision
100,co2 emissions from solid fuel consumption pct of total,-0.17241,True,-0.25051,True,Decision
101,urban population growth annual pct,0.17061,True,0.21982,True,Decision
102,gdp per person employed constant 2011 ppp  ,-0.1704,True,-0.22418,True,Decision
103,contributing family workers total pct of total employment modeled ilo estimate,0.16984,True,0.17373,True,Decision
104,co2 emissions from liquid fuel consumption pct of total,0.16935,True,0.15755,True,Decision
105,population ages 30-34 female pct of female population,-0.16719,True,-0.20208,True,Decision
106,rural population pct of total population,0.16654,True,0.16334,True,Decision
107,urban population pct of total,-0.16654,True,-0.16334,True,Decision
108,rainfall (mm),0.16575,True,0.17001,True,Decision
109,employment to population ratio ages 15-24 male pct modeled ilo estimate,-0.16434,True,-0.15885,True,Decision
110,mobile cellular subscriptions per 100 people,-0.16192,True,-0.16867,True,Decision
111,lifetime risk of maternal death 1 in  rate varies by country,-0.15987,True,-0.29118,True,Decision
112,energy intensity level of primary energy mj  2011 ppp gdp,0.1584,True,0.10086,True,Decision
