#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
2,mortality rate neonatal per 1000 live births,0.0825,True,0.04568,True,Decision
3,immunization measles pct of children ages 12-23 months,-0.06308,True,-0.04125,True,Decision
4,immunization dpt pct of children ages 12-23 months,-0.05996,True,-0.04083,True,Decision
5,labor force female pct of total labor force,-0.05901,True,-0.03693,True,Decision
6,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.0582,True,-0.04188,True,Decision
7,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.05611,True,-0.03626,True,Decision
8,mortality rate infant per 1000 live births,0.05554,True,0.04024,True,Decision
9,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.05462,True,-0.03995,True,Decision
10,contributing family workers male pct of male employment modeled ilo estimate,0.05314,True,0.03863,True,Decision
11,contributing family workers female pct of female employment modeled ilo estimate,0.05292,True,0.03637,True,Decision
12,fertility rate total births per woman,0.05214,True,0.03799,True,Decision
13,employment to population ratio 15+ female pct modeled ilo estimate,-0.05157,True,-0.03873,True,Decision
14,lifetime risk of maternal death pct,0.05152,True,0.03832,True,Decision
15,mortality rate under-5 per 1000 live births,0.04672,True,0.03828,True,Decision
16,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.04512,True,-0.03899,True,Decision
17,population ages 15-64 female pct of total,-0.04486,True,-0.03647,True,Decision
18,age dependency ratio pct of working-age population,0.04478,True,0.03598,True,Decision
19,birth rate crude per 1000 people,0.04469,True,0.03699,True,Decision
20,age dependency ratio young pct of working-age population,0.04463,True,0.03641,True,Decision
21,population ages 0-4 female pct of female population,0.04455,True,0.03745,True,Decision
22,employment in agriculture female pct of female employment modeled ilo estimate,0.04349,True,0.03675,True,Decision
23,maternal mortality ratio modeled estimate per 100000 live births,0.0433,True,0.03741,True,Decision
24,population ages 0-14 female pct of total,0.04299,True,0.03704,True,Decision
25,population ages 15-64 pct of total,-0.04265,True,-0.03598,True,Decision
26,population ages 0-4 male pct of male population,0.04264,True,0.03663,True,Decision
27,population ages 5-9 female pct of female population,0.0424,True,0.03642,True,Decision
28,mobile cellular subscriptions per 100 people,-0.04232,True,-0.03978,True,Decision
29,population ages 0-14 pct of total,0.04197,True,0.03651,True,Decision
30,employment in services female pct of female employment modeled ilo estimate,-0.04138,True,-0.0363,True,Decision
31,population ages 15-64 male pct of total,-0.04075,True,-0.03549,True,Decision
32,population ages 0-14 male pct of total,0.04044,True,0.03574,True,Decision
33,life expectancy at birth female years,-0.03954,True,-0.03472,True,Decision
34,population ages 5-9 male pct of male population,0.03949,True,0.03473,True,Decision
35,population ages 10-14 female pct of female population,0.03889,True,0.03979,True,Decision
37,co2 emissions from gaseous fuel consumption pct of total,0.03819,True,0.03537,True,Decision
38,population ages 45-49 female pct of female population,-0.03808,True,-0.03596,True,Decision
41,population ages 40-44 female pct of female population,-0.03771,True,-0.03592,True,Decision
42,life expectancy at birth total years,-0.03766,True,-0.03428,True,Decision
43,employment in industry male pct of male employment modeled ilo estimate,-0.03753,True,-0.0344,True,Decision
44,survival to age 65 female pct of cohort,-0.0374,True,-0.03398,True,Decision
45,population ages 45-49 male pct of male population,-0.03728,True,-0.03496,True,Decision
47,urban population pct of total,-0.0368,True,-0.03519,True,Decision
48,rural population pct of total population,0.0368,True,0.03519,True,Decision
49,forest area pct of land area,-0.0366,True,-0.03666,True,Decision
50,labor force participation rate for ages 15-24 female pct modeled ilo estimate,-0.03634,True,-0.03658,True,Decision
51,population ages 35-39 female pct of female population,-0.0359,True,-0.0365,True,Decision
54,population ages 10-14 male pct of male population,0.0356,True,0.03544,True,Decision
57,number of maternal deaths,0.03531,True,0.03871,True,Decision
58,population ages 50-54 male pct of male population,-0.03512,True,-0.03438,True,Decision
60,population ages 40-44 male pct of male population,-0.03498,True,-0.03487,True,Decision
61,population ages 50-54 female pct of female population,-0.03473,True,-0.03465,True,Decision
62,rural population growth annual pct,0.03444,True,0.03408,True,Decision
65,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,-0.03321,False,-0.03629,True,Decision
70,employers male pct of male employment modeled ilo estimate,-0.03252,False,-0.04123,True,Decision
71,number of under-five deaths,0.03191,False,0.03878,True,Decision
74,population ages 15-19 female pct of female population,0.03139,False,0.03664,True,Decision
75,employers female pct of female employment modeled ilo estimate,-0.03124,False,-0.04036,True,Decision
77,population ages 35-39 male pct of male population,-0.03108,False,-0.036,True,Decision
79,number of infant deaths,0.03034,False,0.03841,True,Decision
82,employers total pct of total employment modeled ilo estimate,-0.03012,False,-0.04008,True,Decision
89,employment to population ratio 15+ total pct modeled ilo estimate,-0.02904,False,-0.03413,True,Decision
93,population ages 70-74 female pct of female population,-0.02846,False,-0.03541,True,Decision
95,population ages 65 and above female pct of total,-0.02821,False,-0.03566,True,Decision
96,population ages 75-79 female pct of female population,-0.02802,False,-0.03621,True,Decision
98,number of neonatal deaths,0.02768,False,0.03927,True,Decision
100,population ages 65 and above pct of total,-0.0274,False,-0.03422,True,Decision
105,population ages 80 and above female pct of female population,-0.02613,False,-0.03757,True,Decision
113,co2 emissions metric tons per capita,-0.02386,False,-0.03554,True,Decision
115,population ages 30-34 male pct of male population,-0.02288,False,-0.03521,True,Decision
124,lifetime risk of maternal death 1 in  rate varies by country,-0.01997,False,-0.0383,True,Decision
137,population male pct of total,0.011,False,0.03873,True,Decision
138,population female pct of total,-0.011,False,-0.03873,True,Decision
1,refugee population by country or territory of origin,0.08406,True,0.03184,False,Decision
36,contributing family workers total pct of total employment modeled ilo estimate,0.03825,True,0.03383,False,Decision
39,vulnerable employment male pct of male employment modeled ilo estimate,0.03806,True,0.03365,False,Decision
40,urban population growth annual pct,0.03784,True,0.03342,False,Decision
46,population growth annual pct,0.03708,True,0.0333,False,Decision
52,self-employed male pct of male employment modeled ilo estimate,0.03578,True,0.03323,False,Decision
53,wage and salaried workers male pct of male employment modeled ilo estimate,-0.03578,True,-0.03323,False,Decision
55,employment in agriculture male pct of male employment modeled ilo estimate,0.03558,True,0.03202,False,Decision
56,employment in agriculture pct of total employment modeled ilo estimate,0.03557,True,0.03325,False,Decision
59,life expectancy at birth male years,-0.03511,True,-0.03387,False,Decision
63,vulnerable employment total pct of total employment modeled ilo estimate,0.03428,True,0.03171,False,Decision
64,access to electricity pct of population,-0.03358,False,-0.03225,False,Decision
66,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.03284,False,0.03186,False,Decision
