#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,death rate crude per 1000 people,0.03883,True,0.0313,False,Decision
2,mortality rate neonatal per 1000 live births,0.03512,True,0.01986,False,Decision
3,maternal mortality ratio modeled estimate per 100000 live births,0.03483,True,0.01915,False,Decision
4,mortality rate infant per 1000 live births,0.03468,True,0.01881,False,Decision
5,access to electricity urban pct of urban population,-0.03464,True,-0.02057,False,Decision
6,mortality rate under-5 per 1000 live births,0.03454,True,0.01829,False,Decision
7,access to electricity pct of population,-0.03337,False,-0.02001,False,Decision
8,immunization measles pct of children ages 12-23 months,-0.03277,False,-0.02101,False,Decision
9,mortality rate adult female per 1000 female adults,0.03229,False,0.01824,False,Decision
10,survival to age 65 female pct of cohort,-0.03193,False,-0.01897,False,Decision
11,lifetime risk of maternal death pct,0.0317,False,0.01779,False,Decision
12,life expectancy at birth female years,-0.03123,False,-0.01937,False,Decision
13,immunization dpt pct of children ages 12-23 months,-0.03063,False,-0.02369,False,Decision
14,life expectancy at birth total years,-0.03044,False,-0.01925,False,Decision
15,renewable energy consumption pct of total final energy consumption,0.02973,False,0.02305,False,Decision
16,prevalence of anemia among children pct of children under 5,0.02964,False,0.02002,False,Decision
17,employment in services male pct of male employment modeled ilo estimate,-0.02961,False,-0.02424,False,Decision
18,life expectancy at birth male years,-0.02927,False,-0.01929,False,Decision
19,employment in agriculture pct of total employment modeled ilo estimate,0.02864,False,0.01852,False,Decision
20,employment in services pct of total employment modeled ilo estimate,-0.02851,False,-0.02297,False,Decision
21,employment in agriculture male pct of male employment modeled ilo estimate,0.02825,False,0.01836,False,Decision
22,population ages 15-64 female pct of total,-0.02819,False,-0.02683,False,Decision
23,population ages 35-39 female pct of female population,-0.02779,False,-0.02958,False,Decision
24,employment in services female pct of female employment modeled ilo estimate,-0.02735,False,-0.02288,False,Decision
25,survival to age 65 male pct of cohort,-0.02693,False,-0.01888,False,Decision
26,fertility rate total births per woman,0.02688,False,0.01734,False,Decision
