#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,permanent cropland pct of land area,0.08807,True,0.04253,True,Decision
2,employment in industry female pct of female employment modeled ilo estimate,0.06905,True,0.04368,True,Decision
3,food production index 2004-2006 = 100,-0.05468,True,-0.04392,True,Decision
4,mobile cellular subscriptions per 100 people,-0.05014,True,-0.04622,True,Decision
5,crop production index 2004-2006 = 100,-0.0459,True,-0.04258,True,Decision
6,individuals using the internet pct of population,-0.03962,True,-0.04655,True,Decision
7,preprimary education duration years,-0.03927,True,-0.04342,True,Decision
8,livestock production index 2004-2006 = 100,-0.035,True,-0.03895,True,Decision
98,mobile cellular subscriptions,-0.01301,False,-0.04022,True,Decision
9,employment in industry pct of total employment modeled ilo estimate,0.03224,False,0.03151,False,Decision
10,population ages 50-54 female pct of female population,-0.03184,False,-0.03048,False,Decision
11,urban population growth annual pct,0.03175,False,0.03364,False,Decision
12,forest area pct of land area,0.03113,False,0.02731,False,Decision
13,population ages 50-54 male pct of male population,-0.03006,False,-0.03009,False,Decision
14,population ages 65 and above female pct of total,-0.02966,False,-0.03132,False,Decision
15,population ages 75-79 female pct of female population,-0.02964,False,-0.03197,False,Decision
16,population ages 5-9 female pct of female population,0.02962,False,0.03134,False,Decision
17,population ages 70-74 female pct of female population,-0.02946,False,-0.03139,False,Decision
18,population ages 0-14 pct of total,0.02926,False,0.03186,False,Decision
19,population ages 5-9 male pct of male population,0.02924,False,0.03195,False,Decision
20,population ages 0-14 female pct of total,0.02924,False,0.03157,False,Decision
21,population ages 65 and above pct of total,-0.02908,False,-0.02962,False,Decision
22,population ages 80 and above female pct of female population,-0.02899,False,-0.03389,False,Decision
23,population ages 55-59 female pct of female population,-0.02871,False,-0.02748,False,Decision
24,population ages 0-14 male pct of total,0.0287,False,0.0316,False,Decision
25,population ages 70-74 male pct of male population,-0.02868,False,-0.02909,False,Decision
26,population ages 0-4 female pct of female population,0.02862,False,0.03302,False,Decision
27,population ages 0-4 male pct of male population,0.02843,False,0.03318,False,Decision
28,population ages 65-69 female pct of female population,-0.02842,False,-0.02798,False,Decision
29,age dependency ratio old pct of working-age population,-0.02822,False,-0.03039,False,Decision
30,population ages 10-14 female pct of female population,0.02817,False,0.02796,False,Decision
31,population ages 75-79 male pct of male population,-0.02814,False,-0.02837,False,Decision
32,population ages 65 and above male pct of total,-0.02808,False,-0.02842,False,Decision
33,forest rents pct of gdp,0.02741,False,0.02806,False,Decision
34,population ages 65-69 male pct of male population,-0.02735,False,-0.02736,False,Decision
35,population ages 60-64 female pct of female population,-0.02683,False,-0.02666,False,Decision
36,population ages 10-14 male pct of male population,0.02671,False,0.02681,False,Decision
37,population ages 55-59 male pct of male population,-0.02656,False,-0.0269,False,Decision
38,age dependency ratio young pct of working-age population,0.02633,False,0.03191,False,Decision
39,population ages 80 and above male pct of male population,-0.02618,False,-0.02532,False,Decision
40,population ages 60-64 male pct of male population,-0.02615,False,-0.02609,False,Decision
41,temparature ($^\circ$c),0.02587,False,0.03355,False,Decision
42,employers female pct of female employment modeled ilo estimate,-0.02556,False,-0.03052,False,Decision
43,rural population pct of total population,0.02538,False,0.02418,False,Decision
44,urban population pct of total,-0.02538,False,-0.02418,False,Decision
45,employment in services female pct of female employment modeled ilo estimate,-0.02517,False,-0.02509,False,Decision
46,co2 emissions from solid fuel consumption pct of total,-0.025,False,-0.02302,False,Decision
47,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.0248,False,-0.03304,False,Decision
48,population ages 15-19 female pct of female population,0.02477,False,0.02223,False,Decision
49,population ages 45-49 male pct of male population,-0.02437,False,-0.02638,False,Decision
50,birth rate crude per 1000 people,0.02429,False,0.03064,False,Decision
51,unemployment male pct of male labor force modeled ilo estimate,-0.02426,False,-0.03178,False,Decision
52,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.02394,False,-0.03067,False,Decision
53,population growth annual pct,0.02388,False,0.03218,False,Decision
54,population ages 15-64 male pct of total,-0.02333,False,-0.03018,False,Decision
