#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
2,lower secondary school starting age years,-0.03977,True,-0.04737,True,Decision
5,primary education duration years,-0.03013,False,-0.04425,True,Decision
6,secondary education duration years,0.02529,False,0.03471,True,Decision
12,number of maternal deaths,0.02122,False,0.04082,True,Decision
74,co2 emissions from gaseous fuel consumption kt,0.01185,False,0.04502,True,Decision
84,cereal production metric tons,0.01082,False,0.03668,True,Decision
105,urban population,0.0083,False,0.04004,True,Decision
145,population ages 65 and above female,0.00449,False,0.03685,True,Decision
150,total fisheries production metric tons,-0.00391,False,0.04222,True,Decision
156,population ages 65 and above total,0.00344,False,0.03819,True,Decision
157,co2 emissions from solid fuel consumption kt,-0.00343,False,0.03475,True,Decision
161,capture fisheries production metric tons,0.0024,False,0.03732,True,Decision
163,population ages 65 and above male,0.00231,False,0.03971,True,Decision
164,labor force total,-0.00215,False,0.03847,True,Decision
172,population ages 15-64 male,-0.00112,False,0.03675,True,Decision
173,population ages 0-14 female,0.00109,False,0.03433,True,Decision
177,population ages 15-64 total,-0.00076,False,0.03676,True,Decision
180,population male,-0.0006,False,0.03705,True,Decision
183,population ages 0-14 total,0.00055,False,0.03449,True,Decision
186,population total,0.0004,False,0.03851,True,Decision
187,population ages 15-64 female,-0.00038,False,0.03663,True,Decision
188,population female,0.00036,False,0.03671,True,Decision
193,population ages 0-14 male,7e-05,False,0.0345,True,Decision
1,forest area sq. km,0.04385,True,0.02797,False,Decision
3,arable land pct of land area,0.03491,True,0.02311,False,Decision
4,co2 emissions from gaseous fuel consumption pct of total,0.03137,False,0.02888,False,Decision
7,total natural resources rents pct of gdp,-0.02399,False,-0.02989,False,Decision
8,cereal yield kg per hectare,0.02283,False,0.03013,False,Decision
9,immunization dpt pct of children ages 12-23 months,0.02258,False,0.02928,False,Decision
10,land area sq. km,0.02223,False,0.01553,False,Decision
11,surface area sq. km,0.02185,False,0.01586,False,Decision
13,agricultural land sq. km,0.02108,False,0.03279,False,Decision
14,population ages 65-69 male pct of male population,0.02085,False,0.02035,False,Decision
15,food production index 2004-2006 = 100,-0.02035,False,-0.02613,False,Decision
16,population ages 65-69 female pct of female population,0.02014,False,0.01959,False,Decision
17,employment in services male pct of male employment modeled ilo estimate,0.01957,False,0.01941,False,Decision
18,life expectancy at birth female years,0.01943,False,0.0174,False,Decision
19,life expectancy at birth total years,0.01935,False,0.01636,False,Decision
20,contributing family workers male pct of male employment modeled ilo estimate,-0.01911,False,-0.01502,False,Decision
21,life expectancy at birth male years,0.01891,False,0.01448,False,Decision
22,employment in services pct of total employment modeled ilo estimate,0.01876,False,0.01683,False,Decision
23,fertility rate total births per woman,-0.01871,False,-0.01001,False,Decision
24,livestock production index 2004-2006 = 100,-0.01846,False,-0.02526,False,Decision
