#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,life expectancy at birth female years,0.49762,True,0.48361,True,Decision
2,mobile cellular subscriptions per 100 people,0.49575,True,0.51332,True,Decision
3,life expectancy at birth total years,0.4865,True,0.46151,True,Decision
4,mortality rate infant per 1000 live births,-0.48396,True,-0.48639,True,Decision
5,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.47684,True,-0.47376,True,Decision
6,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.47536,True,-0.47268,True,Decision
7,mortality rate under-5 per 1000 live births,-0.47426,True,-0.48871,True,Decision
8,survival to age 65 female pct of cohort,0.47247,True,0.44787,True,Decision
9,mortality rate neonatal per 1000 live births,-0.47001,True,-0.4779,True,Decision
10,life expectancy at birth male years,0.4679,True,0.44344,True,Decision
11,population ages 55-59 female pct of female population,0.45973,True,0.46754,True,Decision
12,prevalence of anemia among children pct of children under 5,-0.45144,True,-0.43271,True,Decision
13,access to electricity pct of population,0.45027,True,0.43203,True,Decision
14,employment in agriculture female pct of female employment modeled ilo estimate,-0.44599,True,-0.38352,True,Decision
15,mortality rate adult female per 1000 female adults,-0.44591,True,-0.42492,True,Decision
16,population ages 80 and above male pct of male population,0.44291,True,0.4824,True,Decision
17,population ages 55-59 male pct of male population,0.44154,True,0.45351,True,Decision
18,population ages 5-9 female pct of female population,-0.44007,True,-0.42788,True,Decision
19,population ages 0-14 female pct of total,-0.43789,True,-0.42228,True,Decision
20,population ages 0-4 female pct of female population,-0.43785,True,-0.4068,True,Decision
21,birth rate crude per 1000 people,-0.43644,True,-0.37654,True,Decision
22,employment in services female pct of female employment modeled ilo estimate,0.43497,True,0.39482,True,Decision
23,fertility rate total births per woman,-0.4326,True,-0.35066,True,Decision
24,employment in services pct of total employment modeled ilo estimate,0.43215,True,0.41655,True,Decision
25,employment in agriculture pct of total employment modeled ilo estimate,-0.42993,True,-0.4012,True,Decision
26,maternal mortality ratio modeled estimate per 100000 live births,-0.42977,True,-0.45367,True,Decision
27,age dependency ratio young pct of working-age population,-0.42568,True,-0.38547,True,Decision
28,population ages 60-64 female pct of female population,0.42543,True,0.42839,True,Decision
29,individuals using the internet pct of population,0.42413,True,0.46623,True,Decision
30,population ages 80 and above female pct of female population,0.42372,True,0.46653,True,Decision
31,population ages 0-14 pct of total,-0.4233,True,-0.40012,True,Decision
32,lifetime risk of maternal death pct,-0.42159,True,-0.45896,True,Decision
33,population ages 60-64 male pct of male population,0.42085,True,0.42751,True,Decision
34,access to electricity urban pct of urban population,0.42062,True,0.41924,True,Decision
35,survival to age 65 male pct of cohort,0.41885,True,0.4031,True,Decision
36,vulnerable employment female pct of female employment modeled ilo estimate,-0.41782,True,-0.3653,True,Decision
37,population ages 50-54 female pct of female population,0.41736,True,0.42054,True,Decision
38,population ages 0-4 male pct of male population,-0.41674,True,-0.37465,True,Decision
39,population ages 65 and above male pct of total,0.41558,True,0.44819,True,Decision
40,population ages 65 and above pct of total,0.41527,True,0.44241,True,Decision
41,population ages 75-79 male pct of male population,0.41256,True,0.45292,True,Decision
42,self-employed female pct of female employment modeled ilo estimate,-0.41256,True,-0.36168,True,Decision
43,wage and salaried workers female pct of female employment modeled ilo estimate,0.41256,True,0.36168,True,Decision
44,population ages 5-9 male pct of male population,-0.41195,True,-0.39966,True,Decision
45,population ages 65 and above female pct of total,0.41194,True,0.43757,True,Decision
46,population ages 10-14 female pct of female population,-0.41146,True,-0.41097,True,Decision
47,population ages 0-14 male pct of total,-0.40991,True,-0.39612,True,Decision
48,immunization dpt pct of children ages 12-23 months,0.4092,True,0.32325,True,Decision
49,population ages 70-74 male pct of male population,0.40604,True,0.43786,True,Decision
50,age dependency ratio old pct of working-age population,0.40582,True,0.44073,True,Decision
51,vulnerable employment total pct of total employment modeled ilo estimate,-0.40553,True,-0.3498,True,Decision
52,self-employed total pct of total employment modeled ilo estimate,-0.40303,True,-0.35476,True,Decision
53,wage and salaried workers total pct of total employment modeled ilo estimate,0.40303,True,0.35476,True,Decision
54,population ages 75-79 female pct of female population,0.40261,True,0.43899,True,Decision
55,immunization measles pct of children ages 12-23 months,0.4011,True,0.32779,True,Decision
