#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,life expectancy at birth female years,0.4417,True,0.44055,True
2,life expectancy at birth total years,0.42855,True,0.41481,True
3,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.42849,True,-0.43569,True
4,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.42753,True,-0.4349,True
5,population ages 55-59 female pct of female population,0.42193,True,0.42453,True
6,population ages 80 and above male pct of male population,0.41933,True,0.45092,True
7,survival to age 65 female pct of cohort,0.41786,True,0.40707,True
8,mortality rate infant per 1000 live births,-0.41759,True,-0.43461,True
9,employment in agriculture female pct of female employment modeled ilo estimate,-0.41452,True,-0.34974,True
10,population ages 80 and above female pct of female population,0.4095,True,0.43762,True
11,mortality rate under-5 per 1000 live births,-0.4083,True,-0.43669,True
12,life expectancy at birth male years,0.40828,True,0.39359,True
13,mortality rate neonatal per 1000 live births,-0.40772,True,-0.42658,True
14,population ages 55-59 male pct of male population,0.4058,True,0.41372,True
15,employment in services pct of total employment modeled ilo estimate,0.40461,True,0.39073,True
16,employment in services female pct of female employment modeled ilo estimate,0.40455,True,0.3626,True
17,population ages 65 and above pct of total,0.40432,True,0.42104,True
18,mobile cellular subscriptions per 100 people,0.40394,True,0.42232,True
19,population ages 65 and above female pct of total,0.40283,True,0.41602,True
20,population ages 65 and above male pct of total,0.40157,True,0.42671,True
21,prevalence of anemia among children pct of children under 5,-0.40134,True,-0.39454,True
22,population ages 75-79 male pct of male population,0.40087,True,0.43148,True
23,population ages 75-79 female pct of female population,0.39958,True,0.4201,True
24,age dependency ratio old pct of working-age population,0.39885,True,0.4244,True
25,employment in agriculture pct of total employment modeled ilo estimate,-0.39601,True,-0.37196,True
26,mortality rate adult female per 1000 female adults,-0.39563,True,-0.3819,True
27,population ages 5-9 female pct of female population,-0.39455,True,-0.38963,True
28,population ages 70-74 male pct of male population,0.39433,True,0.41862,True
29,population ages 60-64 female pct of female population,0.39411,True,0.39338,True
30,population ages 0-14 female pct of total,-0.39239,True,-0.38557,True
31,population ages 70-74 female pct of female population,0.39109,True,0.40446,True
32,population ages 60-64 male pct of male population,0.39026,True,0.39337,True
33,access to electricity pct of population,0.39025,True,0.39959,True
34,population ages 0-4 female pct of female population,-0.3899,True,-0.37689,True
35,vulnerable employment female pct of female employment modeled ilo estimate,-0.38304,True,-0.33629,True
36,birth rate crude per 1000 people,-0.38286,True,-0.34742,True
37,maternal mortality ratio modeled estimate per 100000 live births,-0.37837,True,-0.4091,True
38,population ages 50-54 female pct of female population,0.37816,True,0.37921,True
39,self-employed female pct of female employment modeled ilo estimate,-0.37698,True,-0.33304,True
40,wage and salaried workers female pct of female employment modeled ilo estimate,0.37698,True,0.33304,True
41,fertility rate total births per woman,-0.37585,True,-0.32187,True
42,population ages 0-14 pct of total,-0.37479,True,-0.3601,True
43,population ages 65-69 female pct of female population,0.37457,True,0.39344,True
44,population ages 10-14 female pct of female population,-0.37247,True,-0.37096,True
45,vulnerable employment total pct of total employment modeled ilo estimate,-0.36939,True,-0.32123,True
46,population ages 65-69 male pct of male population,0.3693,True,0.39996,True
47,age dependency ratio young pct of working-age population,-0.36892,True,-0.34333,True
48,self-employed total pct of total employment modeled ilo estimate,-0.36688,True,-0.32711,True
49,wage and salaried workers total pct of total employment modeled ilo estimate,0.36688,True,0.32711,True
