#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,access to electricity pct of population,0.46804,True,0.39604,True
2,population ages 0-4 female pct of female population,-0.46136,True,-0.41853,True
3,survival to age 65 female pct of cohort,0.45337,True,0.38977,True
4,population ages 5-9 female pct of female population,-0.45323,True,-0.42543,True
5,life expectancy at birth female years,0.45261,True,0.3996,True
6,fertility rate total births per woman,-0.45103,True,-0.39671,True
7,mortality rate adult female per 1000 female adults,-0.44924,True,-0.38986,True
8,access to electricity urban pct of urban population,0.44738,True,0.41458,True
9,population ages 0-14 female pct of total,-0.44636,True,-0.41591,True
10,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.44601,True,-0.42162,True
11,life expectancy at birth total years,0.44403,True,0.3847,True
12,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.4432,True,-0.42059,True
13,birth rate crude per 1000 people,-0.4403,True,-0.37503,True
14,mortality rate infant per 1000 live births,-0.43503,True,-0.3824,True
15,maternal mortality ratio modeled estimate per 100000 live births,-0.43479,True,-0.38144,True
16,age dependency ratio young pct of working-age population,-0.43304,True,-0.3804,True
17,population ages 15-64 female pct of total,0.43244,True,0.38197,True
18,prevalence of anemia among children pct of children under 5,-0.43213,True,-0.39623,True
19,life expectancy at birth male years,0.4278,True,0.37302,True
20,population ages 45-49 female pct of female population,0.42724,True,0.41756,True
21,population ages 50-54 female pct of female population,0.42671,True,0.42654,True
22,mortality rate under-5 per 1000 live births,-0.42519,True,-0.38246,True
23,lifetime risk of maternal death pct,-0.42373,True,-0.39449,True
24,population ages 0-4 male pct of male population,-0.42146,True,-0.36748,True
25,population ages 0-14 pct of total,-0.41878,True,-0.3768,True
26,total natural resources rents pct of gdp,-0.41178,True,-0.34851,True
27,age dependency ratio pct of working-age population,-0.40794,True,-0.349,True
28,population ages 55-59 female pct of female population,0.40704,True,0.4251,True
29,population ages 5-9 male pct of male population,-0.40385,True,-0.3743,True
30,survival to age 65 male pct of cohort,0.40343,True,0.36145,True
31,adolescent fertility rate births per 1000 women ages 15-19,-0.4005,True,-0.32894,True
32,population ages 0-14 male pct of total,-0.39776,True,-0.36667,True
33,mortality rate neonatal per 1000 live births,-0.39251,True,-0.3645,True
34,population ages 10-14 female pct of female population,-0.38893,True,-0.3836,True
35,immunization measles pct of children ages 12-23 months,0.38599,True,0.3182,True
36,mortality rate adult male per 1000 male adults,-0.3842,True,-0.34302,True
37,immunization dpt pct of children ages 12-23 months,0.38254,True,0.31524,True
38,population ages 15-64 pct of total,0.38026,True,0.34838,True
39,population ages 55-59 male pct of male population,0.3802,True,0.39107,True
40,access to electricity rural pct of rural population,0.37946,True,0.34314,True
41,population ages 50-54 male pct of male population,0.37577,True,0.3747,True
42,population ages 60-64 female pct of female population,0.37026,True,0.39806,True
43,population ages 45-49 male pct of male population,0.36372,True,0.34238,True
44,population ages 60-64 male pct of male population,0.36087,True,0.38685,True
45,population ages 40-44 female pct of female population,0.35638,True,0.33212,True
46,population ages 15-64 male pct of total,0.35282,True,0.32765,True
47,population ages 70-74 male pct of male population,0.34091,True,0.4017,True
48,population ages 65 and above male pct of total,0.33892,True,0.40425,True
49,population ages 65-69 female pct of female population,0.33427,True,0.39087,True
50,population ages 65 and above pct of total,0.33352,True,0.40181,True
51,renewable energy consumption pct of total final energy consumption,-0.3334,True,-0.25547,True
52,population ages 65-69 male pct of male population,0.33244,True,0.38694,True
53,population ages 70-74 female pct of female population,0.32986,True,0.39543,True
54,population ages 75-79 male pct of male population,0.32977,True,0.40728,True
55,population ages 65 and above female pct of total,0.32768,True,0.39849,True
56,population ages 80 and above male pct of male population,0.32733,True,0.40834,True
57,population ages 10-14 male pct of male population,-0.327,True,-0.33386,True
58,population ages 75-79 female pct of female population,0.31713,True,0.39734,True
59,forest rents pct of gdp,-0.31577,True,-0.26812,True
60,age dependency ratio old pct of working-age population,0.30987,True,0.39118,True
61,population ages 80 and above female pct of female population,0.30975,True,0.40488,True
62,population growth annual pct,-0.29925,True,-0.37515,True
63,oil rents pct of gdp,-0.29902,True,-0.07558,True
64,employment in industry male pct of male employment modeled ilo estimate,0.29235,True,0.27835,True
65,mobile cellular subscriptions per 100 people,0.29185,True,0.30528,True
66,population ages 15-19 female pct of female population,-0.287,True,-0.3016,True
67,employment in agriculture pct of total employment modeled ilo estimate,-0.2836,True,-0.24895,True
68,fixed telephone subscriptions per 100 people,0.28097,True,0.34321,True
69,employment in agriculture female pct of female employment modeled ilo estimate,-0.28041,True,-0.20723,True
70,vulnerable employment female pct of female employment modeled ilo estimate,-0.27239,True,-0.20491,True
71,vulnerable employment total pct of total employment modeled ilo estimate,-0.27069,True,-0.19675,True
72,self-employed female pct of female employment modeled ilo estimate,-0.26956,True,-0.20321,True
73,wage and salaried workers female pct of female employment modeled ilo estimate,0.26956,True,0.20321,True
74,employment in agriculture male pct of male employment modeled ilo estimate,-0.26461,True,-0.23128,True
75,individuals using the internet pct of population,0.26424,True,0.31138,True
76,employment in industry pct of total employment modeled ilo estimate,0.26026,True,0.22001,True
77,self-employed total pct of total employment modeled ilo estimate,-0.26019,True,-0.19386,True
78,wage and salaried workers total pct of total employment modeled ilo estimate,0.26019,True,0.19386,True
79,urban population growth annual pct,-0.25927,True,-0.29592,True
80,population ages 40-44 male pct of male population,0.25616,True,0.28331,True
81,rural population growth annual pct,-0.25152,True,-0.30298,True
82,vulnerable employment male pct of male employment modeled ilo estimate,-0.25126,True,-0.18239,True
83,death rate crude per 1000 people,-0.2509,True,-0.22909,True
84,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.24694,True,0.21849,True
85,employment in services pct of total employment modeled ilo estimate,0.24517,True,0.22983,True
86,employers male pct of male employment modeled ilo estimate,0.24167,True,0.27379,True
87,wage and salaried workers male pct of male employment modeled ilo estimate,0.23236,True,0.17955,True
88,self-employed male pct of male employment modeled ilo estimate,-0.23236,True,-0.17955,True
89,population ages 35-39 female pct of female population,0.23008,True,0.27934,True
90,energy intensity level of primary energy mj  2011 ppp gdp,-0.2249,True,-0.20854,True
91,employment in industry female pct of female employment modeled ilo estimate,0.22395,True,0.26611,True
92,employment in services female pct of female employment modeled ilo estimate,0.21962,True,0.18085,True
93,cereal yield kg per hectare,0.21877,True,0.31456,True
94,lifetime risk of maternal death 1 in  rate varies by country,0.21873,True,0.32297,True
95,co2 emissions from liquid fuel consumption pct of total,-0.21314,True,-0.22474,True
96,population ages 15-19 male pct of male population,-0.21168,True,-0.23963,True
97,co2 emissions from solid fuel consumption pct of total,0.20881,True,0.26117,True
98,employers total pct of total employment modeled ilo estimate,0.20832,True,0.24917,True
99,employment in services male pct of male employment modeled ilo estimate,0.2057,True,0.18167,True
100,contributing family workers male pct of male employment modeled ilo estimate,-0.19176,True,-0.11827,True
101,rural population pct of total population,-0.18822,True,-0.17757,True
102,urban population pct of total,0.18822,True,0.17757,True
103,population ages 20-24 female pct of female population,-0.18282,True,-0.16456,True
104,crop production index 2004-2006 = 100,0.16637,True,0.24731,True
105,unemployment female pct of female labor force modeled ilo estimate,-0.16499,True,-0.08341,True
106,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.16431,True,0.14179,True
107,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.16277,True,0.15793,True
108,temparature ($^\circ$c),-0.15858,True,-0.1693,True
109,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.15335,True,0.14397,True
110,food production index 2004-2006 = 100,0.15284,True,0.25454,True
111,population female pct of total,0.15212,True,0.13535,True
112,population male pct of total,-0.15212,True,-0.13535,True
113,contributing family workers total pct of total employment modeled ilo estimate,-0.15168,True,-0.08938,True
114,employers female pct of female employment modeled ilo estimate,0.14085,True,0.20397,True
115,renewable electricity output pct of total electricity output,-0.13975,True,-0.11946,True
116,co2 emissions from gaseous fuel consumption pct of total,0.13958,True,0.16001,True
117,population ages 35-39 male pct of male population,0.13929,True,0.26386,True
118,labor force total,0.13618,True,0.13019,True
119,mobile cellular subscriptions,0.13462,True,0.22117,True
120,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.13184,True,0.11236,True
122,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.12984,True,0.11422,True
123,population ages 65 and above female,0.12943,True,0.22227,True
125,population ages 65 and above total,0.12857,True,0.21474,True
126,co2 emissions metric tons per capita,0.12763,True,0.2395,True
127,population ages 65 and above male,0.12747,True,0.2099,True
128,number of maternal deaths,-0.12432,True,-0.28096,True
129,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.12325,True,0.1077,True
130,cereal production metric tons,0.12092,True,0.21161,True
131,population ages 15-64 female,0.11913,True,0.0974,True
132,population ages 15-64 total,0.1184,True,0.09087,True
133,population ages 15-64 male,0.11771,True,0.08599,True
134,total fisheries production metric tons,0.11672,True,0.0726,True
135,urban population,0.11575,True,0.11675,True
136,agricultural land pct of land area,-0.11553,True,-0.09519,True
137,population female,0.11347,True,0.07552,True
138,fixed telephone subscriptions,0.1125,True,0.24693,True
139,population male,0.11242,True,0.06242,True
140,population total,0.11193,True,0.05777,True
141,population ages 20-24 male pct of male population,-0.11165,True,-0.09665,True
142,land under cereal production hectares,0.1116,True,0.13126,True
143,livestock production index 2004-2006 = 100,0.10934,True,0.20115,True
144,arable land pct of land area,0.10859,True,0.10142,True
145,capture fisheries production metric tons,0.10645,True,0.05816,True
146,contributing family workers female pct of female employment modeled ilo estimate,-0.1026,True,-0.06184,True
147,coal rents pct of gdp,0.10023,True,0.16324,True
149,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.09861,True,0.08617,True
152,co2 emissions from solid fuel consumption kt,0.09155,True,0.14768,True
153,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.09133,True,0.07497,True
154,lower secondary school starting age years,-0.09035,True,-0.08894,True
155,gdp per person employed constant 2011 ppp  ,0.09023,True,0.18141,True
156,labor force female pct of total labor force,0.088,True,-0.05286,True
158,refugee population by country or territory of origin,-0.08473,True,-0.10668,True
161,population density people per sq. km of land area,0.07477,True,0.19349,True
162,co2 emissions kt,0.07391,True,0.11258,True
164,preprimary education duration years,-0.06451,True,-0.06642,True
165,primary education duration years,-0.06438,True,-0.07711,True
166,permanent cropland pct of land area,0.06166,True,0.07579,True
168,surface area sq. km,0.05642,True,-0.06403,True
169,land area sq. km,0.05619,True,-0.05955,True
171,population ages 30-34 female pct of female population,0.05208,True,0.15887,True
172,secondary education duration years,-0.05201,True,-0.084,True
173,employment to population ratio 15+ male pct modeled ilo estimate,0.05164,True,0.05019,True
175,number of under-five deaths,-0.04983,True,-0.21907,True
176,primary school starting age years,-0.04795,True,-0.04357,True
177,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.04039,True,0.03843,True
178,employment to population ratio 15+ total pct modeled ilo estimate,0.03588,True,0.05121,True
179,number of infant deaths,-0.03316,False,-0.20263,True
181,population ages 30-34 male pct of male population,0.02782,False,0.16326,True
182,co2 emissions from gaseous fuel consumption kt,-0.02546,False,0.07399,True
183,natural gas rents pct of gdp,0.02075,False,0.06044,True
185,arable land hectares per person,0.01557,False,-0.13264,True
