#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,permanent cropland pct of land area,0.09751,True,0.04978,True
2,employment in industry female pct of female employment modeled ilo estimate,0.07022,True,0.04816,True
3,food production index 2004-2006 = 100,-0.05135,True,-0.04046,True
4,employment in industry pct of total employment modeled ilo estimate,0.04647,True,0.04604,True
5,crop production index 2004-2006 = 100,-0.0455,True,-0.03998,True
6,forest area pct of land area,0.04332,True,0.03993,True
7,mobile cellular subscriptions per 100 people,-0.04179,True,-0.03703,True
8,preprimary education duration years,-0.03576,True,-0.03838,True
9,individuals using the internet pct of population,-0.03374,False,-0.03714,True
11,death rate crude per 1000 people,-0.03038,False,-0.04046,True
12,unemployment male pct of male labor force modeled ilo estimate,-0.02705,False,-0.03564,True
13,livestock production index 2004-2006 = 100,-0.02576,False,-0.03458,True
19,immunization measles pct of children ages 12-23 months,0.02368,False,0.03901,True
34,immunization dpt pct of children ages 12-23 months,0.0215,False,0.03701,True
46,arable land hectares per person,-0.01891,False,-0.03563,True
10,urban population growth annual pct,0.03155,False,0.03175,False
14,unemployment total pct of total labor force modeled ilo estimate,-0.02543,False,-0.03392,False
15,employment in industry male pct of male employment modeled ilo estimate,0.02507,False,0.03086,False
16,population ages 80 and above female pct of female population,-0.02404,False,-0.02619,False
17,population ages 75-79 female pct of female population,-0.02394,False,-0.023,False
18,population ages 65 and above female pct of total,-0.02386,False,-0.02235,False
20,population ages 70-74 female pct of female population,-0.02348,False,-0.02248,False
21,age dependency ratio old pct of working-age population,-0.02325,False,-0.0231,False
22,population ages 65 and above pct of total,-0.02313,False,-0.02081,False
23,temparature ($^\circ$c),0.02282,False,0.03075,False
24,employers female pct of female employment modeled ilo estimate,-0.02265,False,-0.02697,False
25,population ages 70-74 male pct of male population,-0.02253,False,-0.02006,False
26,population ages 50-54 female pct of female population,-0.02234,False,-0.02044,False
27,population ages 75-79 male pct of male population,-0.02233,False,-0.01988,False
28,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.0223,False,-0.03312,False
29,agricultural land pct of land area,-0.022,False,-0.02418,False
30,population ages 65-69 female pct of female population,-0.02197,False,-0.01924,False
31,population ages 65 and above male pct of total,-0.02194,False,-0.0193,False
32,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.02189,False,-0.03224,False
33,adolescent fertility rate births per 1000 women ages 15-19,-0.02161,False,-0.0159,False
35,arable land pct of land area,-0.02147,False,-0.02257,False
36,population ages 65-69 male pct of male population,-0.02084,False,-0.01786,False
37,population ages 80 and above male pct of male population,-0.02067,False,-0.01656,False
38,employment to population ratio 15+ male pct modeled ilo estimate,0.02029,False,0.02431,False
39,unemployment female pct of female labor force modeled ilo estimate,-0.0202,False,-0.02961,False
40,co2 emissions from solid fuel consumption pct of total,-0.02013,False,-0.0133,False
41,population ages 55-59 female pct of female population,-0.01996,False,-0.0169,False
42,population ages 50-54 male pct of male population,-0.01994,False,-0.02002,False
43,population ages 20-24 female pct of female population,0.01988,False,0.02074,False
44,population ages 60-64 female pct of female population,-0.01952,False,-0.01674,False
45,renewable electricity output pct of total electricity output,-0.0192,False,-0.02069,False
47,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.01891,False,-0.02237,False
48,population ages 60-64 male pct of male population,-0.01874,False,-0.01588,False
49,population ages 10-14 female pct of female population,0.01859,False,0.01853,False
50,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.01847,False,-0.02787,False
51,forest rents pct of gdp,0.01845,False,0.03258,False
52,lifetime risk of maternal death 1 in  rate varies by country,-0.01845,False,-0.01448,False
53,mortality rate neonatal per 1000 live births,-0.01833,False,-0.01176,False
54,population growth annual pct,0.01821,False,0.02511,False
55,population ages 15-19 female pct of female population,0.01761,False,0.01305,False
56,primary school starting age years,-0.01729,False,-0.01748,False
57,population ages 5-9 female pct of female population,0.01723,False,0.02139,False
58,population ages 55-59 male pct of male population,-0.01717,False,-0.01604,False
59,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.0171,False,-0.029,False
60,population ages 10-14 male pct of male population,0.01709,False,0.01752,False
61,labor force female pct of total labor force,-0.0169,False,-0.03302,False
62,mortality rate infant per 1000 live births,-0.01671,False,-0.00977,False
63,population ages 5-9 male pct of male population,0.01667,False,0.02204,False
64,mortality rate under-5 per 1000 live births,-0.01633,False,-0.00963,False
65,population ages 0-14 female pct of total,0.01618,False,0.02124,False
66,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.01607,False,-0.02118,False
67,population ages 0-14 pct of total,0.01603,False,0.02155,False
68,renewable energy consumption pct of total final energy consumption,-0.01557,False,-0.01732,False
69,agricultural land sq. km,-0.01549,False,-0.01575,False
70,population ages 0-14 male pct of total,0.01542,False,0.0213,False
71,land under cereal production hectares,-0.01521,False,-0.01952,False
72,wage and salaried workers male pct of male employment modeled ilo estimate,0.01432,False,0.01089,False
73,self-employed male pct of male employment modeled ilo estimate,-0.01432,False,-0.01089,False
74,population ages 20-24 male pct of male population,0.01418,False,0.01171,False
75,population ages 15-19 male pct of male population,0.01388,False,0.00883,False
76,surface area sq. km,-0.01348,False,-0.00721,False
77,land area sq. km,-0.01347,False,-0.00579,False
78,population ages 0-4 female pct of female population,0.01334,False,0.02259,False
79,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.01321,False,0.01537,False
80,cereal production metric tons,-0.01308,False,-0.01419,False
81,maternal mortality ratio modeled estimate per 100000 live births,-0.01286,False,0.00507,False
82,population ages 0-4 male pct of male population,0.01284,False,0.02271,False
83,contributing family workers male pct of male employment modeled ilo estimate,-0.01277,False,-0.00168,False
84,lifetime risk of maternal death pct,-0.01268,False,0.00746,False
85,wage and salaried workers total pct of total employment modeled ilo estimate,0.01267,False,0.00643,False
86,self-employed total pct of total employment modeled ilo estimate,-0.01267,False,-0.00643,False
87,population ages 30-34 female pct of female population,0.01255,False,0.02422,False
