#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,co2 emissions from gaseous fuel consumption kt,0.09664,True,0.0289,False
2,co2 emissions from liquid fuel consumption kt,0.09348,True,0.02914,False
3,co2 emissions kt,0.04658,True,0.02741,False
4,fixed telephone subscriptions,0.04348,True,0.02653,False
5,co2 emissions metric tons per capita,0.04305,True,0.02845,False
6,agricultural land sq. km,0.04299,True,0.0264,False
7,surface area sq. km,0.04141,True,0.02673,False
8,land area sq. km,0.04089,True,0.02545,False
9,cereal production metric tons,0.03926,True,0.02547,False
10,fixed telephone subscriptions per 100 people,0.03728,True,0.02939,False
11,forest area sq. km,0.0371,True,0.02618,False
12,land under cereal production hectares,0.03284,False,0.0257,False
13,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.02368,False,-0.02954,False
14,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.02353,False,-0.02941,False
15,co2 emissions from solid fuel consumption kt,0.02274,False,0.02665,False
16,arable land hectares per person,0.02223,False,0.02603,False
17,prevalence of anemia among children pct of children under 5,-0.02099,False,-0.02848,False
18,gdp per person employed constant 2011 ppp  ,0.01983,False,0.02159,False
19,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.01981,False,0.02094,False
20,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.01936,False,0.02209,False
21,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.01907,False,0.02142,False
22,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.01886,False,0.0212,False
23,population ages 65 and above female,0.01852,False,0.02449,False
24,population ages 20-24 female pct of female population,-0.01821,False,-0.0191,False
25,self-employed male pct of male employment modeled ilo estimate,-0.01807,False,-0.02315,False
26,wage and salaried workers male pct of male employment modeled ilo estimate,0.01807,False,0.02315,False
27,employment in services pct of total employment modeled ilo estimate,0.018,False,0.01983,False
28,wage and salaried workers total pct of total employment modeled ilo estimate,0.01791,False,0.02193,False
29,self-employed total pct of total employment modeled ilo estimate,-0.01791,False,-0.02193,False
30,urban population,0.01785,False,0.02449,False
31,employment in services male pct of male employment modeled ilo estimate,0.01769,False,0.01938,False
32,vulnerable employment male pct of male employment modeled ilo estimate,-0.01753,False,-0.02156,False
33,vulnerable employment total pct of total employment modeled ilo estimate,-0.01746,False,-0.02112,False
34,self-employed female pct of female employment modeled ilo estimate,-0.01736,False,-0.01972,False
35,wage and salaried workers female pct of female employment modeled ilo estimate,0.01736,False,0.01972,False
36,vulnerable employment female pct of female employment modeled ilo estimate,-0.01733,False,-0.01905,False
37,mobile cellular subscriptions per 100 people,-0.01689,False,-0.01688,False
38,employment in agriculture male pct of male employment modeled ilo estimate,-0.01667,False,-0.02126,False
39,population ages 20-24 male pct of male population,-0.01657,False,-0.01709,False
40,population ages 40-44 female pct of female population,0.01639,False,0.01966,False
41,employment in agriculture pct of total employment modeled ilo estimate,-0.01637,False,-0.02139,False
42,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.01589,False,0.01996,False
43,population ages 65 and above total,0.0158,False,0.02449,False
44,employment in services female pct of female employment modeled ilo estimate,0.01545,False,0.01449,False
45,capture fisheries production metric tons,0.01544,False,0.02514,False
46,population ages 75-79 female pct of female population,0.01533,False,0.01638,False
47,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.01521,False,0.01924,False
48,employment in agriculture female pct of female employment modeled ilo estimate,-0.01515,False,-0.01768,False
49,renewable energy consumption pct of total final energy consumption,-0.01504,False,-0.01705,False
50,population ages 40-44 male pct of male population,0.01487,False,0.01782,False
51,population ages 80 and above female pct of female population,0.01487,False,0.01542,False
52,contributing family workers female pct of female employment modeled ilo estimate,-0.01437,False,-0.02496,False
53,cereal yield kg per hectare,0.01432,False,0.01771,False
54,population ages 25-29 female pct of female population,-0.01428,False,-0.01702,False
55,contributing family workers total pct of total employment modeled ilo estimate,-0.01423,False,-0.02521,False
56,population ages 15-19 female pct of female population,-0.01396,False,-0.01125,False
57,population ages 35-39 male pct of male population,0.01382,False,0.02142,False
58,population ages 35-39 female pct of female population,0.01371,False,0.02049,False
59,population ages 75-79 male pct of male population,0.01367,False,0.01444,False
60,contributing family workers male pct of male employment modeled ilo estimate,-0.01351,False,-0.02618,False
61,population ages 65 and above female pct of total,0.01341,False,0.01428,False
62,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.01327,False,0.01625,False
63,urban population pct of total,0.01316,False,0.01262,False
64,rural population pct of total population,-0.01316,False,-0.01262,False
