#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,capture fisheries production metric tons,0.12185,True,0.05579,True,Decision
2,rural population,0.12009,True,0.0547,True,Decision
3,cereal production metric tons,0.11443,True,0.0554,True,Decision
4,labor force total,0.11425,True,0.05354,True,Decision
5,population ages 0-14 female,0.11189,True,0.05491,True,Decision
6,population total,0.11144,True,0.05388,True,Decision
7,population ages 0-14 total,0.11125,True,0.05472,True,Decision
8,population female,0.11119,True,0.05388,True,Decision
9,population ages 0-14 male,0.11066,True,0.05456,True,Decision
10,population male,0.11065,True,0.05371,True,Decision
11,population ages 15-64 female,0.11012,True,0.05393,True,Decision
12,population ages 15-64 total,0.10999,True,0.05393,True,Decision
13,population ages 15-64 male,0.10986,True,0.05393,True,Decision
14,agricultural land sq. km,0.10945,True,0.056,True,Decision
15,land under cereal production hectares,0.10495,True,0.05416,True,Decision
16,population ages 65 and above male,0.10138,True,0.05398,True,Decision
17,population ages 65 and above total,0.10131,True,0.05399,True,Decision
18,population ages 65 and above female,0.1011,True,0.05399,True,Decision
19,total fisheries production metric tons,0.09865,True,0.05299,True,Decision
20,urban population,0.09465,True,0.05393,True,Decision
21,co2 emissions from solid fuel consumption kt,0.09043,True,0.05497,True,Decision
22,co2 emissions kt,0.08635,True,0.05356,True,Decision
23,fixed telephone subscriptions,0.08587,True,0.05363,True,Decision
24,land area sq. km,0.084,True,0.05494,True,Decision
25,surface area sq. km,0.08252,True,0.05124,True,Decision
26,co2 emissions from solid fuel consumption pct of total,0.07612,True,0.05321,True,Decision
27,employment in industry female pct of female employment modeled ilo estimate,0.06969,True,0.04663,True,Decision
28,co2 emissions from liquid fuel consumption kt,0.06499,True,0.05286,True,Decision
29,coal rents pct of gdp,0.06314,True,0.04281,True,Decision
30,number of neonatal deaths,0.05691,True,0.0511,True,Decision
31,number of infant deaths,0.05431,True,0.04849,True,Decision
32,co2 emissions from liquid fuel consumption pct of total,-0.05162,True,-0.04941,True,Decision
33,number of under-five deaths,0.04825,True,0.04784,True,Decision
34,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.04406,True,0.04303,True,Decision
35,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.04337,True,0.04164,True,Decision
36,forest area sq. km,0.04284,True,0.04866,True,Decision
37,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.04045,True,0.0397,True,Decision
38,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.03983,True,0.04088,True,Decision
39,employment to population ratio 15+ total pct modeled ilo estimate,0.03949,True,0.04097,True,Decision
40,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.03899,True,0.04035,True,Decision
41,employment to population ratio 15+ female pct modeled ilo estimate,0.03796,True,0.04465,True,Decision
42,population ages 30-34 female pct of female population,0.03757,True,0.03548,True,Decision
43,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.03744,True,0.0413,True,Decision
44,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.03539,True,0.04228,True,Decision
48,population ages 15-64 female pct of total,0.03304,False,0.03783,True,Decision
50,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.03235,False,0.04077,True,Decision
52,employment in industry pct of total employment modeled ilo estimate,0.03136,False,0.03695,True,Decision
57,adolescent fertility rate births per 1000 women ages 15-19,-0.02912,False,-0.0356,True,Decision
59,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.02825,False,0.03486,True,Decision
63,fertility rate total births per woman,-0.02638,False,-0.0361,True,Decision
