#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,fertility rate total births per woman,0.46032,True,0.3706,True
2,mortality rate under-5 per 1000 live births,0.46016,True,0.36784,True
3,birth rate crude per 1000 people,0.44552,True,0.36967,True
4,mortality rate infant per 1000 live births,0.4388,True,0.36289,True
5,age dependency ratio pct of working-age population,0.43382,True,0.37167,True
6,age dependency ratio young pct of working-age population,0.43159,True,0.37261,True
7,mortality rate neonatal per 1000 live births,0.43153,True,0.36461,True
8,population ages 0-4 male pct of male population,0.43106,True,0.3696,True
9,life expectancy at birth female years,-0.42859,True,-0.36431,True
10,life expectancy at birth total years,-0.42653,True,-0.36471,True
11,population ages 0-4 female pct of female population,0.42422,True,0.36542,True
12,population ages 15-64 female pct of total,-0.42103,True,-0.36852,True
13,life expectancy at birth male years,-0.42016,True,-0.36491,True
14,access to electricity pct of population,-0.4194,True,-0.34238,True
15,survival to age 65 female pct of cohort,-0.41659,True,-0.35786,True
16,prevalence of anemia among children pct of children under 5,0.41347,True,0.34271,True
17,population ages 15-64 pct of total,-0.4123,True,-0.37105,True
18,access to electricity rural pct of rural population,-0.40788,True,-0.32523,True
19,adolescent fertility rate births per 1000 women ages 15-19,0.40687,True,0.34322,True
20,population ages 0-14 pct of total,0.40575,True,0.3693,True
21,population ages 0-14 male pct of total,0.40502,True,0.36883,True
22,population ages 15-64 male pct of total,-0.40412,True,-0.36856,True
23,population ages 0-14 female pct of total,0.40142,True,0.36669,True
24,population ages 5-9 male pct of male population,0.39756,True,0.3662,True
25,population ages 5-9 female pct of female population,0.39459,True,0.36477,True
26,lifetime risk of maternal death pct,0.39326,True,0.35513,True
27,immunization measles pct of children ages 12-23 months,-0.38801,True,-0.32339,True
28,survival to age 65 male pct of cohort,-0.38593,True,-0.35311,True
29,immunization dpt pct of children ages 12-23 months,-0.3793,True,-0.3162,True
30,access to electricity urban pct of urban population,-0.37855,True,-0.34141,True
31,mortality rate adult female per 1000 female adults,0.37679,True,0.34852,True
32,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.36963,True,0.32591,True
33,maternal mortality ratio modeled estimate per 100000 live births,0.36933,True,0.34728,True
34,population ages 40-44 female pct of female population,-0.36685,True,-0.35231,True
35,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.36607,True,0.32354,True
36,renewable energy consumption pct of total final energy consumption,0.36423,True,0.30597,True
37,population ages 45-49 male pct of male population,-0.36267,True,-0.34905,True
38,population ages 45-49 female pct of female population,-0.35769,True,-0.35205,True
39,mobile cellular subscriptions per 100 people,-0.35267,True,-0.34469,True
40,population ages 10-14 female pct of female population,0.35134,True,0.35122,True
41,vulnerable employment total pct of total employment modeled ilo estimate,0.35105,True,0.30813,True
42,vulnerable employment male pct of male employment modeled ilo estimate,0.35046,True,0.30701,True
43,population ages 50-54 male pct of male population,-0.3503,True,-0.3509,True
44,employment in agriculture male pct of male employment modeled ilo estimate,0.34918,True,0.2953,True
45,population ages 40-44 male pct of male population,-0.34749,True,-0.34443,True
46,population ages 10-14 male pct of male population,0.34735,True,0.3464,True
47,self-employed total pct of total employment modeled ilo estimate,0.3472,True,0.30468,True
48,wage and salaried workers total pct of total employment modeled ilo estimate,-0.3472,True,-0.30468,True
49,employment in agriculture pct of total employment modeled ilo estimate,0.34643,True,0.29812,True
50,wage and salaried workers male pct of male employment modeled ilo estimate,-0.34524,True,-0.30386,True
51,self-employed male pct of male employment modeled ilo estimate,0.34524,True,0.30386,True
52,vulnerable employment female pct of female employment modeled ilo estimate,0.34052,True,0.30502,True
53,population ages 50-54 female pct of female population,-0.33915,True,-0.34403,True
54,population ages 35-39 female pct of female population,-0.33903,True,-0.33624,True
55,self-employed female pct of female employment modeled ilo estimate,0.33884,True,0.30201,True
56,wage and salaried workers female pct of female employment modeled ilo estimate,-0.33884,True,-0.30201,True
57,employment in industry male pct of male employment modeled ilo estimate,-0.33799,True,-0.30944,True
58,mortality rate adult male per 1000 male adults,0.33563,True,0.33802,True
59,population ages 55-59 male pct of male population,-0.32543,True,-0.34704,True
60,death rate crude per 1000 people,0.32489,True,0.28614,True
61,employment in agriculture female pct of female employment modeled ilo estimate,0.31871,True,0.28553,True
62,population ages 55-59 female pct of female population,-0.31025,True,-0.32917,True
63,individuals using the internet pct of population,-0.30912,True,-0.35169,True
64,employment in industry pct of total employment modeled ilo estimate,-0.30799,True,-0.28204,True
65,employment in services pct of total employment modeled ilo estimate,-0.30334,True,-0.26877,True
66,employment in services male pct of male employment modeled ilo estimate,-0.30066,True,-0.26155,True
67,population ages 35-39 male pct of male population,-0.29793,True,-0.32694,True
68,contributing family workers male pct of male employment modeled ilo estimate,0.29581,True,0.25182,True
69,employment in services female pct of female employment modeled ilo estimate,-0.29059,True,-0.26605,True
70,rural population pct of total population,0.28575,True,0.27677,True
71,urban population pct of total,-0.28575,True,-0.27677,True
72,population ages 15-19 female pct of female population,0.28517,True,0.30639,True
73,population ages 60-64 male pct of male population,-0.28322,True,-0.31947,True
74,population ages 60-64 female pct of female population,-0.27751,True,-0.31041,True
75,urban population growth annual pct,0.27742,True,0.28415,True
76,population ages 15-19 male pct of male population,0.27664,True,0.29223,True
77,population ages 65 and above male pct of total,-0.26873,True,-0.31693,True
78,population ages 65-69 male pct of male population,-0.26858,True,-0.30884,True
79,population ages 70-74 male pct of male population,-0.2682,True,-0.31744,True
80,population ages 65-69 female pct of female population,-0.26593,True,-0.3003,True
81,population ages 65 and above pct of total,-0.26484,True,-0.31526,True
82,fixed telephone subscriptions per 100 people,-0.26391,True,-0.31486,True
83,population ages 75-79 male pct of male population,-0.26208,True,-0.3151,True
84,population ages 65 and above female pct of total,-0.26112,True,-0.31356,True
85,cereal yield kg per hectare,-0.26062,True,-0.32619,True
86,population ages 70-74 female pct of female population,-0.25862,True,-0.30828,True
87,population ages 75-79 female pct of female population,-0.25657,True,-0.31319,True
88,population ages 80 and above male pct of male population,-0.25521,True,-0.31744,True
89,contributing family workers total pct of total employment modeled ilo estimate,0.25088,True,0.22379,True
90,population growth annual pct,0.24866,True,0.3087,True
91,population ages 80 and above female pct of female population,-0.24765,True,-0.32131,True
92,forest rents pct of gdp,0.24523,True,0.28317,True
93,age dependency ratio old pct of working-age population,-0.24117,True,-0.29044,True
94,rural population growth annual pct,0.23882,True,0.28795,True
95,gdp per person employed constant 2011 ppp  ,-0.23363,True,-0.29591,True
96,population ages 30-34 female pct of female population,-0.22231,True,-0.26096,True
97,co2 emissions from liquid fuel consumption pct of total,0.21315,True,0.20914,True
