#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,population density people per sq. km of land area,0.27238,True,0.10754,True,Decision
2,population ages 35-39 female pct of female population,0.26798,True,0.24716,True,Decision
3,population ages 40-44 female pct of female population,0.22514,True,0.21246,True,Decision
4,fixed telephone subscriptions,0.20698,True,0.14749,True,Decision
5,co2 emissions from solid fuel consumption pct of total,0.19259,True,0.17403,True,Decision
6,population ages 30-34 female pct of female population,0.1886,True,0.18115,True,Decision
7,population ages 40-44 male pct of male population,0.18414,True,0.19236,True,Decision
8,population ages 15-64 female pct of total,0.18119,True,0.1982,True,Decision
9,rural population,0.18114,True,0.03805,True,Decision
10,capture fisheries production metric tons,0.18051,True,0.09326,True,Decision
11,labor force total,0.17526,True,0.08709,True,Decision
12,population ages 35-39 male pct of male population,0.17405,True,0.23601,True,Decision
13,population ages 0-4 female pct of female population,-0.17014,True,-0.18021,True,Decision
14,employment in industry female pct of female employment modeled ilo estimate,0.17007,True,0.1381,True,Decision
15,surface area sq. km,0.16765,True,0.04877,True,Decision
16,land area sq. km,0.16729,True,0.0508,True,Decision
17,population total,0.16708,True,0.07904,True,Decision
18,population ages 15-64 female,0.16686,True,0.08431,True,Decision
19,population ages 15-64 total,0.16634,True,0.08189,True,Decision
20,population ages 15-64 male,0.16584,True,0.08054,True,Decision
21,population female,0.16505,True,0.07539,True,Decision
22,population male,0.16387,True,0.07057,True,Decision
23,land under cereal production hectares,0.16375,True,0.11921,True,Decision
24,birth rate crude per 1000 people,-0.16307,True,-0.19158,True,Decision
25,population ages 45-49 female pct of female population,0.16272,True,0.16331,True,Decision
26,population ages 0-4 male pct of male population,-0.16248,True,-0.17633,True,Decision
27,fertility rate total births per woman,-0.16078,True,-0.22518,True,Decision
28,fixed telephone subscriptions per 100 people,0.15812,True,0.15577,True,Decision
29,agricultural land sq. km,0.15809,True,0.03982,True,Decision
30,population growth annual pct,-0.15753,True,-0.17289,True,Decision
31,population ages 45-49 male pct of male population,0.15632,True,0.15275,True,Decision
32,population ages 15-64 pct of total,0.15543,True,0.18627,True,Decision
33,population ages 65 and above female,0.15542,True,0.10853,True,Decision
34,population ages 65 and above total,0.1554,True,0.10701,True,Decision
35,population ages 65 and above male,0.15516,True,0.10769,True,Decision
36,cereal production metric tons,0.15422,True,0.12278,True,Decision
37,population ages 0-14 female,0.15279,True,0.05182,True,Decision
38,population ages 0-14 total,0.15267,True,0.05244,True,Decision
39,population ages 0-14 male,0.15252,True,0.05272,True,Decision
40,total fisheries production metric tons,0.15236,True,0.08977,True,Decision
41,adolescent fertility rate births per 1000 women ages 15-19,-0.15002,True,-0.18604,True,Decision
42,age dependency ratio pct of working-age population,-0.14967,True,-0.18628,True,Decision
43,forest area sq. km,0.1429,True,0.13362,True,Decision
44,population ages 20-24 male pct of male population,-0.14266,True,-0.14301,True,Decision
45,population ages 0-14 female pct of total,-0.14127,True,-0.12708,True,Decision
46,population ages 5-9 female pct of female population,-0.1406,True,-0.12496,True,Decision
47,urban population,0.13991,True,0.10416,True,Decision
48,population ages 15-64 male pct of total,0.13856,True,0.17251,True,Decision
49,population ages 50-54 male pct of male population,0.13802,True,0.13484,True,Decision
50,co2 emissions from liquid fuel consumption pct of total,-0.13665,True,-0.13612,True,Decision
51,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.1366,True,0.14648,True,Decision
52,age dependency ratio young pct of working-age population,-0.13657,True,-0.13396,True,Decision
53,temparature ($^\circ$c),-0.13542,True,-0.10114,True,Decision
54,population ages 50-54 female pct of female population,0.13502,True,0.12424,True,Decision
55,population ages 0-14 pct of total,-0.13494,True,-0.11931,True,Decision
56,prevalence of anemia among children pct of children under 5,-0.132,True,-0.12559,True,Decision
57,population ages 0-14 male pct of total,-0.13064,True,-0.11848,True,Decision
58,survival to age 65 male pct of cohort,0.13004,True,0.12616,True,Decision
59,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.12882,True,0.13979,True,Decision
60,population ages 5-9 male pct of male population,-0.12876,True,-0.11318,True,Decision
61,population ages 20-24 female pct of female population,-0.12807,True,-0.12753,True,Decision
62,crop production index 2004-2006 = 100,-0.12472,True,-0.19255,True,Decision
63,food production index 2004-2006 = 100,-0.12163,True,-0.18687,True,Decision
64,co2 emissions kt,0.12103,True,0.12036,True,Decision
65,co2 emissions from liquid fuel consumption kt,0.11987,True,0.1177,True,Decision
66,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.11941,True,0.12339,True,Decision
67,co2 emissions from solid fuel consumption kt,0.11871,True,0.1402,True,Decision
68,survival to age 65 female pct of cohort,0.11824,True,0.11933,True,Decision
69,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.11462,True,-0.11573,True,Decision
70,life expectancy at birth male years,0.11444,True,0.10971,True,Decision
71,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.11402,True,-0.11558,True,Decision
72,life expectancy at birth total years,0.11287,True,0.10015,True,Decision
73,life expectancy at birth female years,0.11043,True,0.10017,True,Decision
74,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.10954,True,0.11508,True,Decision
75,access to electricity pct of population,0.10918,True,0.1081,True,Decision
76,mortality rate adult male per 1000 male adults,-0.10899,True,-0.10416,True,Decision
77,renewable energy consumption pct of total final energy consumption,-0.10798,True,-0.10547,True,Decision
78,employment to population ratio 15+ female pct modeled ilo estimate,0.10585,True,0.11104,True,Decision
79,livestock production index 2004-2006 = 100,-0.10572,True,-0.16859,True,Decision
80,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.10396,True,0.11138,True,Decision
81,mobile cellular subscriptions per 100 people,-0.1013,True,-0.10734,True,Decision
82,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.10118,True,-0.09732,True,Decision
83,mortality rate adult female per 1000 female adults,-0.09976,True,-0.09928,True,Decision
84,total natural resources rents pct of gdp,-0.09968,True,-0.14033,True,Decision
85,population ages 30-34 male pct of male population,0.09909,True,0.15945,True,Decision
86,employment in industry pct of total employment modeled ilo estimate,0.09772,True,0.10151,True,Decision
87,population ages 65-69 male pct of male population,0.09627,True,0.11318,True,Decision
88,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.09516,True,0.10267,True,Decision
89,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.09416,True,0.09761,True,Decision
90,access to electricity urban pct of urban population,0.09356,True,0.12341,True,Decision
91,unemployment female pct of female labor force modeled ilo estimate,-0.09337,True,-0.09568,True,Decision
92,death rate crude per 1000 people,-0.09084,True,-0.09893,True,Decision
93,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.0904,True,-0.08784,True,Decision
94,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.08988,True,0.10121,True,Decision
95,employment to population ratio 15+ total pct modeled ilo estimate,0.08893,True,0.09286,True,Decision
96,number of neonatal deaths,0.08877,True,0.07916,True,Decision
97,population ages 70-74 male pct of male population,0.08744,True,0.11613,True,Decision
98,population ages 10-14 female pct of female population,-0.08741,True,-0.07976,True,Decision
99,renewable electricity output pct of total electricity output,-0.08675,True,-0.08839,True,Decision
