#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,fertility rate total births per woman,-0.51048,True,-0.44957,True,Decision
2,population ages 0-4 female pct of female population,-0.504,True,-0.46879,True,Decision
3,mortality rate under-5 per 1000 live births,-0.50011,True,-0.40673,True,Decision
4,birth rate crude per 1000 people,-0.4913,True,-0.42661,True,Decision
5,access to electricity pct of population,0.49059,True,0.42871,True,Decision
6,life expectancy at birth female years,0.48588,True,0.42795,True,Decision
7,mortality rate infant per 1000 live births,-0.48568,True,-0.4035,True,Decision
8,population ages 5-9 female pct of female population,-0.48347,True,-0.4631,True,Decision
9,population ages 0-14 female pct of total,-0.48213,True,-0.4596,True,Decision
10,life expectancy at birth total years,0.47851,True,0.40918,True,Decision
11,survival to age 65 female pct of cohort,0.47379,True,0.41418,True,Decision
12,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.47318,True,-0.44647,True,Decision
13,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.47106,True,-0.44491,True,Decision
14,age dependency ratio young pct of working-age population,-0.46627,True,-0.41893,True,Decision
15,mortality rate neonatal per 1000 live births,-0.46359,True,-0.39774,True,Decision
16,life expectancy at birth male years,0.463,True,0.39447,True,Decision
17,population ages 0-4 male pct of male population,-0.46232,True,-0.41407,True,Decision
18,prevalence of anemia among children pct of children under 5,-0.45782,True,-0.41808,True,Decision
19,access to electricity urban pct of urban population,0.45615,True,0.44204,True,Decision
20,population ages 50-54 female pct of female population,0.45489,True,0.45707,True,Decision
21,lifetime risk of maternal death pct,-0.45401,True,-0.41309,True,Decision
22,population ages 0-14 pct of total,-0.45216,True,-0.41705,True,Decision
23,population ages 15-64 female pct of total,0.44808,True,0.39722,True,Decision
24,population ages 45-49 female pct of female population,0.44798,True,0.44717,True,Decision
25,mortality rate adult female per 1000 female adults,-0.44603,True,-0.4019,True,Decision
26,population ages 55-59 female pct of female population,0.4357,True,0.45719,True,Decision
27,maternal mortality ratio modeled estimate per 100000 live births,-0.4329,True,-0.39479,True,Decision
28,age dependency ratio pct of working-age population,-0.4304,True,-0.36964,True,Decision
