#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,mortality rate under-5 per 1000 live births,0.39456,True,0.27042,True
2,fertility rate total births per woman,0.37169,True,0.26649,True
3,mortality rate infant per 1000 live births,0.35601,True,0.26418,True
4,access to electricity pct of population,-0.35548,True,-0.26205,True
5,birth rate crude per 1000 people,0.34638,True,0.26527,True
6,mortality rate neonatal per 1000 live births,0.34577,True,0.26551,True
7,life expectancy at birth female years,-0.34489,True,-0.26775,True
8,age dependency ratio pct of working-age population,0.34294,True,0.27144,True
9,prevalence of anemia among children pct of children under 5,0.34161,True,0.26944,True
10,life expectancy at birth total years,-0.34119,True,-0.26754,True
11,lifetime risk of maternal death pct,0.34045,True,0.25619,True
12,survival to age 65 female pct of cohort,-0.33448,True,-0.25972,True
13,life expectancy at birth male years,-0.33405,True,-0.26624,True
14,age dependency ratio young pct of working-age population,0.33328,True,0.26957,True
15,population ages 0-4 male pct of male population,0.32847,True,0.26403,True
16,population ages 15-64 female pct of total,-0.32751,True,-0.27171,True
17,access to electricity urban pct of urban population,-0.32726,True,-0.25975,True
18,access to electricity rural pct of rural population,-0.32224,True,-0.24516,True
19,population ages 0-4 female pct of female population,0.32138,True,0.26284,True
20,population ages 15-64 pct of total,-0.31956,True,-0.27137,True
21,employment in agriculture male pct of male employment modeled ilo estimate,0.31502,True,0.24941,True
22,population ages 15-64 male pct of total,-0.31292,True,-0.2698,True
23,maternal mortality ratio modeled estimate per 100000 live births,0.31066,True,0.25316,True
24,immunization dpt pct of children ages 12-23 months,-0.30691,True,-0.22397,True
25,population ages 0-14 male pct of total,0.30522,True,0.26887,True
26,population ages 0-14 pct of total,0.3046,True,0.26826,True
27,employment in agriculture pct of total employment modeled ilo estimate,0.30403,True,0.2448,True
28,mortality rate adult female per 1000 female adults,0.30377,True,0.24908,True
29,survival to age 65 male pct of cohort,-0.30333,True,-0.25754,True
30,immunization measles pct of children ages 12-23 months,-0.3017,True,-0.23445,True
31,population ages 0-14 female pct of total,0.3006,True,0.26736,True
32,death rate crude per 1000 people,0.30014,True,0.24068,True
33,adolescent fertility rate births per 1000 women ages 15-19,0.3001,True,0.23616,True
34,vulnerable employment male pct of male employment modeled ilo estimate,0.29918,True,0.24825,True
35,population ages 5-9 male pct of male population,0.29792,True,0.26761,True
36,renewable energy consumption pct of total final energy consumption,0.29411,True,0.23191,True
37,population ages 5-9 female pct of female population,0.29385,True,0.26523,True
38,wage and salaried workers male pct of male employment modeled ilo estimate,-0.29381,True,-0.24657,True
39,self-employed male pct of male employment modeled ilo estimate,0.29381,True,0.24657,True
40,vulnerable employment total pct of total employment modeled ilo estimate,0.29141,True,0.2491,True
41,self-employed total pct of total employment modeled ilo estimate,0.28694,True,0.24719,True
42,wage and salaried workers total pct of total employment modeled ilo estimate,-0.28694,True,-0.24719,True
43,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.2867,True,0.24331,True
44,employment in services male pct of male employment modeled ilo estimate,-0.28429,True,-0.23421,True
45,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.28393,True,0.24131,True
46,employment in industry male pct of male employment modeled ilo estimate,-0.28356,True,-0.24761,True
47,mobile cellular subscriptions per 100 people,-0.27774,True,-0.27233,True
48,population ages 40-44 female pct of female population,-0.27721,True,-0.26266,True
49,employment in services pct of total employment modeled ilo estimate,-0.27625,True,-0.23312,True
50,vulnerable employment female pct of female employment modeled ilo estimate,0.27565,True,0.24449,True
51,contributing family workers male pct of male employment modeled ilo estimate,0.2734,True,0.20723,True
52,wage and salaried workers female pct of female employment modeled ilo estimate,-0.27294,True,-0.24185,True
53,self-employed female pct of female employment modeled ilo estimate,0.27294,True,0.24185,True
