#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,fertility rate total births per woman,0.44596,True,0.35127,True,Decision
2,mortality rate under-5 per 1000 live births,0.44031,True,0.34824,True,Decision
3,birth rate crude per 1000 people,0.43127,True,0.35279,True,Decision
4,age dependency ratio pct of working-age population,0.42225,True,0.35258,True,Decision
5,age dependency ratio young pct of working-age population,0.42066,True,0.35534,True,Decision
6,mortality rate infant per 1000 live births,0.41714,True,0.3433,True,Decision
7,population ages 0-4 male pct of male population,0.41697,True,0.35231,True,Decision
8,population ages 0-4 female pct of female population,0.41128,True,0.34963,True,Decision
9,life expectancy at birth female years,-0.41103,True,-0.34697,True,Decision
10,life expectancy at birth total years,-0.40972,True,-0.34755,True,Decision
11,population ages 15-64 female pct of total,-0.40827,True,-0.34999,True,Decision
12,mortality rate neonatal per 1000 live births,0.40766,True,0.34293,True,Decision
13,access to electricity pct of population,-0.407,True,-0.32925,True,Decision
14,life expectancy at birth male years,-0.40413,True,-0.34553,True,Decision
15,survival to age 65 female pct of cohort,-0.40207,True,-0.33899,True,Decision
16,population ages 15-64 pct of total,-0.39868,True,-0.35245,True,Decision
17,population ages 0-14 pct of total,0.39369,True,0.35358,True,Decision
18,population ages 0-14 male pct of total,0.3923,True,0.35314,True,Decision
19,prevalence of anemia among children pct of children under 5,0.39138,True,0.33598,True,Decision
20,population ages 0-14 female pct of total,0.39048,True,0.35213,True,Decision
21,population ages 15-64 male pct of total,-0.39032,True,-0.35063,True,Decision
22,population ages 5-9 male pct of male population,0.38555,True,0.35142,True,Decision
23,population ages 5-9 female pct of female population,0.38439,True,0.35141,True,Decision
24,immunization measles pct of children ages 12-23 months,-0.37923,True,-0.30832,True,Decision
25,immunization dpt pct of children ages 12-23 months,-0.37689,True,-0.30536,True,Decision
26,survival to age 65 male pct of cohort,-0.37412,True,-0.33288,True,Decision
27,mortality rate adult female per 1000 female adults,0.3729,True,0.32896,True,Decision
28,adolescent fertility rate births per 1000 women ages 15-19,0.37269,True,0.30575,True,Decision
29,access to electricity urban pct of urban population,-0.37223,True,-0.32939,True,Decision
30,access to electricity rural pct of rural population,-0.37078,True,-0.30467,True,Decision
31,lifetime risk of maternal death pct,0.3705,True,0.3341,True,Decision
32,population ages 40-44 female pct of female population,-0.36045,True,-0.34803,True,Decision
33,employment in agriculture pct of total employment modeled ilo estimate,0.35892,True,0.30961,True,Decision
34,population ages 45-49 male pct of male population,-0.35608,True,-0.3438,True,Decision
35,employment in agriculture male pct of male employment modeled ilo estimate,0.355,True,0.30145,True,Decision
36,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.35484,True,0.3189,True,Decision
37,population ages 45-49 female pct of female population,-0.3546,True,-0.35012,True,Decision
38,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.35197,True,0.31711,True,Decision
39,vulnerable employment total pct of total employment modeled ilo estimate,0.35012,True,0.30894,True,Decision
40,self-employed total pct of total employment modeled ilo estimate,0.34754,True,0.30798,True,Decision
41,wage and salaried workers total pct of total employment modeled ilo estimate,-0.34754,True,-0.30798,True,Decision
42,vulnerable employment male pct of male employment modeled ilo estimate,0.34588,True,0.30495,True,Decision
43,population ages 50-54 male pct of male population,-0.3456,True,-0.34605,True,Decision
44,maternal mortality ratio modeled estimate per 100000 live births,0.34468,True,0.3256,True,Decision
45,vulnerable employment female pct of female employment modeled ilo estimate,0.3436,True,0.30685,True,Decision
46,population ages 10-14 female pct of female population,0.34329,True,0.34145,True,Decision
47,wage and salaried workers male pct of male employment modeled ilo estimate,-0.34222,True,-0.30501,True,Decision
48,self-employed male pct of male employment modeled ilo estimate,0.34222,True,0.30501,True,Decision
49,self-employed female pct of female employment modeled ilo estimate,0.34206,True,0.30389,True,Decision
50,wage and salaried workers female pct of female employment modeled ilo estimate,-0.34206,True,-0.30389,True,Decision
51,renewable energy consumption pct of total final energy consumption,0.34071,True,0.27701,True,Decision
52,employment in agriculture female pct of female employment modeled ilo estimate,0.34052,True,0.3014,True,Decision
53,population ages 40-44 male pct of male population,-0.33749,True,-0.33555,True,Decision
54,population ages 10-14 male pct of male population,0.33674,True,0.33479,True,Decision
