#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,life expectancy at birth female years,0.49783,True,0.48382,True,Decision
2,mobile cellular subscriptions per 100 people,0.49578,True,0.5133,True,Decision
3,life expectancy at birth total years,0.48671,True,0.46173,True,Decision
4,mortality rate infant per 1000 live births,-0.48418,True,-0.48661,True,Decision
5,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.47722,True,-0.47423,True,Decision
6,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.47574,True,-0.47314,True,Decision
7,mortality rate under-5 per 1000 live births,-0.47446,True,-0.48893,True,Decision
8,survival to age 65 female pct of cohort,0.47265,True,0.44804,True,Decision
9,mortality rate neonatal per 1000 live births,-0.47024,True,-0.4781,True,Decision
10,life expectancy at birth male years,0.46812,True,0.44364,True,Decision
11,population ages 55-59 female pct of female population,0.46006,True,0.46787,True,Decision
12,prevalence of anemia among children pct of children under 5,-0.4518,True,-0.43322,True,Decision
13,access to electricity pct of population,0.45046,True,0.43237,True,Decision
14,employment in agriculture female pct of female employment modeled ilo estimate,-0.44627,True,-0.38392,True,Decision
15,mortality rate adult female per 1000 female adults,-0.44608,True,-0.42503,True,Decision
16,population ages 80 and above male pct of male population,0.44324,True,0.48272,True,Decision
17,population ages 55-59 male pct of male population,0.44185,True,0.45382,True,Decision
18,population ages 5-9 female pct of female population,-0.44028,True,-0.42803,True,Decision
19,population ages 0-14 female pct of total,-0.43809,True,-0.42243,True,Decision
20,population ages 0-4 female pct of female population,-0.43804,True,-0.40692,True,Decision
21,birth rate crude per 1000 people,-0.43662,True,-0.37665,True,Decision
22,employment in services female pct of female employment modeled ilo estimate,0.43527,True,0.39518,True,Decision
23,fertility rate total births per woman,-0.43273,True,-0.35069,True,Decision
24,employment in services pct of total employment modeled ilo estimate,0.43251,True,0.41697,True,Decision
25,employment in agriculture pct of total employment modeled ilo estimate,-0.43023,True,-0.40165,True,Decision
26,maternal mortality ratio modeled estimate per 100000 live births,-0.42995,True,-0.45388,True,Decision
27,age dependency ratio young pct of working-age population,-0.42587,True,-0.38558,True,Decision
28,population ages 60-64 female pct of female population,0.42567,True,0.42863,True,Decision
29,individuals using the internet pct of population,0.42453,True,0.46661,True,Decision
30,population ages 80 and above female pct of female population,0.42401,True,0.46683,True,Decision
31,population ages 0-14 pct of total,-0.4235,True,-0.40026,True,Decision
32,lifetime risk of maternal death pct,-0.42175,True,-0.45917,True,Decision
33,population ages 60-64 male pct of male population,0.42106,True,0.42772,True,Decision
34,access to electricity urban pct of urban population,0.42077,True,0.41956,True,Decision
35,survival to age 65 male pct of cohort,0.41904,True,0.40323,True,Decision
36,vulnerable employment female pct of female employment modeled ilo estimate,-0.41813,True,-0.36566,True,Decision
37,population ages 50-54 female pct of female population,0.4177,True,0.42092,True,Decision
38,population ages 0-4 male pct of male population,-0.41692,True,-0.37476,True,Decision
39,population ages 65 and above male pct of total,0.4158,True,0.44843,True,Decision
40,population ages 65 and above pct of total,0.41549,True,0.44265,True,Decision
41,self-employed female pct of female employment modeled ilo estimate,-0.41286,True,-0.36204,True,Decision
42,wage and salaried workers female pct of female employment modeled ilo estimate,0.41286,True,0.36204,True,Decision
43,population ages 75-79 male pct of male population,0.41278,True,0.45316,True,Decision
44,population ages 65 and above female pct of total,0.41217,True,0.43782,True,Decision
45,population ages 5-9 male pct of male population,-0.41215,True,-0.39981,True,Decision
46,population ages 10-14 female pct of female population,-0.41166,True,-0.41112,True,Decision
47,population ages 0-14 male pct of total,-0.4101,True,-0.39624,True,Decision
48,immunization dpt pct of children ages 12-23 months,0.40938,True,0.32344,True,Decision
49,population ages 70-74 male pct of male population,0.4062,True,0.43806,True,Decision
50,age dependency ratio old pct of working-age population,0.40605,True,0.44098,True,Decision
51,vulnerable employment total pct of total employment modeled ilo estimate,-0.40584,True,-0.35018,True,Decision
52,self-employed total pct of total employment modeled ilo estimate,-0.40335,True,-0.35518,True,Decision
53,wage and salaried workers total pct of total employment modeled ilo estimate,0.40335,True,0.35518,True,Decision
54,population ages 75-79 female pct of female population,0.40281,True,0.43925,True,Decision
55,immunization measles pct of children ages 12-23 months,0.40122,True,0.32782,True,Decision
56,population ages 70-74 female pct of female population,0.39936,True,0.42375,True,Decision
57,employment in agriculture male pct of male employment modeled ilo estimate,-0.39748,True,-0.36403,True,Decision
58,vulnerable employment male pct of male employment modeled ilo estimate,-0.38703,True,-0.33598,True,Decision
59,population ages 50-54 male pct of male population,0.38685,True,0.38878,True,Decision
60,population ages 65-69 female pct of female population,0.3821,True,0.41086,True,Decision
61,rural population pct of total population,-0.38082,True,-0.37875,True,Decision
62,urban population pct of total,0.38082,True,0.37875,True,Decision
63,wage and salaried workers male pct of male employment modeled ilo estimate,0.38076,True,0.34527,True,Decision
64,self-employed male pct of male employment modeled ilo estimate,-0.38076,True,-0.34527,True,Decision
65,population ages 65-69 male pct of male population,0.37841,True,0.4153,True,Decision
66,access to electricity rural pct of rural population,0.37757,True,0.38687,True,Decision
67,mortality rate adult male per 1000 male adults,-0.37284,True,-0.35396,True,Decision
68,population ages 45-49 female pct of female population,0.37215,True,0.37418,True,Decision
69,population ages 10-14 male pct of male population,-0.37137,True,-0.37847,True,Decision
70,total natural resources rents pct of gdp,-0.36544,True,-0.40837,True,Decision
71,urban population growth annual pct,-0.3615,True,-0.42781,True,Decision
72,employment in industry male pct of male employment modeled ilo estimate,0.36074,True,0.35406,True,Decision
73,age dependency ratio pct of working-age population,-0.36008,True,-0.27865,True,Decision
74,employment in services male pct of male employment modeled ilo estimate,0.35691,True,0.33734,True,Decision
75,contributing family workers total pct of total employment modeled ilo estimate,-0.35644,True,-0.3216,True,Decision
76,adolescent fertility rate births per 1000 women ages 15-19,-0.35635,True,-0.26535,True,Decision
77,fixed telephone subscriptions per 100 people,0.35424,True,0.40731,True,Decision
78,population ages 15-19 female pct of female population,-0.34881,True,-0.35363,True,Decision
79,renewable energy consumption pct of total final energy consumption,-0.34597,True,-0.2852,True,Decision
80,population ages 45-49 male pct of male population,0.34256,True,0.32653,True,Decision
81,contributing family workers male pct of male employment modeled ilo estimate,-0.34104,True,-0.30416,True,Decision
82,contributing family workers female pct of female employment modeled ilo estimate,-0.33854,True,-0.31128,True,Decision
83,population ages 15-64 female pct of total,0.33774,True,0.27927,True,Decision
84,lifetime risk of maternal death 1 in  rate varies by country,0.33191,True,0.40235,True,Decision
