#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,death rate crude per 1000 people,0.03883,True,0.0313,False
2,mortality rate neonatal per 1000 live births,0.03512,True,0.01986,False
3,maternal mortality ratio modeled estimate per 100000 live births,0.03483,True,0.01915,False
4,mortality rate infant per 1000 live births,0.03468,True,0.01881,False
5,access to electricity urban pct of urban population,-0.03464,True,-0.02057,False
6,mortality rate under-5 per 1000 live births,0.03454,True,0.01829,False
7,access to electricity pct of population,-0.03337,False,-0.02001,False
8,immunization measles pct of children ages 12-23 months,-0.03277,False,-0.02101,False
9,mortality rate adult female per 1000 female adults,0.03229,False,0.01824,False
10,survival to age 65 female pct of cohort,-0.03193,False,-0.01897,False
11,lifetime risk of maternal death pct,0.0317,False,0.01779,False
12,life expectancy at birth female years,-0.03123,False,-0.01937,False
13,immunization dpt pct of children ages 12-23 months,-0.03063,False,-0.02369,False
14,life expectancy at birth total years,-0.03044,False,-0.01925,False
15,renewable energy consumption pct of total final energy consumption,0.02973,False,0.02305,False
16,prevalence of anemia among children pct of children under 5,0.02964,False,0.02002,False
17,employment in services male pct of male employment modeled ilo estimate,-0.02961,False,-0.02424,False
18,life expectancy at birth male years,-0.02927,False,-0.01929,False
19,employment in agriculture pct of total employment modeled ilo estimate,0.02864,False,0.01852,False
20,employment in services pct of total employment modeled ilo estimate,-0.02851,False,-0.02297,False
21,employment in agriculture male pct of male employment modeled ilo estimate,0.02825,False,0.01836,False
22,population ages 15-64 female pct of total,-0.02819,False,-0.02683,False
23,population ages 35-39 female pct of female population,-0.02779,False,-0.02958,False
24,employment in services female pct of female employment modeled ilo estimate,-0.02735,False,-0.02288,False
25,survival to age 65 male pct of cohort,-0.02693,False,-0.01888,False
26,fertility rate total births per woman,0.02688,False,0.01734,False
27,age dependency ratio pct of working-age population,0.02645,False,0.02426,False
28,adolescent fertility rate births per 1000 women ages 15-19,0.02636,False,0.01835,False
29,population ages 15-64 pct of total,-0.02628,False,-0.02426,False
30,employment in agriculture female pct of female employment modeled ilo estimate,0.0257,False,0.01873,False
31,access to electricity rural pct of rural population,-0.02545,False,-0.01677,False
32,mortality rate adult male per 1000 male adults,0.02532,False,0.01881,False
33,mobile cellular subscriptions per 100 people,-0.02469,False,-0.02157,False
34,population ages 15-64 male pct of total,-0.02449,False,-0.02209,False
35,population ages 30-34 female pct of female population,-0.02448,False,-0.03113,False
36,co2 emissions from liquid fuel consumption pct of total,0.02421,False,0.02182,False
37,birth rate crude per 1000 people,0.02415,False,0.01524,False
38,population ages 35-39 male pct of male population,-0.02302,False,-0.02759,False
39,age dependency ratio young pct of working-age population,0.02169,False,0.0143,False
40,population ages 0-4 male pct of male population,0.02166,False,0.01483,False
41,population ages 0-4 female pct of female population,0.02154,False,0.01467,False
42,secondary education duration years,0.01973,False,0.01459,False
43,population ages 30-34 male pct of male population,-0.01969,False,-0.03124,False
44,population ages 0-14 pct of total,0.0191,False,0.01383,False
45,population ages 0-14 female pct of total,0.01893,False,0.014,False
46,population ages 0-14 male pct of total,0.0189,False,0.01388,False
47,population ages 40-44 female pct of female population,-0.01882,False,-0.01545,False
48,employment in industry male pct of male employment modeled ilo estimate,-0.0187,False,-0.01626,False
49,population ages 5-9 female pct of female population,0.01845,False,0.01358,False
50,population ages 5-9 male pct of male population,0.01843,False,0.01346,False
51,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.01827,False,0.01583,False
52,urban population pct of total,-0.01824,False,-0.01913,False
53,rural population pct of total population,0.01824,False,0.01913,False
54,livestock production index 2004-2006 = 100,-0.01823,False,-0.01684,False
55,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.01783,False,0.01562,False
