#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,permanent cropland pct of land area,0.08807,True,0.04253,True
2,employment in industry female pct of female employment modeled ilo estimate,0.06905,True,0.04368,True
3,food production index 2004-2006 = 100,-0.05468,True,-0.04392,True
4,mobile cellular subscriptions per 100 people,-0.05014,True,-0.04622,True
5,crop production index 2004-2006 = 100,-0.0459,True,-0.04258,True
6,individuals using the internet pct of population,-0.03962,True,-0.04655,True
7,preprimary education duration years,-0.03927,True,-0.04342,True
8,livestock production index 2004-2006 = 100,-0.035,True,-0.03895,True
98,mobile cellular subscriptions,-0.01301,False,-0.04022,True
9,employment in industry pct of total employment modeled ilo estimate,0.03224,False,0.03151,False
10,population ages 50-54 female pct of female population,-0.03184,False,-0.03048,False
11,urban population growth annual pct,0.03175,False,0.03364,False
12,forest area pct of land area,0.03113,False,0.02731,False
13,population ages 50-54 male pct of male population,-0.03006,False,-0.03009,False
14,population ages 65 and above female pct of total,-0.02966,False,-0.03132,False
15,population ages 75-79 female pct of female population,-0.02964,False,-0.03197,False
16,population ages 5-9 female pct of female population,0.02962,False,0.03134,False
17,population ages 70-74 female pct of female population,-0.02946,False,-0.03139,False
18,population ages 0-14 pct of total,0.02926,False,0.03186,False
19,population ages 5-9 male pct of male population,0.02924,False,0.03195,False
20,population ages 0-14 female pct of total,0.02924,False,0.03157,False
21,population ages 65 and above pct of total,-0.02908,False,-0.02962,False
22,population ages 80 and above female pct of female population,-0.02899,False,-0.03389,False
23,population ages 55-59 female pct of female population,-0.02871,False,-0.02748,False
24,population ages 0-14 male pct of total,0.0287,False,0.0316,False
25,population ages 70-74 male pct of male population,-0.02868,False,-0.02909,False
26,population ages 0-4 female pct of female population,0.02862,False,0.03302,False
27,population ages 0-4 male pct of male population,0.02843,False,0.03318,False
28,population ages 65-69 female pct of female population,-0.02842,False,-0.02798,False
29,age dependency ratio old pct of working-age population,-0.02822,False,-0.03039,False
30,population ages 10-14 female pct of female population,0.02817,False,0.02796,False
31,population ages 75-79 male pct of male population,-0.02814,False,-0.02837,False
32,population ages 65 and above male pct of total,-0.02808,False,-0.02842,False
33,forest rents pct of gdp,0.02741,False,0.02806,False
34,population ages 65-69 male pct of male population,-0.02735,False,-0.02736,False
35,population ages 60-64 female pct of female population,-0.02683,False,-0.02666,False
