#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,life expectancy at birth female years,0.45505,True,0.44828,True
2,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.44666,True,-0.45153,True
3,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.4456,True,-0.4508,True
4,life expectancy at birth total years,0.44434,True,0.42572,True
5,survival to age 65 female pct of cohort,0.43317,True,0.42004,True
6,life expectancy at birth male years,0.42653,True,0.41091,True
7,prevalence of anemia among children pct of children under 5,-0.42427,True,-0.41395,True
8,mortality rate infant per 1000 live births,-0.42296,True,-0.42701,True
9,population ages 0-4 female pct of female population,-0.41977,True,-0.40346,True
10,population ages 5-9 female pct of female population,-0.41679,True,-0.4041,True
11,mortality rate under-5 per 1000 live births,-0.41559,True,-0.42901,True
12,population ages 55-59 female pct of female population,0.41481,True,0.4229,True
13,population ages 0-14 female pct of total,-0.41311,True,-0.39858,True
14,birth rate crude per 1000 people,-0.41179,True,-0.37684,True
15,access to electricity pct of population,0.41055,True,0.40154,True
16,mortality rate neonatal per 1000 live births,-0.40921,True,-0.41726,True
17,employment in agriculture female pct of female employment modeled ilo estimate,-0.40845,True,-0.35374,True
18,fertility rate total births per woman,-0.4081,True,-0.36373,True
19,mortality rate adult female per 1000 female adults,-0.40376,True,-0.38915,True
20,population ages 80 and above male pct of male population,0.40373,True,0.44613,True
21,population ages 50-54 female pct of female population,0.40202,True,0.40058,True
22,population ages 55-59 male pct of male population,0.40149,True,0.4123,True
23,employment in services pct of total employment modeled ilo estimate,0.39659,True,0.38378,True
24,population ages 0-14 pct of total,-0.39504,True,-0.37243,True
25,population ages 0-4 male pct of male population,-0.39419,True,-0.36797,True
26,age dependency ratio young pct of working-age population,-0.39387,True,-0.36245,True
27,employment in agriculture pct of total employment modeled ilo estimate,-0.39213,True,-0.37669,True
28,maternal mortality ratio modeled estimate per 100000 live births,-0.39184,True,-0.39849,True
29,population ages 65 and above male pct of total,0.39129,True,0.42895,True
30,survival to age 65 male pct of cohort,0.38897,True,0.37925,True
31,population ages 80 and above female pct of female population,0.38809,True,0.43201,True
32,population ages 70-74 male pct of male population,0.38781,True,0.42399,True
33,population ages 65 and above pct of total,0.38759,True,0.42022,True
34,population ages 75-79 male pct of male population,0.38651,True,0.43073,True
35,employment in services female pct of female employment modeled ilo estimate,0.38643,True,0.34856,True
36,mobile cellular subscriptions per 100 people,0.38416,True,0.403,True
37,population ages 5-9 male pct of male population,-0.38333,True,-0.37152,True
38,lifetime risk of maternal death pct,-0.38235,True,-0.41108,True
39,population ages 65 and above female pct of total,0.38203,True,0.41248,True
40,population ages 0-14 male pct of total,-0.38018,True,-0.36874,True
41,population ages 60-64 male pct of male population,0.37891,True,0.39158,True
42,access to electricity urban pct of urban population,0.37805,True,0.39208,True
