#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,fertility rate total births per woman,-0.69242,True,-0.57379,True
2,survival to age 65 female pct of cohort,0.69,True,0.58021,True
3,mortality rate under-5 per 1000 live births,-0.68623,True,-0.57588,True
4,life expectancy at birth female years,0.68569,True,0.57713,True
5,age dependency ratio pct of working-age population,-0.68397,True,-0.59673,True
6,mortality rate infant per 1000 live births,-0.68145,True,-0.57359,True
7,access to electricity pct of population,0.6806,True,0.5571,True
8,life expectancy at birth total years,0.67991,True,0.57772,True
9,birth rate crude per 1000 people,-0.678,True,-0.57682,True
10,age dependency ratio young pct of working-age population,-0.67784,True,-0.59083,True
11,mortality rate adult female per 1000 female adults,-0.67403,True,-0.59499,True
12,population ages 15-64 female pct of total,0.67,True,0.59216,True
13,population ages 0-4 male pct of male population,-0.66733,True,-0.58014,True
14,life expectancy at birth male years,0.66731,True,0.57664,True
15,population ages 15-64 pct of total,0.65905,True,0.59661,True
16,population ages 0-4 female pct of female population,-0.65575,True,-0.57197,True
17,maternal mortality ratio modeled estimate per 100000 live births,-0.64853,True,-0.58113,True
18,adolescent fertility rate births per 1000 women ages 15-19,-0.64845,True,-0.55908,True
19,population ages 15-64 male pct of total,0.64726,True,0.59523,True
20,population ages 0-14 pct of total,-0.64394,True,-0.58464,True
21,lifetime risk of maternal death pct,-0.6436,True,-0.58705,True
22,population ages 0-14 male pct of total,-0.64332,True,-0.58544,True
23,population ages 5-9 male pct of male population,-0.64219,True,-0.58861,True
24,access to electricity urban pct of urban population,0.64166,True,0.56039,True
25,prevalence of anemia among children pct of children under 5,-0.63814,True,-0.53769,True
26,survival to age 65 male pct of cohort,0.63722,True,0.56901,True
27,population ages 0-14 female pct of total,-0.63556,True,-0.57904,True
28,mortality rate neonatal per 1000 live births,-0.63488,True,-0.55684,True
29,population ages 5-9 female pct of female population,-0.63439,True,-0.58269,True
30,immunization dpt pct of children ages 12-23 months,0.60966,True,0.52938,True
31,immunization measles pct of children ages 12-23 months,0.60903,True,0.52986,True
32,mortality rate adult male per 1000 male adults,-0.60598,True,-0.57043,True
33,population ages 45-49 male pct of male population,0.59456,True,0.56909,True
34,population ages 40-44 female pct of female population,0.58825,True,0.56269,True
35,population ages 45-49 female pct of female population,0.58189,True,0.56598,True
36,access to electricity rural pct of rural population,0.58187,True,0.49753,True
37,renewable energy consumption pct of total final energy consumption,-0.57762,True,-0.49446,True
38,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.57126,True,-0.51427,True
39,population ages 10-14 female pct of female population,-0.56977,True,-0.56419,True
40,population ages 50-54 male pct of male population,0.56699,True,0.56259,True
41,population ages 10-14 male pct of male population,-0.56635,True,-0.5565,True
42,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.56574,True,-0.51163,True
43,population ages 40-44 male pct of male population,0.56471,True,0.55816,True
44,population ages 50-54 female pct of female population,0.54813,True,0.54995,True
45,mobile cellular subscriptions per 100 people,0.54233,True,0.53203,True
46,vulnerable employment total pct of total employment modeled ilo estimate,-0.54148,True,-0.48001,True
47,vulnerable employment female pct of female employment modeled ilo estimate,-0.53711,True,-0.48808,True
48,self-employed female pct of female employment modeled ilo estimate,-0.53695,True,-0.48656,True
49,wage and salaried workers female pct of female employment modeled ilo estimate,0.53695,True,0.48656,True
50,employment in agriculture pct of total employment modeled ilo estimate,-0.53584,True,-0.47677,True
51,self-employed total pct of total employment modeled ilo estimate,-0.53567,True,-0.47601,True
52,wage and salaried workers total pct of total employment modeled ilo estimate,0.53567,True,0.47601,True
53,population ages 35-39 female pct of female population,0.53226,True,0.53724,True
54,vulnerable employment male pct of male employment modeled ilo estimate,-0.52754,True,-0.46447,True
55,employment in agriculture male pct of male employment modeled ilo estimate,-0.52509,True,-0.46496,True
56,wage and salaried workers male pct of male employment modeled ilo estimate,0.51767,True,0.46031,True
57,self-employed male pct of male employment modeled ilo estimate,-0.51767,True,-0.46031,True
58,employment in agriculture female pct of female employment modeled ilo estimate,-0.51626,True,-0.4659,True
59,employment in industry male pct of male employment modeled ilo estimate,0.51525,True,0.47675,True
60,population ages 55-59 male pct of male population,0.513,True,0.54361,True
61,death rate crude per 1000 people,-0.49433,True,-0.44288,True
62,population ages 55-59 female pct of female population,0.48768,True,0.50983,True
63,employment in industry pct of total employment modeled ilo estimate,0.48593,True,0.43411,True
64,individuals using the internet pct of population,0.48053,True,0.54812,True
65,forest rents pct of gdp,-0.47773,True,-0.50647,True
66,population ages 35-39 male pct of male population,0.47672,True,0.53153,True
