#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,refugee population by country or territory of origin,0.10017,True,0.09785,True
2,immunization measles pct of children ages 12-23 months,-0.06176,True,-0.06169,True
3,number of maternal deaths,0.06144,True,0.08983,True
4,lifetime risk of maternal death pct,0.05801,True,0.07264,True
5,access to electricity rural pct of rural population,-0.05684,True,-0.06623,True
6,mobile cellular subscriptions per 100 people,-0.05639,True,-0.05808,True
7,age dependency ratio pct of working-age population,0.0549,True,0.06668,True
8,immunization dpt pct of children ages 12-23 months,-0.05387,True,-0.06266,True
9,age dependency ratio young pct of working-age population,0.05348,True,0.06193,True
10,population ages 15-64 female pct of total,-0.05311,True,-0.06675,True
11,fertility rate total births per woman,0.05301,True,0.06675,True
12,access to electricity urban pct of urban population,-0.05285,True,-0.0754,True
13,adolescent fertility rate births per 1000 women ages 15-19,0.0526,True,0.05528,True
14,population ages 15-64 pct of total,-0.05133,True,-0.06444,True
15,number of under-five deaths,0.05131,True,0.08795,True
16,population ages 0-4 male pct of male population,0.05082,True,0.06018,True
17,prevalence of anemia among children pct of children under 5,0.05079,True,0.064,True
18,birth rate crude per 1000 people,0.05064,True,0.06103,True
19,maternal mortality ratio modeled estimate per 100000 live births,0.05046,True,0.0688,True
20,population ages 0-4 female pct of female population,0.0504,True,0.05682,True
21,population ages 5-9 male pct of male population,0.04976,True,0.0533,True
22,population ages 15-64 male pct of total,-0.04971,True,-0.06227,True
23,population ages 0-14 pct of total,0.0496,True,0.05463,True
24,access to electricity pct of population,-0.04951,True,-0.06856,True
25,population ages 0-14 male pct of total,0.04945,True,0.05495,True
26,mortality rate neonatal per 1000 live births,0.0494,True,0.06307,True
27,population ages 5-9 female pct of female population,0.04934,True,0.05428,True
28,population ages 0-14 female pct of total,0.04916,True,0.05407,True
29,mortality rate under-5 per 1000 live births,0.04889,True,0.06622,True
30,life expectancy at birth total years,-0.04862,True,-0.06038,True
31,life expectancy at birth male years,-0.04845,True,-0.05836,True
32,life expectancy at birth female years,-0.0483,True,-0.0618,True
33,number of infant deaths,0.04779,True,0.08578,True
34,survival to age 65 female pct of cohort,-0.0466,True,-0.06229,True
35,mortality rate infant per 1000 live births,0.04646,True,0.06369,True
36,population ages 40-44 female pct of female population,-0.04635,True,-0.05161,True
37,survival to age 65 male pct of cohort,-0.04614,True,-0.05562,True
38,co2 emissions from liquid fuel consumption pct of total,0.04597,True,0.05125,True
39,population ages 45-49 male pct of male population,-0.04592,True,-0.04612,True
40,population ages 45-49 female pct of female population,-0.04448,True,-0.0466,True
41,population ages 40-44 male pct of male population,-0.04438,True,-0.04946,True
42,population ages 10-14 female pct of female population,0.04424,True,0.04362,True
43,agricultural land sq. km,0.044,True,0.07519,True
44,population ages 10-14 male pct of male population,0.04382,True,0.04316,True
45,individuals using the internet pct of population,-0.04378,True,-0.03996,True
46,population ages 35-39 female pct of female population,-0.04357,True,-0.04837,True
47,population ages 50-54 male pct of male population,-0.04329,True,-0.04271,True
48,mortality rate adult female per 1000 female adults,0.04315,True,0.06271,True
49,mortality rate adult male per 1000 male adults,0.04201,True,0.05768,True
50,population ages 50-54 female pct of female population,-0.04159,True,-0.03808,True
51,rural population pct of total population,0.04132,True,0.04321,True
52,urban population pct of total,-0.04132,True,-0.04321,True
53,cereal yield kg per hectare,-0.04047,True,-0.04694,True
54,number of neonatal deaths,0.04015,True,0.08543,True
55,population ages 55-59 male pct of male population,-0.0399,True,-0.03483,True
56,renewable energy consumption pct of total final energy consumption,0.03983,True,0.04952,True
57,rural population growth annual pct,0.03879,True,0.0426,True
59,population ages 35-39 male pct of male population,-0.03812,True,-0.04992,True
60,death rate crude per 1000 people,0.03693,True,0.04457,True
61,oil rents pct of gdp,0.03683,True,0.07521,True
62,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.03546,True,0.0513,True
63,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.03513,True,0.05089,True
64,forest area sq. km,0.03458,True,0.0601,True
66,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,-0.03412,True,-0.03483,True
80,total natural resources rents pct of gdp,0.0295,False,0.05149,True
82,land under cereal production hectares,0.02912,False,0.06101,True
83,population ages 0-14 female,0.02893,False,0.06891,True
