#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,mortality rate adult female per 1000 female adults,0.41323,True,0.31757,True
2,access to electricity urban pct of urban population,-0.40831,True,-0.30385,True
3,mortality rate infant per 1000 live births,0.40266,True,0.33835,True
4,access to electricity pct of population,-0.40064,True,-0.30692,True
5,survival to age 65 female pct of cohort,-0.3997,True,-0.30247,True
6,immunization measles pct of children ages 12-23 months,-0.39907,True,-0.36072,True
7,mortality rate under-5 per 1000 live births,0.39835,True,0.33845,True
8,immunization dpt pct of children ages 12-23 months,-0.39667,True,-0.35349,True
9,maternal mortality ratio modeled estimate per 100000 live births,0.39491,True,0.33026,True
10,life expectancy at birth female years,-0.39072,True,-0.3096,True
11,life expectancy at birth total years,-0.38529,True,-0.30966,True
12,lifetime risk of maternal death pct,0.38256,True,0.31998,True
13,life expectancy at birth male years,-0.37594,True,-0.30483,True
14,adolescent fertility rate births per 1000 women ages 15-19,0.3686,True,0.2633,True
15,mortality rate adult male per 1000 male adults,0.3599,True,0.30327,True
16,age dependency ratio young pct of working-age population,0.35909,True,0.28737,True
17,age dependency ratio pct of working-age population,0.35713,True,0.26346,True
18,survival to age 65 male pct of cohort,-0.35618,True,-0.29326,True
19,fertility rate total births per woman,0.35239,True,0.23145,True
20,mobile cellular subscriptions per 100 people,-0.34911,True,-0.34806,True
21,birth rate crude per 1000 people,0.34813,True,0.25358,True
22,mortality rate neonatal per 1000 live births,0.34578,True,0.31768,True
23,population ages 0-4 male pct of male population,0.33945,True,0.26262,True
24,population ages 0-14 male pct of total,0.33735,True,0.2951,True
25,forest rents pct of gdp,0.33691,True,0.29548,True
26,population ages 15-64 male pct of total,-0.33688,True,-0.2707,True
27,population ages 5-9 male pct of male population,0.33583,True,0.29975,True
28,prevalence of anemia among children pct of children under 5,0.33548,True,0.27368,True
29,population ages 0-14 pct of total,0.33518,True,0.29383,True
30,population ages 15-64 pct of total,-0.33509,True,-0.26352,True
31,renewable energy consumption pct of total final energy consumption,0.33243,True,0.26284,True
32,population ages 15-64 female pct of total,-0.32869,True,-0.25633,True
33,population ages 0-4 female pct of female population,0.3279,True,0.25727,True
34,population ages 0-14 female pct of total,0.32666,True,0.2878,True
35,population ages 5-9 female pct of female population,0.32446,True,0.29097,True
36,vulnerable employment female pct of female employment modeled ilo estimate,0.32055,True,0.28865,True
37,wage and salaried workers female pct of female employment modeled ilo estimate,-0.32038,True,-0.2884,True
38,self-employed female pct of female employment modeled ilo estimate,0.32038,True,0.2884,True
39,vulnerable employment total pct of total employment modeled ilo estimate,0.3202,True,0.28204,True
40,access to electricity rural pct of rural population,-0.31957,True,-0.30035,True
41,wage and salaried workers total pct of total employment modeled ilo estimate,-0.31602,True,-0.2817,True
