#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,population ages 80 and above male pct of male population,0.29166,True,0.28348,True
2,age dependency ratio old pct of working-age population,0.29163,True,0.28951,True
3,population ages 80 and above female pct of female population,0.28725,True,0.2636,True
4,population ages 65 and above pct of total,0.28148,True,0.2706,True
5,population ages 75-79 male pct of male population,0.28101,True,0.28219,True
6,population ages 75-79 female pct of female population,0.28037,True,0.26439,True
7,population ages 65 and above male pct of total,0.2798,True,0.27813,True
8,population ages 65 and above female pct of total,0.27952,True,0.26122,True
9,population ages 70-74 male pct of male population,0.27871,True,0.28144,True
10,population ages 25-29 female pct of female population,-0.27521,True,-0.30073,True
11,population ages 70-74 female pct of female population,0.27294,True,0.26545,True
12,labor force female pct of total labor force,0.257,True,0.15172,True
13,fixed telephone subscriptions per 100 people,0.2534,True,0.23061,True
14,population ages 65-69 male pct of male population,0.25307,True,0.26159,True
15,population ages 65-69 female pct of female population,0.25105,True,0.25454,True
16,population ages 55-59 female pct of female population,0.25047,True,0.24723,True
17,population ages 20-24 female pct of female population,-0.24994,True,-0.24951,True
18,mobile cellular subscriptions,-0.24933,True,-0.12616,True
19,total fisheries production metric tons,-0.24119,True,-0.21234,True
20,population male pct of total,-0.23996,True,-0.29037,True
21,population female pct of total,0.23996,True,0.29037,True
22,capture fisheries production metric tons,-0.23781,True,-0.19324,True
23,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.23731,True,-0.28591,True
24,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.23492,True,-0.28535,True
25,urban population,-0.23207,True,-0.21349,True
26,population ages 60-64 female pct of female population,0.231,True,0.22305,True
27,population ages 60-64 male pct of male population,0.22781,True,0.21703,True
28,employment in services pct of total employment modeled ilo estimate,0.22724,True,0.23132,True
29,labor force total,-0.22468,True,-0.22523,True
30,population ages 55-59 male pct of male population,0.22357,True,0.21862,True
31,contributing family workers female pct of female employment modeled ilo estimate,-0.22198,True,-0.17877,True
32,urban population pct of total,0.21857,True,0.21916,True
33,rural population pct of total population,-0.21857,True,-0.21916,True
34,population total,-0.21843,True,-0.27888,True
35,population ages 15-64 male,-0.21815,True,-0.26521,True
36,population ages 15-64 total,-0.2179,True,-0.2576,True
37,population ages 15-64 female,-0.21762,True,-0.24698,True
38,oil rents pct of gdp,-0.2163,True,-0.27392,True
39,population male,-0.21531,True,-0.27328,True
40,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,-0.21524,True,-0.22283,True
41,population female,-0.21492,True,-0.25463,True
42,employment in services female pct of female employment modeled ilo estimate,0.21409,True,0.18129,True
43,population ages 65 and above male,-0.21258,True,-0.13992,True
44,employment in agriculture female pct of female employment modeled ilo estimate,-0.2123,True,-0.17959,True
45,urban population growth annual pct,-0.21153,True,-0.26147,True
46,population ages 65 and above total,-0.2096,True,-0.13464,True
47,population ages 65 and above female,-0.20656,True,-0.12693,True
48,population ages 25-29 male pct of male population,-0.2065,True,-0.25363,True
49,population ages 50-54 female pct of female population,0.20601,True,0.20225,True
