#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,crop production index 2004-2006 = 100,0.11815,True,0.04169,True
2,food production index 2004-2006 = 100,0.10524,True,0.04182,True
3,population ages 25-29 female pct of female population,0.06401,True,0.03984,True
4,employment to population ratio 15+ total pct modeled ilo estimate,0.06384,True,0.04118,True
5,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.06253,True,0.0414,True
6,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.05955,True,0.04136,True
7,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.05748,True,0.04072,True
8,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.05607,True,0.04096,True
9,employment to population ratio 15+ female pct modeled ilo estimate,0.0544,True,0.04121,True
10,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.05281,True,0.0408,True
11,population ages 25-29 male pct of male population,0.05122,True,0.03974,True
12,employment to population ratio 15+ male pct modeled ilo estimate,0.05122,True,0.04057,True
13,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.05081,True,0.04095,True
14,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.04816,True,0.0405,True
15,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.04542,True,0.04006,True
16,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.04495,True,0.03949,True
17,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.04465,True,0.04099,True
18,employment in industry female pct of female employment modeled ilo estimate,0.04386,True,0.03741,True
19,rural population pct of total population,0.04344,True,0.03758,True
20,urban population pct of total,-0.04344,True,-0.03758,True
22,population ages 15-19 male pct of male population,0.03951,True,0.04035,True
23,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.0382,True,-0.04172,True
24,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.03774,True,0.04072,True
25,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.03768,True,-0.04186,True
26,unemployment total pct of total labor force modeled ilo estimate,-0.03713,True,-0.04178,True
27,unemployment male pct of male labor force modeled ilo estimate,-0.03647,True,-0.04153,True
28,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.03645,True,0.03954,True
29,population ages 35-39 female pct of female population,-0.03613,True,-0.03637,True
30,population ages 35-39 male pct of male population,-0.03327,False,-0.03666,True
35,employers male pct of male employment modeled ilo estimate,-0.03206,False,-0.03899,True
36,unemployment female pct of female labor force modeled ilo estimate,-0.03189,False,-0.04186,True
38,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.03101,False,-0.04176,True
40,employers total pct of total employment modeled ilo estimate,-0.03031,False,-0.03873,True
42,employers female pct of female employment modeled ilo estimate,-0.02757,False,-0.03505,True
44,ratio of female to male labor force participation rate pct modeled ilo estimate,0.02654,False,0.03438,True
51,labor force female pct of total labor force,0.02447,False,0.0392,True
144,mineral rents pct of gdp,-0.0086,False,-0.03399,True
21,access to electricity rural pct of rural population,-0.04133,True,-0.0325,False
31,co2 emissions from liquid fuel consumption pct of total,0.03319,False,0.03216,False
32,renewable energy consumption pct of total final energy consumption,0.03285,False,0.02901,False
33,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.03276,False,0.02936,False
34,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.03249,False,0.02927,False
37,access to electricity pct of population,-0.03184,False,-0.02905,False
39,rainfall (mm),0.03051,False,0.03199,False
41,forest area pct of land area,0.02905,False,0.03108,False
43,population ages 15-19 female pct of female population,0.02745,False,0.03197,False
45,mobile cellular subscriptions per 100 people,0.02577,False,0.03225,False
46,gdp per person employed constant 2011 ppp  ,-0.02555,False,-0.03314,False
47,individuals using the internet pct of population,-0.0253,False,-0.0264,False
48,co2 emissions from gaseous fuel consumption pct of total,-0.0251,False,-0.03316,False
49,prevalence of anemia among children pct of children under 5,0.02468,False,0.02543,False
50,contributing family workers total pct of total employment modeled ilo estimate,0.02466,False,0.02992,False
52,fixed telephone subscriptions per 100 people,-0.02344,False,-0.02354,False
53,contributing family workers male pct of male employment modeled ilo estimate,0.02337,False,0.03058,False
54,population ages 55-59 male pct of male population,-0.02296,False,-0.02132,False
55,population ages 20-24 male pct of male population,0.02253,False,0.02972,False
56,population ages 65-69 male pct of male population,-0.02252,False,-0.02152,False
57,population ages 65 and above male pct of total,-0.02249,False,-0.02242,False
58,population ages 70-74 male pct of male population,-0.02228,False,-0.02186,False
59,population ages 50-54 male pct of male population,-0.02197,False,-0.02179,False
60,livestock production index 2004-2006 = 100,-0.02193,False,-0.03293,False
61,population ages 80 and above male pct of male population,-0.02191,False,-0.02595,False
62,co2 emissions metric tons per capita,-0.02185,False,-0.02897,False
63,temparature ($^\circ$c),0.02181,False,0.03288,False
64,age dependency ratio old pct of working-age population,-0.02157,False,-0.02479,False
65,population ages 75-79 male pct of male population,-0.02144,False,-0.02141,False
66,population ages 80 and above female pct of female population,-0.02114,False,-0.02526,False
67,population ages 65 and above pct of total,-0.02102,False,-0.02004,False
68,co2 emissions from solid fuel consumption pct of total,-0.0206,False,-0.01846,False
69,population ages 60-64 male pct of male population,-0.02023,False,-0.01885,False
70,population ages 75-79 female pct of female population,-0.02009,False,-0.01985,False
71,population ages 65 and above female pct of total,-0.01995,False,-0.01901,False
72,population ages 70-74 female pct of female population,-0.0191,False,-0.01786,False
73,employment in services female pct of female employment modeled ilo estimate,-0.01894,False,-0.02105,False
74,contributing family workers female pct of female employment modeled ilo estimate,0.01872,False,0.02215,False
75,population ages 65-69 female pct of female population,-0.01729,False,-0.01676,False
76,lifetime risk of maternal death 1 in  rate varies by country,-0.01711,False,-0.02211,False
77,vulnerable employment female pct of female employment modeled ilo estimate,0.0166,False,0.01993,False
