#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,contributing family workers female pct of female employment modeled ilo estimate,0.0578,True,0.04157,True
3,employment in agriculture female pct of female employment modeled ilo estimate,0.04516,True,0.03763,True
4,employment in services female pct of female employment modeled ilo estimate,-0.04419,True,-0.0386,True
2,refugee population by country or territory of origin,0.0544,True,0.02826,False
5,contributing family workers total pct of total employment modeled ilo estimate,0.04363,True,0.03329,False
6,contributing family workers male pct of male employment modeled ilo estimate,0.04223,True,0.03189,False
7,employment in agriculture pct of total employment modeled ilo estimate,0.0373,True,0.03335,False
8,employment in services pct of total employment modeled ilo estimate,-0.03478,True,-0.03236,False
9,mortality rate neonatal per 1000 live births,0.03465,True,0.02891,False
10,employment in agriculture male pct of male employment modeled ilo estimate,0.03461,True,0.03107,False
11,employment in industry male pct of male employment modeled ilo estimate,-0.0346,True,-0.03167,False
12,labor force female pct of total labor force,-0.03286,False,-0.01352,False
13,mobile cellular subscriptions per 100 people,-0.03186,False,-0.03137,False
14,vulnerable employment female pct of female employment modeled ilo estimate,0.03071,False,0.02926,False
15,wage and salaried workers female pct of female employment modeled ilo estimate,-0.03039,False,-0.02878,False
16,self-employed female pct of female employment modeled ilo estimate,0.03039,False,0.02878,False
17,food production index 2004-2006 = 100,-0.03031,False,-0.02666,False
18,wage and salaried workers male pct of male employment modeled ilo estimate,-0.02961,False,-0.02964,False
19,self-employed male pct of male employment modeled ilo estimate,0.02961,False,0.02964,False
20,vulnerable employment male pct of male employment modeled ilo estimate,0.02934,False,0.02903,False
21,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.02933,False,-0.01388,False
22,rural population pct of total population,0.02923,False,0.02774,False
23,urban population pct of total,-0.02923,False,-0.02774,False
24,employment in services male pct of male employment modeled ilo estimate,-0.02913,False,-0.02727,False
25,wage and salaried workers total pct of total employment modeled ilo estimate,-0.02837,False,-0.02843,False
26,self-employed total pct of total employment modeled ilo estimate,0.02837,False,0.02843,False
27,vulnerable employment total pct of total employment modeled ilo estimate,0.02801,False,0.02795,False
28,employment in industry pct of total employment modeled ilo estimate,-0.02769,False,-0.02435,False
29,crop production index 2004-2006 = 100,-0.02719,False,-0.02524,False
30,gdp per person employed constant 2011 ppp  ,-0.02555,False,-0.02951,False
31,urban population growth annual pct,0.02518,False,0.01733,False
32,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.02515,False,-0.01046,False
33,mortality rate infant per 1000 live births,0.02441,False,0.02685,False
34,age dependency ratio young pct of working-age population,0.02259,False,0.02413,False
35,population ages 45-49 male pct of male population,-0.02252,False,-0.02303,False
36,lifetime risk of maternal death pct,0.02247,False,0.02432,False
37,population ages 50-54 male pct of male population,-0.0223,False,-0.02283,False
38,access to electricity pct of population,-0.02223,False,-0.02816,False
39,population ages 5-9 female pct of female population,0.02197,False,0.02221,False
40,immunization dpt pct of children ages 12-23 months,-0.02188,False,-0.02343,False
41,population ages 5-9 male pct of male population,0.02186,False,0.02241,False
42,population ages 0-4 female pct of female population,0.02174,False,0.022,False
43,population ages 0-4 male pct of male population,0.02169,False,0.02349,False
44,fertility rate total births per woman,0.02168,False,0.02144,False
45,population ages 0-14 pct of total,0.02168,False,0.02245,False
46,population ages 45-49 female pct of female population,-0.02162,False,-0.02242,False
47,population ages 0-14 female pct of total,0.02157,False,0.02181,False
48,age dependency ratio pct of working-age population,0.02155,False,0.02136,False
49,population ages 0-14 male pct of total,0.02148,False,0.02258,False
50,population ages 50-54 female pct of female population,-0.02123,False,-0.02139,False
51,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.02118,False,-0.00949,False
52,population ages 15-64 female pct of total,-0.02032,False,-0.01951,False
53,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.02027,False,0.02225,False
54,population ages 15-64 pct of total,-0.02015,False,-0.02082,False
55,mortality rate under-5 per 1000 live births,0.02004,False,0.02663,False
56,population ages 15-64 male pct of total,-0.01989,False,-0.02214,False
57,birth rate crude per 1000 people,0.01968,False,0.02179,False
58,population ages 10-14 female pct of female population,0.01959,False,0.01927,False
59,survival to age 65 male pct of cohort,-0.01952,False,-0.02418,False
60,employment to population ratio 15+ male pct modeled ilo estimate,0.01945,False,0.02175,False
61,population ages 40-44 female pct of female population,-0.01943,False,-0.02015,False
62,population ages 10-14 male pct of male population,0.01936,False,0.0191,False
63,life expectancy at birth male years,-0.01934,False,-0.02409,False
64,maternal mortality ratio modeled estimate per 100000 live births,0.01932,False,0.02285,False
65,population ages 40-44 male pct of male population,-0.01908,False,-0.0211,False
66,life expectancy at birth total years,-0.01897,False,-0.02424,False
67,livestock production index 2004-2006 = 100,-0.0188,False,-0.01872,False
68,population ages 55-59 male pct of male population,-0.01878,False,-0.01775,False
69,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.01853,False,0.02043,False
70,life expectancy at birth female years,-0.01839,False,-0.0246,False
71,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.01823,False,0.01843,False
72,survival to age 65 female pct of cohort,-0.01818,False,-0.02477,False
73,immunization measles pct of children ages 12-23 months,-0.0181,False,-0.02212,False
74,rural population growth annual pct,0.01801,False,0.01802,False
75,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.01789,False,-0.00793,False
76,population ages 15-19 male pct of male population,0.01781,False,0.01527,False
77,population ages 15-19 female pct of female population,0.01746,False,0.01455,False
78,population ages 75-79 male pct of male population,-0.01745,False,-0.01627,False
79,population ages 80 and above male pct of male population,-0.01735,False,-0.01663,False
80,population ages 55-59 female pct of female population,-0.0171,False,-0.01464,False
81,mortality rate adult male per 1000 male adults,0.01698,False,0.02541,False
82,employment to population ratio 15+ female pct modeled ilo estimate,-0.01693,False,-0.00827,False
83,population ages 65 and above male pct of total,-0.01689,False,-0.01507,False
84,population ages 70-74 male pct of male population,-0.01686,False,-0.01507,False
85,population ages 75-79 female pct of female population,-0.01684,False,-0.01468,False
86,population ages 80 and above female pct of female population,-0.01672,False,-0.01438,False
87,population ages 65 and above pct of total,-0.01666,False,-0.01468,False
88,population ages 65 and above female pct of total,-0.01643,False,-0.01387,False
89,population ages 60-64 male pct of male population,-0.01623,False,-0.01355,False
