#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,forest area sq. km,0.0432,True,0.04976,True
2,co2 emissions from gaseous fuel consumption kt,0.03739,True,0.05392,True
3,agricultural land sq. km,0.03473,True,0.04718,True
4,number of maternal deaths,0.03472,True,0.04113,True
6,co2 emissions from liquid fuel consumption kt,0.033,False,0.04795,True
56,capture fisheries production metric tons,0.01968,False,0.04598,True
86,co2 emissions kt,0.01469,False,0.04826,True
144,co2 emissions from solid fuel consumption kt,0.00558,False,0.04954,True
167,total fisheries production metric tons,0.00353,False,0.04974,True
5,individuals using the internet pct of population,0.03455,True,0.03348,False
7,population ages 80 and above male pct of male population,0.03059,False,0.03102,False
8,employment in services pct of total employment modeled ilo estimate,0.02924,False,0.03055,False
9,employment in services female pct of female employment modeled ilo estimate,0.02829,False,0.02741,False
10,population ages 65-69 female pct of female population,0.02797,False,0.02846,False
11,population ages 50-54 female pct of female population,0.02774,False,0.02663,False
12,life expectancy at birth female years,0.02762,False,0.03041,False
13,population ages 55-59 female pct of female population,0.02736,False,0.03008,False
14,employment in agriculture female pct of female employment modeled ilo estimate,-0.02727,False,-0.02449,False
15,population ages 65-69 male pct of male population,0.02726,False,0.02697,False
16,life expectancy at birth total years,0.02542,False,0.02596,False
17,employment in services male pct of male employment modeled ilo estimate,0.02527,False,0.02692,False
18,surface area sq. km,0.02507,False,0.02285,False
19,prevalence of anemia among children pct of children under 5,-0.02501,False,-0.02617,False
20,access to electricity rural pct of rural population,0.02498,False,0.02718,False
21,rural population pct of total population,-0.02449,False,-0.02455,False
22,urban population pct of total,0.02449,False,0.02455,False
23,access to electricity pct of population,0.02442,False,0.02507,False
24,mortality rate neonatal per 1000 live births,-0.02433,False,-0.0199,False
25,mortality rate infant per 1000 live births,-0.02427,False,-0.02292,False
26,land area sq. km,0.02426,False,0.02106,False
27,population ages 60-64 female pct of female population,0.02411,False,0.02894,False
28,population ages 65 and above male pct of total,0.02383,False,0.02709,False
29,employment in agriculture pct of total employment modeled ilo estimate,-0.02367,False,-0.02284,False
30,population ages 55-59 male pct of male population,0.02354,False,0.0265,False
31,mortality rate under-5 per 1000 live births,-0.02333,False,-0.02309,False
32,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.02332,False,-0.02234,False
33,population ages 50-54 male pct of male population,0.02326,False,0.0228,False
34,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.02318,False,-0.02229,False
35,survival to age 65 female pct of cohort,0.02295,False,0.0196,False
36,population ages 0-4 female pct of female population,-0.02294,False,-0.01911,False
37,birth rate crude per 1000 people,-0.02294,False,-0.01873,False
38,population ages 80 and above female pct of female population,0.02292,False,0.02792,False
39,age dependency ratio old pct of working-age population,0.02287,False,0.02708,False
40,life expectancy at birth male years,0.02257,False,0.02131,False
41,population ages 65 and above pct of total,0.02164,False,0.02663,False
42,population ages 0-14 female pct of total,-0.02161,False,-0.0174,False
43,population ages 45-49 female pct of female population,0.02144,False,0.02217,False
44,fertility rate total births per woman,-0.02142,False,-0.01637,False
45,population ages 5-9 female pct of female population,-0.02089,False,-0.01648,False
46,population ages 60-64 male pct of male population,0.02075,False,0.02538,False
47,mobile cellular subscriptions per 100 people,0.02068,False,0.02205,False
48,contributing family workers female pct of female employment modeled ilo estimate,-0.02067,False,-0.02182,False
49,population ages 0-4 male pct of male population,-0.02055,False,-0.01675,False
50,age dependency ratio young pct of working-age population,-0.02054,False,-0.01246,False
51,population ages 65 and above female pct of total,0.02,False,0.02574,False
52,population ages 0-14 pct of total,-0.01994,False,-0.01447,False
53,fixed telephone subscriptions per 100 people,0.01985,False,0.02162,False
54,employment in agriculture male pct of male employment modeled ilo estimate,-0.01983,False,-0.01946,False
55,access to electricity urban pct of urban population,0.01982,False,0.02902,False
57,total natural resources rents pct of gdp,-0.01964,False,-0.02033,False
58,urban population growth annual pct,-0.01954,False,-0.02299,False
59,contributing family workers total pct of total employment modeled ilo estimate,-0.01927,False,-0.0216,False
60,population ages 15-19 female pct of female population,-0.01921,False,-0.02103,False
61,population ages 10-14 female pct of female population,-0.0192,False,-0.01778,False
62,population ages 0-14 male pct of total,-0.01857,False,-0.01304,False
63,population growth annual pct,-0.01852,False,-0.02329,False
64,population ages 75-79 male pct of male population,0.01834,False,0.02465,False
65,population ages 20-24 female pct of female population,-0.01829,False,-0.02082,False
66,vulnerable employment female pct of female employment modeled ilo estimate,-0.01811,False,-0.01621,False
67,contributing family workers male pct of male employment modeled ilo estimate,-0.01801,False,-0.02234,False
68,survival to age 65 male pct of cohort,0.01798,False,0.01406,False
69,population ages 5-9 male pct of male population,-0.01779,False,-0.0124,False
70,self-employed female pct of female employment modeled ilo estimate,-0.01778,False,-0.01594,False
71,wage and salaried workers female pct of female employment modeled ilo estimate,0.01778,False,0.01594,False
72,wage and salaried workers total pct of total employment modeled ilo estimate,0.01713,False,0.01673,False
73,self-employed total pct of total employment modeled ilo estimate,-0.01713,False,-0.01673,False
74,population ages 15-64 female pct of total,0.01698,False,0.01514,False
75,vulnerable employment total pct of total employment modeled ilo estimate,-0.01678,False,-0.0154,False
76,population ages 70-74 male pct of male population,0.01637,False,0.02277,False
77,immunization measles pct of children ages 12-23 months,0.01635,False,0.0045,False
78,population ages 45-49 male pct of male population,0.01634,False,0.01455,False
79,wage and salaried workers male pct of male employment modeled ilo estimate,0.01614,False,0.01603,False
80,self-employed male pct of male employment modeled ilo estimate,-0.01614,False,-0.01603,False
81,age dependency ratio pct of working-age population,-0.01606,False,-0.01077,False
82,vulnerable employment male pct of male employment modeled ilo estimate,-0.01572,False,-0.01462,False
83,arable land hectares per person,0.01562,False,0.02538,False
84,population ages 10-14 male pct of male population,-0.01521,False,-0.01291,False
85,gdp per person employed constant 2011 ppp  ,0.01519,False,0.02083,False
87,labor force female pct of total labor force,0.01457,False,0.00772,False
88,population ages 25-29 female pct of female population,-0.01453,False,-0.01255,False
89,death rate crude per 1000 people,-0.0145,False,-0.0131,False
90,cereal production metric tons,0.01442,False,0.01835,False
91,population ages 15-19 male pct of male population,-0.01421,False,-0.01587,False
92,population ages 20-24 male pct of male population,-0.01403,False,-0.01669,False
93,population ages 15-64 pct of total,0.01377,False,0.01074,False
94,population ages 40-44 female pct of female population,0.01357,False,0.01287,False
95,oil rents pct of gdp,-0.01341,False,-0.00221,False
96,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.01329,False,0.00891,False
97,population ages 70-74 female pct of female population,0.01286,False,0.02043,False
98,immunization dpt pct of children ages 12-23 months,0.01285,False,0.00567,False
99,population male pct of total,-0.01277,False,-0.02067,False
100,population female pct of total,0.01277,False,0.02067,False
101,temparature ($^\circ$c),-0.0127,False,-0.01013,False
102,number of under-five deaths,-0.0125,False,-0.00735,False
103,employers female pct of female employment modeled ilo estimate,0.01244,False,0.02441,False
104,cereal yield kg per hectare,0.01242,False,0.01767,False
105,population ages 75-79 female pct of female population,0.01242,False,0.01997,False
106,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.01236,False,0.01069,False
107,number of infant deaths,-0.0123,False,-0.00619,False
108,rural population growth annual pct,-0.01211,False,-0.02065,False
109,forest rents pct of gdp,-0.01197,False,-0.00603,False
110,population ages 15-64 male pct of total,0.01177,False,0.00801,False
111,co2 emissions metric tons per capita,0.01126,False,0.0151,False
112,number of neonatal deaths,-0.01124,False,-0.00273,False
113,population ages 25-29 male pct of male population,-0.01101,False,-0.01012,False
114,rainfall (mm),-0.0109,False,-0.00495,False
115,food production index 2004-2006 = 100,-0.01053,False,-0.01614,False
