#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,number of maternal deaths,0.04525,True,0.05218,True
3,agricultural land sq. km,0.03226,False,0.04404,True
4,forest area sq. km,0.03189,False,0.04319,True
32,co2 emissions from gaseous fuel consumption kt,0.01944,False,0.04919,True
37,capture fisheries production metric tons,0.01866,False,0.04017,True
66,co2 emissions from liquid fuel consumption kt,0.01385,False,0.04238,True
122,co2 emissions kt,0.00653,False,0.04327,True
138,total fisheries production metric tons,0.00485,False,0.04582,True
171,co2 emissions from solid fuel consumption kt,0.00256,False,0.04533,True
2,individuals using the internet pct of population,0.03292,False,0.03185,False
5,employment in services female pct of female employment modeled ilo estimate,0.02826,False,0.02646,False
6,employment in services pct of total employment modeled ilo estimate,0.02808,False,0.02823,False
7,population ages 80 and above male pct of male population,0.02797,False,0.02661,False
8,mobile cellular subscriptions per 100 people,0.02774,False,0.03086,False
9,employment in agriculture female pct of female employment modeled ilo estimate,-0.02682,False,-0.02178,False
10,population ages 65-69 female pct of female population,0.02648,False,0.02516,False
11,rural population pct of total population,-0.02579,False,-0.02615,False
12,urban population pct of total,0.02579,False,0.02615,False
13,population ages 65-69 male pct of male population,0.02566,False,0.02362,False
14,life expectancy at birth female years,0.02466,False,0.02871,False
15,employment in services male pct of male employment modeled ilo estimate,0.02373,False,0.02534,False
16,employment in agriculture pct of total employment modeled ilo estimate,-0.02244,False,-0.01946,False
17,life expectancy at birth total years,0.02221,False,0.02364,False
18,population ages 60-64 female pct of female population,0.02163,False,0.02619,False
19,urban population growth annual pct,-0.02131,False,-0.02508,False
20,contributing family workers female pct of female employment modeled ilo estimate,-0.02121,False,-0.01766,False
21,age dependency ratio old pct of working-age population,0.02121,False,0.0236,False
22,population ages 55-59 female pct of female population,0.02113,False,0.02367,False
23,population ages 65 and above male pct of total,0.02106,False,0.0231,False
24,mortality rate neonatal per 1000 live births,-0.02059,False,-0.01751,False
25,access to electricity pct of population,0.02054,False,0.01919,False
26,mortality rate infant per 1000 live births,-0.02038,False,-0.01987,False
27,access to electricity rural pct of rural population,0.02032,False,0.02035,False
28,contributing family workers total pct of total employment modeled ilo estimate,-0.02029,False,-0.01828,False
29,population ages 80 and above female pct of female population,0.02014,False,0.02412,False
30,survival to age 65 female pct of cohort,0.02,False,0.01785,False
31,mortality rate under-5 per 1000 live births,-0.01967,False,-0.01988,False
33,life expectancy at birth male years,0.0191,False,0.01834,False
34,population ages 50-54 female pct of female population,0.019,False,0.01736,False
35,population ages 65 and above pct of total,0.01886,False,0.02251,False
36,contributing family workers male pct of male employment modeled ilo estimate,-0.0187,False,-0.01886,False
38,population ages 60-64 male pct of male population,0.01833,False,0.0226,False
39,employment in agriculture male pct of male employment modeled ilo estimate,-0.01803,False,-0.01539,False
40,prevalence of anemia among children pct of children under 5,-0.01768,False,-0.01494,False
41,total natural resources rents pct of gdp,-0.01751,False,-0.0221,False
42,birth rate crude per 1000 people,-0.01736,False,-0.01268,False
43,population ages 55-59 male pct of male population,0.0173,False,0.02026,False
44,population ages 65 and above female pct of total,0.01721,False,0.02151,False
45,access to electricity urban pct of urban population,0.01684,False,0.02495,False
46,population ages 0-4 female pct of female population,-0.01682,False,-0.01326,False
47,fertility rate total births per woman,-0.01664,False,-0.01001,False
48,population ages 0-14 female pct of total,-0.01559,False,-0.012,False
49,population growth annual pct,-0.01551,False,-0.01972,False
50,vulnerable employment female pct of female employment modeled ilo estimate,-0.01519,False,-0.01311,False
51,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.01489,False,-0.01194,False
52,population ages 50-54 male pct of male population,0.01488,False,0.01404,False
53,self-employed female pct of female employment modeled ilo estimate,-0.01486,False,-0.01333,False
54,wage and salaried workers female pct of female employment modeled ilo estimate,0.01486,False,0.01333,False
55,age dependency ratio young pct of working-age population,-0.01481,False,-0.00682,False
56,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.01478,False,-0.01195,False
57,survival to age 65 male pct of cohort,0.0146,False,0.01123,False
58,population ages 0-4 male pct of male population,-0.01453,False,-0.01069,False
59,population ages 5-9 female pct of female population,-0.01452,False,-0.01086,False
60,self-employed total pct of total employment modeled ilo estimate,-0.0143,False,-0.0136,False
61,wage and salaried workers total pct of total employment modeled ilo estimate,0.0143,False,0.0136,False
62,population ages 75-79 male pct of male population,0.01419,False,0.01966,False
63,population ages 10-14 female pct of female population,-0.01414,False,-0.01423,False
64,population ages 0-14 pct of total,-0.01402,False,-0.00909,False
65,vulnerable employment total pct of total employment modeled ilo estimate,-0.01401,False,-0.01231,False
67,death rate crude per 1000 people,-0.01366,False,-0.01328,False
68,population ages 15-19 female pct of female population,-0.01356,False,-0.01709,False
69,wage and salaried workers male pct of male employment modeled ilo estimate,0.01352,False,0.01323,False
70,self-employed male pct of male employment modeled ilo estimate,-0.01352,False,-0.01323,False
71,population ages 70-74 male pct of male population,0.01342,False,0.01864,False
72,vulnerable employment male pct of male employment modeled ilo estimate,-0.01306,False,-0.0115,False
73,primary education duration years,-0.01277,False,-0.02008,False
74,population ages 0-14 male pct of total,-0.0127,False,-0.00762,False
75,immunization measles pct of children ages 12-23 months,0.01248,False,0.00056,False
76,population ages 20-24 female pct of female population,-0.01244,False,-0.01484,False
77,fixed telephone subscriptions per 100 people,0.01235,False,0.01544,False
78,cereal yield kg per hectare,0.01224,False,0.01604,False
79,lower secondary school starting age years,-0.01214,False,-0.01514,False
80,employers female pct of female employment modeled ilo estimate,0.01185,False,0.02308,False
81,oil rents pct of gdp,-0.01171,False,-0.00792,False
82,population female pct of total,0.0116,False,0.01811,False
83,population male pct of total,-0.0116,False,-0.01811,False
84,population ages 5-9 male pct of male population,-0.01155,False,-0.00651,False
85,natural gas rents pct of gdp,-0.01115,False,-0.01716,False
86,number of under-five deaths,-0.01079,False,-0.008,False
87,number of infant deaths,-0.01063,False,-0.00709,False
88,population ages 10-14 male pct of male population,-0.01039,False,-0.00944,False
89,gdp per person employed constant 2011 ppp  ,0.01028,False,0.01574,False
90,rural population growth annual pct,-0.01002,False,-0.01811,False
91,population ages 70-74 female pct of female population,0.01002,False,0.01605,False
92,population ages 45-49 female pct of female population,0.01001,False,0.00953,False
