#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,temparature ($^\circ$c),-0.24625,True,-0.1991,True
2,fixed telephone subscriptions per 100 people,0.15776,True,0.14431,True
3,population ages 75-79 female pct of female population,0.15287,True,0.13854,True
4,population ages 65-69 female pct of female population,0.1446,True,0.13358,True
5,population ages 70-74 female pct of female population,0.13971,True,0.13529,True
6,population ages 65-69 male pct of male population,0.13825,True,0.13639,True
7,population ages 65 and above female pct of total,0.13671,True,0.12792,True
8,population ages 65 and above pct of total,0.13245,True,0.1277,True
9,population ages 70-74 male pct of male population,0.13144,True,0.13205,True
10,population ages 20-24 female pct of female population,-0.13047,True,-0.13218,True
11,age dependency ratio old pct of working-age population,0.12934,True,0.1271,True
12,population ages 75-79 male pct of male population,0.12801,True,0.13082,True
13,population ages 65 and above male pct of total,0.12429,True,0.12556,True
14,population ages 15-19 female pct of female population,-0.12004,True,-0.11636,True
15,population ages 0-4 female pct of female population,-0.1198,True,-0.14375,True
16,population ages 20-24 male pct of male population,-0.11843,True,-0.12275,True
17,population ages 0-14 female pct of total,-0.11475,True,-0.12148,True
18,population ages 0-4 male pct of male population,-0.11234,True,-0.13695,True
19,population ages 80 and above female pct of female population,0.1117,True,0.11163,True
20,population ages 5-9 female pct of female population,-0.11111,True,-0.11525,True
21,birth rate crude per 1000 people,-0.11079,True,-0.14646,True
22,population ages 0-14 pct of total,-0.10882,True,-0.11419,True
23,population ages 50-54 male pct of male population,0.10671,True,0.10144,True
24,population ages 10-14 female pct of female population,-0.10501,True,-0.10106,True
25,population ages 0-14 male pct of total,-0.10412,True,-0.11022,True
26,population ages 40-44 female pct of female population,0.10246,True,0.10722,True
27,population ages 5-9 male pct of male population,-0.10062,True,-0.10277,True
28,employment in industry male pct of male employment modeled ilo estimate,0.09969,True,0.11698,True
29,fertility rate total births per woman,-0.09924,True,-0.1487,True
30,population ages 15-19 male pct of male population,-0.0989,True,-0.10363,True
31,population ages 40-44 male pct of male population,0.09785,True,0.11068,True
32,population ages 50-54 female pct of female population,0.09748,True,0.09165,True
33,vulnerable employment female pct of female employment modeled ilo estimate,-0.09674,True,-0.1007,True
34,age dependency ratio young pct of working-age population,-0.09669,True,-0.11068,True
35,population ages 55-59 male pct of male population,0.09639,True,0.09479,True
36,lifetime risk of maternal death 1 in  rate varies by country,0.09565,True,0.11064,True
37,self-employed female pct of female employment modeled ilo estimate,-0.09536,True,-0.1013,True
38,wage and salaried workers female pct of female employment modeled ilo estimate,0.09536,True,0.1013,True
39,population ages 35-39 female pct of female population,0.09388,True,0.08418,True
40,vulnerable employment total pct of total employment modeled ilo estimate,-0.09291,True,-0.1015,True
41,population ages 45-49 male pct of male population,0.09258,True,0.09238,True
42,self-employed total pct of total employment modeled ilo estimate,-0.09226,True,-0.10162,True
43,wage and salaried workers total pct of total employment modeled ilo estimate,0.09226,True,0.10162,True
44,prevalence of anemia among children pct of children under 5,-0.09162,True,-0.09127,True
45,adolescent fertility rate births per 1000 women ages 15-19,-0.09111,True,-0.10957,True
46,vulnerable employment male pct of male employment modeled ilo estimate,-0.08971,True,-0.10029,True
47,population growth annual pct,-0.0891,True,-0.11378,True
48,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.0889,True,-0.09475,True
49,population ages 10-14 male pct of male population,-0.08881,True,-0.08427,True
50,urban population growth annual pct,-0.08868,True,-0.10614,True
51,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.08848,True,-0.09422,True
52,population ages 45-49 female pct of female population,0.08839,True,0.09175,True
53,self-employed male pct of male employment modeled ilo estimate,-0.08789,True,-0.0985,True
54,wage and salaried workers male pct of male employment modeled ilo estimate,0.08789,True,0.0985,True
55,population ages 80 and above male pct of male population,0.08723,True,0.10102,True
56,life expectancy at birth female years,0.08524,True,0.09365,True
57,survival to age 65 female pct of cohort,0.08498,True,0.10057,True
58,food production index 2004-2006 = 100,-0.08439,True,-0.12778,True
59,population ages 55-59 female pct of female population,0.08413,True,0.07977,True
61,employment in agriculture male pct of male employment modeled ilo estimate,-0.08207,True,-0.08965,True
62,life expectancy at birth total years,0.08116,True,0.08478,True
63,employment in industry pct of total employment modeled ilo estimate,0.081,True,0.09866,True
64,population ages 60-64 male pct of male population,0.08027,True,0.08574,True
65,employment in agriculture pct of total employment modeled ilo estimate,-0.07975,True,-0.08823,True
66,livestock production index 2004-2006 = 100,-0.07941,True,-0.11787,True
67,access to electricity rural pct of rural population,0.07859,True,0.09929,True
68,population ages 60-64 female pct of female population,0.07766,True,0.08362,True
69,total natural resources rents pct of gdp,-0.07729,True,-0.11696,True
70,life expectancy at birth male years,0.07606,True,0.07753,True
71,mortality rate adult female per 1000 female adults,-0.07552,True,-0.08964,True
72,population ages 35-39 male pct of male population,0.07446,True,0.10722,True
73,population ages 25-29 female pct of female population,-0.07376,True,-0.07862,True
74,employment in agriculture female pct of female employment modeled ilo estimate,-0.07256,True,-0.07193,True
75,rural population pct of total population,-0.07189,True,-0.06675,True
76,urban population pct of total,0.07189,True,0.06675,True
77,population ages 15-64 male pct of total,0.07146,True,0.0878,True
78,survival to age 65 male pct of cohort,0.07069,True,0.07104,True
79,secondary education duration years,0.06957,True,0.07007,True
80,gdp per person employed constant 2011 ppp  ,0.06896,True,0.07789,True
81,access to electricity pct of population,0.06862,True,0.12113,True
82,renewable energy consumption pct of total final energy consumption,-0.067,True,-0.06909,True
83,age dependency ratio pct of working-age population,-0.06681,True,-0.07604,True
84,employment in services pct of total employment modeled ilo estimate,0.06592,True,0.06947,True
85,mortality rate infant per 1000 live births,-0.06569,True,-0.07052,True
86,population ages 15-64 pct of total,0.06437,True,0.07586,True
87,co2 emissions metric tons per capita,0.06354,True,0.09737,True
88,mortality rate under-5 per 1000 live births,-0.06218,True,-0.06911,True
89,mortality rate neonatal per 1000 live births,-0.06145,True,-0.06804,True
90,population ages 15-64 female pct of total,0.06095,True,0.06161,True
91,preprimary education duration years,0.06075,True,0.06161,True
92,access to electricity urban pct of urban population,0.06028,True,0.11806,True
93,mortality rate adult male per 1000 male adults,-0.05927,True,-0.05848,True
94,population ages 25-29 male pct of male population,-0.05832,True,-0.07239,True
95,employment in services male pct of male employment modeled ilo estimate,0.05829,True,0.05946,True
96,employers female pct of female employment modeled ilo estimate,0.05815,True,0.05047,True
97,employment in industry female pct of female employment modeled ilo estimate,0.05792,True,0.06712,True
98,co2 emissions from solid fuel consumption pct of total,0.05693,True,0.09182,True
99,employment in services female pct of female employment modeled ilo estimate,0.05684,True,0.04907,True
100,population male pct of total,-0.05652,True,-0.09801,True
101,population female pct of total,0.05652,True,0.09801,True
102,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.05632,True,0.05656,True
103,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.05521,True,0.0547,True
104,maternal mortality ratio modeled estimate per 100000 live births,-0.05509,True,-0.08665,True
105,mobile cellular subscriptions per 100 people,-0.05289,True,-0.0634,True
106,rural population growth annual pct,-0.05273,True,-0.06239,True
107,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,-0.05269,True,-0.06176,True
108,contributing family workers male pct of male employment modeled ilo estimate,-0.05226,True,-0.07798,True
109,contributing family workers total pct of total employment modeled ilo estimate,-0.05218,True,-0.06543,True
110,oil rents pct of gdp,-0.05209,True,-0.05872,True
111,employers male pct of male employment modeled ilo estimate,0.05129,True,0.07379,True
112,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.05027,True,0.04858,True
113,contributing family workers female pct of female employment modeled ilo estimate,-0.04993,True,-0.05666,True
115,primary education duration years,-0.04694,True,-0.04129,True
116,permanent cropland pct of land area,-0.04678,True,-0.04222,True
