#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,population male pct of total,0.44732,True,0.23844,True
2,population female pct of total,-0.44732,True,-0.23844,True
3,labor force female pct of total labor force,-0.42484,True,-0.24885,True
4,population ages 35-39 male pct of male population,0.38259,True,0.19861,True
5,population ages 30-34 male pct of male population,0.36888,True,0.21894,True
6,population ages 30-34 female pct of female population,0.34558,True,0.20777,True
7,oil rents pct of gdp,0.32754,True,0.21288,True
8,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,0.30508,True,0.17536,True
9,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.30502,True,-0.22772,True
10,gdp per person employed constant 2011 ppp  ,0.30217,True,0.23515,True
11,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.28117,True,-0.21762,True
12,population ages 40-44 male pct of male population,0.27155,True,0.1993,True
13,population ages 35-39 female pct of female population,0.26507,True,0.18561,True
14,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.26045,True,-0.208,True
15,employment to population ratio 15+ female pct modeled ilo estimate,-0.26016,True,-0.20149,True
16,labor force participation rate for ages 15-24 female pct modeled ilo estimate,-0.26009,True,-0.22895,True
17,employment to population ratio ages 15-24 female pct modeled ilo estimate,-0.24514,True,-0.22284,True
18,total natural resources rents pct of gdp,0.24463,True,0.17408,True
19,mobile cellular subscriptions per 100 people,0.23975,True,0.20793,True
20,labor force participation rate for ages 15-24 total pct modeled ilo estimate,-0.23876,True,-0.19135,True
21,population ages 25-29 female pct of female population,0.23329,True,0.1889,True
22,population ages 25-29 male pct of male population,0.22703,True,0.13453,True
23,unemployment female pct of female labor force modeled ilo estimate,0.21761,True,0.14584,True
24,employment to population ratio ages 15-24 total pct modeled ilo estimate,-0.21356,True,-0.18439,True
25,wage and salaried workers male pct of male employment modeled ilo estimate,0.20928,True,0.23866,True
26,self-employed male pct of male employment modeled ilo estimate,-0.20928,True,-0.23866,True
27,death rate crude per 1000 people,-0.20923,True,-0.22088,True
28,population ages 15-64 male pct of total,0.20875,True,0.18395,True
29,labor force participation rate for ages 15-24 male pct modeled ilo estimate,-0.20039,True,-0.1626,True
30,wage and salaried workers total pct of total employment modeled ilo estimate,0.19135,True,0.23708,True
31,self-employed total pct of total employment modeled ilo estimate,-0.19135,True,-0.23708,True
32,employment in services female pct of female employment modeled ilo estimate,0.18609,True,0.23778,True
33,self-employed female pct of female employment modeled ilo estimate,-0.18544,True,-0.2432,True
34,wage and salaried workers female pct of female employment modeled ilo estimate,0.18544,True,0.2432,True
35,vulnerable employment male pct of male employment modeled ilo estimate,-0.18351,True,-0.2367,True
36,individuals using the internet pct of population,0.18259,True,0.16785,True
37,population ages 15-19 male pct of male population,-0.17824,True,-0.15286,True
