#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,forest area sq. km,0.06622,True,0.04843,True
2,surface area sq. km,0.0445,True,0.03476,True
4,population ages 65-69 female pct of female population,0.037,True,0.03734,True
5,population ages 65-69 male pct of male population,0.03593,True,0.03556,True
6,co2 emissions from gaseous fuel consumption kt,0.03567,True,0.05576,True
7,agricultural land sq. km,0.03529,True,0.04747,True
8,employment in services pct of total employment modeled ilo estimate,0.0343,True,0.0354,True
9,population ages 80 and above male pct of male population,0.03391,False,0.03577,True
12,prevalence of anemia among children pct of children under 5,-0.03204,False,-0.03686,True
13,age dependency ratio old pct of working-age population,0.03166,False,0.03541,True
14,population ages 65 and above male pct of total,0.03142,False,0.03423,True
15,life expectancy at birth female years,0.03115,False,0.03437,True
17,co2 emissions from liquid fuel consumption kt,0.03085,False,0.04988,True
18,population ages 80 and above female pct of female population,0.03084,False,0.03561,True
21,population ages 65 and above pct of total,0.03047,False,0.03455,True
28,population ages 65 and above female pct of total,0.02967,False,0.03466,True
36,lower secondary school starting age years,-0.02885,False,-0.03457,True
45,cereal yield kg per hectare,0.02779,False,0.03442,True
84,cereal production metric tons,0.02121,False,0.04231,True
105,fixed telephone subscriptions,0.01475,False,0.04563,True
111,urban population,0.01388,False,0.04162,True
118,mobile cellular subscriptions,0.01295,False,0.0352,True
119,co2 emissions kt,0.01263,False,0.05019,True
123,land under cereal production hectares,0.01215,False,0.03604,True
133,population ages 65 and above female,0.01048,False,0.04154,True
145,population ages 65 and above total,0.00862,False,0.04193,True
146,capture fisheries production metric tons,0.00788,False,0.03935,True
152,population ages 65 and above male,0.00659,False,0.04259,True
170,co2 emissions from solid fuel consumption kt,0.00368,False,0.05104,True
178,total fisheries production metric tons,-0.0022,False,0.04272,True
182,population female,0.00141,False,0.03516,True
183,population total,0.00126,False,0.03673,True
185,population ages 15-64 female,0.00102,False,0.03531,True
188,population ages 15-64 total,0.00053,False,0.0353,True
191,labor force total,-0.00014,False,0.03779,True
192,population male,0.00012,False,0.03496,True
193,population ages 15-64 male,6e-05,False,0.03506,True
3,land area sq. km,0.04432,True,0.03317,False
10,population ages 50-54 female pct of female population,0.03308,False,0.0298,False
11,employment in services female pct of female employment modeled ilo estimate,0.03235,False,0.03155,False
16,employment in agriculture female pct of female employment modeled ilo estimate,-0.03085,False,-0.0281,False
19,rural population pct of total population,-0.03073,False,-0.03198,False
20,urban population pct of total,0.03073,False,0.03198,False
22,employment in services male pct of male employment modeled ilo estimate,0.03039,False,0.03239,False
23,fixed telephone subscriptions per 100 people,0.03025,False,0.03265,False
24,population ages 50-54 male pct of male population,0.03024,False,0.02892,False
25,population ages 20-24 female pct of female population,-0.03011,False,-0.03392,False
26,employment in agriculture pct of total employment modeled ilo estimate,-0.02998,False,-0.03045,False
27,population ages 55-59 female pct of female population,0.02981,False,0.03112,False
29,population ages 60-64 female pct of female population,0.02962,False,0.03315,False
30,population ages 0-4 female pct of female population,-0.02932,False,-0.0241,False
31,life expectancy at birth total years,0.02929,False,0.03182,False
32,vulnerable employment female pct of female employment modeled ilo estimate,-0.02921,False,-0.02716,False
33,population ages 15-19 female pct of female population,-0.02899,False,-0.02999,False
34,self-employed female pct of female employment modeled ilo estimate,-0.02893,False,-0.02766,False
35,wage and salaried workers female pct of female employment modeled ilo estimate,0.02893,False,0.02766,False
37,birth rate crude per 1000 people,-0.02884,False,-0.02421,False
38,population ages 0-14 female pct of total,-0.02878,False,-0.02294,False
39,mortality rate neonatal per 1000 live births,-0.02842,False,-0.02507,False
40,individuals using the internet pct of population,0.02835,False,0.02667,False
41,population ages 5-9 female pct of female population,-0.02828,False,-0.02221,False
42,access to electricity rural pct of rural population,0.02819,False,0.03334,False
43,employment in agriculture male pct of male employment modeled ilo estimate,-0.02808,False,-0.02852,False
44,population ages 55-59 male pct of male population,0.02781,False,0.02942,False
46,population ages 0-14 pct of total,-0.02732,False,-0.02081,False
47,population ages 0-4 male pct of male population,-0.0273,False,-0.02229,False
48,population ages 45-49 female pct of female population,0.0272,False,0.02743,False
49,mortality rate infant per 1000 live births,-0.02719,False,-0.02657,False
50,population ages 60-64 male pct of male population,0.02704,False,0.03061,False
51,population ages 10-14 female pct of female population,-0.02697,False,-0.02412,False
52,access to electricity pct of population,0.02697,False,0.03295,False
53,life expectancy at birth male years,0.0268,False,0.02613,False
54,age dependency ratio young pct of working-age population,-0.0268,False,-0.01807,False
55,population ages 75-79 male pct of male population,0.02661,False,0.0326,False
56,self-employed total pct of total employment modeled ilo estimate,-0.02639,False,-0.02768,False
57,wage and salaried workers total pct of total employment modeled ilo estimate,0.02639,False,0.02768,False
58,fertility rate total births per woman,-0.02625,False,-0.02561,False
59,population ages 0-14 male pct of total,-0.02625,False,-0.01962,False
60,mortality rate under-5 per 1000 live births,-0.02602,False,-0.02698,False
61,survival to age 65 female pct of cohort,0.02601,False,0.02373,False
62,vulnerable employment total pct of total employment modeled ilo estimate,-0.02592,False,-0.02551,False
63,population ages 20-24 male pct of male population,-0.02586,False,-0.03074,False
64,population ages 5-9 male pct of male population,-0.02573,False,-0.01883,False
65,population ages 70-74 male pct of male population,0.02565,False,0.03153,False
66,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.02542,False,-0.02341,False
67,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.02539,False,-0.02364,False
68,contributing family workers female pct of female employment modeled ilo estimate,-0.02522,False,-0.02621,False
69,urban population growth annual pct,-0.02521,False,-0.03071,False
70,population ages 15-19 male pct of male population,-0.0247,False,-0.02808,False
71,contributing family workers total pct of total employment modeled ilo estimate,-0.02449,False,-0.02687,False
72,contributing family workers male pct of male employment modeled ilo estimate,-0.02396,False,-0.0297,False
73,population ages 70-74 female pct of female population,0.02366,False,0.03057,False
74,population ages 10-14 male pct of male population,-0.02358,False,-0.02036,False
75,population ages 75-79 female pct of female population,0.02354,False,0.0303,False
76,population ages 45-49 male pct of male population,0.02346,False,0.02148,False
77,wage and salaried workers male pct of male employment modeled ilo estimate,0.02345,False,0.02449,False
78,self-employed male pct of male employment modeled ilo estimate,-0.02345,False,-0.02449,False
