#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,population ages 45-49 male pct of male population,,False,,False,Decision
2,wage and salaried workers female pct of female employment modeled ilo estimate,,False,,False,Decision
3,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,,False,,False,Decision
4,prevalence of anemia among non-pregnant women pct of women ages 15-49,,False,,False,Decision
5,number of under-five deaths,,False,,False,Decision
6,population ages 15-64 female pct of total,,False,,False,Decision
7,death rate crude per 1000 people,,False,,False,Decision
8,population ages 65 and above total,,False,,False,Decision
9,lifetime risk of maternal death pct,,False,,False,Decision
10,survival to age 65 female pct of cohort,,False,,False,Decision
11,employment to population ratio ages 15-24 female pct modeled ilo estimate,,False,,False,Decision
12,population ages 0-14 total,,False,,False,Decision
13,forest area pct of land area,,False,,False,Decision
14,population ages 25-29 male pct of male population,,False,,False,Decision
15,co2 emissions from gaseous fuel consumption kt,,False,,False,Decision
16,population ages 60-64 male pct of male population,,False,,False,Decision
17,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,,False,,False,Decision
18,population female,,False,,False,Decision
19,employment in industry male pct of male employment modeled ilo estimate,,False,,False,Decision
20,rural population,,False,,False,Decision
21,mortality rate adult male per 1000 male adults,,False,,False,Decision
22,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,,False,,False,Decision
23,capture fisheries production metric tons,,False,,False,Decision
24,population ages 0-14 female pct of total,,False,,False,Decision
25,fertility rate total births per woman,,False,,False,Decision
26,population ages 10-14 male pct of male population,,False,,False,Decision
27,contributing family workers female pct of female employment modeled ilo estimate,,False,,False,Decision
28,population ages 15-64 total,,False,,False,Decision
29,immunization dpt pct of children ages 12-23 months,,False,,False,Decision
30,population ages 35-39 male pct of male population,,False,,False,Decision
31,age dependency ratio old pct of working-age population,,False,,False,Decision
32,population ages 50-54 male pct of male population,,False,,False,Decision
33,labor force participation rate for ages 15-24 total pct modeled ilo estimate,,False,,False,Decision
34,population ages 65 and above female pct of total,,False,,False,Decision
35,employment in agriculture female pct of female employment modeled ilo estimate,,False,,False,Decision
36,population ages 75-79 male pct of male population,,False,,False,Decision
37,life expectancy at birth female years,,False,,False,Decision
38,population male pct of total,,False,,False,Decision
39,co2 emissions from solid fuel consumption kt,,False,,False,Decision
40,ratio of female to male labor force participation rate pct modeled ilo estimate,,False,,False,Decision
41,mineral rents pct of gdp,,False,,False,Decision
42,self-employed female pct of female employment modeled ilo estimate,,False,,False,Decision
43,employment in services pct of total employment modeled ilo estimate,,False,,False,Decision
44,unemployment female pct of female labor force modeled ilo estimate,,False,,False,Decision
45,natural gas rents pct of gdp,,False,,False,Decision
46,urban population pct of total,,False,,False,Decision
47,agricultural land sq. km,,False,,False,Decision
48,permanent cropland pct of land area,,False,,False,Decision
49,employment to population ratio ages 15-24 total pct modeled ilo estimate,,False,,False,Decision
50,population ages 0-14 male pct of total,,False,,False,Decision
51,cereal yield kg per hectare,,False,,False,Decision
52,population ages 0-4 male pct of male population,,False,,False,Decision
53,fixed telephone subscriptions per 100 people,,False,,False,Decision
54,population ages 15-19 male pct of male population,,False,,False,Decision
55,arable land pct of land area,,False,,False,Decision
56,population ages 15-64 male pct of total,,False,,False,Decision
57,forest rents pct of gdp,,False,,False,Decision
58,population ages 20-24 male pct of male population,,False,,False,Decision
59,contributing family workers total pct of total employment modeled ilo estimate,,False,,False,Decision
60,population ages 30-34 male pct of male population,,False,,False,Decision
61,individuals using the internet pct of population,,False,,False,Decision
62,population ages 40-44 male pct of male population,,False,,False,Decision
63,access to electricity pct of population,,False,,False,Decision
64,population ages 5-9 male pct of male population,,False,,False,Decision
65,labor force participation rate for ages 15-24 female pct modeled ilo estimate,,False,,False,Decision
66,population ages 55-59 male pct of male population,,False,,False,Decision
67,employers male pct of male employment modeled ilo estimate,,False,,False,Decision
68,population ages 65-69 male pct of male population,,False,,False,Decision
69,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,,False,,False,Decision
70,population ages 65 and above male pct of total,,False,,False,Decision
71,co2 emissions from liquid fuel consumption kt,,False,,False,Decision
72,population ages 70-74 male pct of male population,,False,,False,Decision
73,land area sq. km,,False,,False,Decision
74,population ages 80 and above male pct of male population,,False,,False,Decision
75,employment in agriculture pct of total employment modeled ilo estimate,,False,,False,Decision
76,population growth annual pct,,False,,False,Decision
77,life expectancy at birth total years,,False,,False,Decision
78,preprimary education duration years,,False,,False,Decision
79,age dependency ratio young pct of working-age population,,False,,False,Decision
80,primary education duration years,,False,,False,Decision
81,lower secondary school starting age years,,False,,False,Decision
82,renewable electricity output pct of total electricity output,,False,,False,Decision
83,employment in services female pct of female employment modeled ilo estimate,,False,,False,Decision
84,rural population pct of total population,,False,,False,Decision
85,mobile cellular subscriptions per 100 people,,False,,False,Decision
86,self-employed total pct of total employment modeled ilo estimate,,False,,False,Decision
87,co2 emissions kt,,False,,False,Decision
88,total fisheries production metric tons,,False,,False,Decision
89,mortality rate neonatal per 1000 live births,,False,,False,Decision
90,unemployment total pct of total labor force modeled ilo estimate,,False,,False,Decision
91,employment to population ratio 15+ male pct modeled ilo estimate,,False,,False,Decision
92,urban population,,False,,False,Decision
93,number of maternal deaths,,False,,False,Decision
94,vulnerable employment male pct of male employment modeled ilo estimate,,False,,False,Decision
95,access to electricity urban pct of urban population,,False,,False,Decision
96,wage and salaried workers total pct of total employment modeled ilo estimate,,False,,False,Decision
97,employment to population ratio ages 15-24 male pct modeled ilo estimate,,False,,False,Decision
98,population ages 0-14 female,,False,,False,Decision
99,cereal production metric tons,,False,,False,Decision
100,population ages 0-14 male,,False,,False,Decision
101,energy intensity level of primary energy mj  2011 ppp gdp,,False,,False,Decision
102,population ages 0-14 pct of total,,False,,False,Decision
103,arable land hectares per person,,False,,False,Decision
104,population ages 0-4 female pct of female population,,False,,False,Decision
105,fixed telephone subscriptions,,False,,False,Decision
106,population ages 10-14 female pct of female population,,False,,False,Decision
107,coal rents pct of gdp,,False,,False,Decision
108,population ages 15-19 female pct of female population,,False,,False,Decision
109,food production index 2004-2006 = 100,,False,,False,Decision
110,population ages 15-64 female,,False,,False,Decision
111,adolescent fertility rate births per 1000 women ages 15-19,,False,,False,Decision
112,population ages 15-64 male,,False,,False,Decision
113,forest area sq. km,,False,,False,Decision
114,population ages 15-64 pct of total,,False,,False,Decision
115,contributing family workers male pct of male employment modeled ilo estimate,,False,,False,Decision
116,population ages 20-24 female pct of female population,,False,,False,Decision
117,gdp per person employed constant 2011 ppp  ,,False,,False,Decision
118,population ages 25-29 female pct of female population,,False,,False,Decision
119,birth rate crude per 1000 people,,False,,False,Decision
120,population ages 30-34 female pct of female population,,False,,False,Decision
121,immunization measles pct of children ages 12-23 months,,False,,False,Decision
122,population ages 35-39 female pct of female population,,False,,False,Decision
123,crop production index 2004-2006 = 100,,False,,False,Decision
124,population ages 40-44 female pct of female population,,False,,False,Decision
125,labor force female pct of total labor force,,False,,False,Decision
126,population ages 45-49 female pct of female population,,False,,False,Decision
127,temparature ($^\circ$c),,False,,False,Decision
128,population ages 5-9 female pct of female population,,False,,False,Decision
129,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,,False,,False,Decision
130,population ages 50-54 female pct of female population,,False,,False,Decision
131,employers female pct of female employment modeled ilo estimate,,False,,False,Decision
132,population ages 55-59 female pct of female population,,False,,False,Decision
133,labor force participation rate for ages 15-24 male pct modeled ilo estimate,,False,,False,Decision
134,population ages 60-64 female pct of female population,,False,,False,Decision
135,co2 emissions from gaseous fuel consumption pct of total,,False,,False,Decision
136,population ages 65-69 female pct of female population,,False,,False,Decision
137,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,,False,,False,Decision
138,population ages 65 and above female,,False,,False,Decision
139,employers total pct of total employment modeled ilo estimate,,False,,False,Decision
