#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,mortality rate under-5 per 1000 live births,0.38866,True,0.31777,True
2,mortality rate infant per 1000 live births,0.38551,True,0.31594,True
3,survival to age 65 female pct of cohort,-0.37196,True,-0.31204,True
4,life expectancy at birth total years,-0.37155,True,-0.31622,True
5,fertility rate total births per woman,0.36977,True,0.31185,True
6,life expectancy at birth female years,-0.36972,True,-0.31377,True
7,life expectancy at birth male years,-0.36947,True,-0.31634,True
8,birth rate crude per 1000 people,0.36565,True,0.31685,True
9,mortality rate adult female per 1000 female adults,0.36057,True,0.30782,True
10,mortality rate neonatal per 1000 live births,0.35806,True,0.30647,True
11,age dependency ratio young pct of working-age population,0.35681,True,0.31725,True
12,survival to age 65 male pct of cohort,-0.35627,True,-0.31074,True
13,population ages 0-4 male pct of male population,0.35604,True,0.31642,True
14,age dependency ratio pct of working-age population,0.35338,True,0.31669,True
15,population ages 0-4 female pct of female population,0.3483,True,0.31011,True
16,access to electricity pct of population,-0.34549,True,-0.29605,True
17,lifetime risk of maternal death pct,0.34475,True,0.29744,True
18,population ages 15-64 female pct of total,-0.34401,True,-0.31241,True
19,population ages 0-14 male pct of total,0.34326,True,0.3157,True
20,population ages 0-14 pct of total,0.34246,True,0.31492,True
21,population ages 15-64 pct of total,-0.34123,True,-0.31661,True
22,population ages 5-9 male pct of male population,0.33937,True,0.31429,True
23,population ages 15-64 male pct of total,-0.33784,True,-0.317,True
24,population ages 0-14 female pct of total,0.33722,True,0.31126,True
25,immunization measles pct of children ages 12-23 months,-0.33703,True,-0.288,True
26,mortality rate adult male per 1000 male adults,0.33669,True,0.29824,True
27,population ages 5-9 female pct of female population,0.33337,True,0.30963,True
28,access to electricity urban pct of urban population,-0.33322,True,-0.29345,True
29,maternal mortality ratio modeled estimate per 100000 live births,0.33197,True,0.28963,True
30,immunization dpt pct of children ages 12-23 months,-0.3305,True,-0.29283,True
31,mobile cellular subscriptions per 100 people,-0.32507,True,-0.31962,True
32,population ages 45-49 male pct of male population,-0.32083,True,-0.3121,True
33,population ages 45-49 female pct of female population,-0.31326,True,-0.31089,True
34,population ages 50-54 male pct of male population,-0.31249,True,-0.31292,True
35,adolescent fertility rate births per 1000 women ages 15-19,0.31234,True,0.27428,True
36,population ages 40-44 female pct of female population,-0.31174,True,-0.30395,True
37,prevalence of anemia among children pct of children under 5,0.31054,True,0.28261,True
38,population ages 10-14 male pct of male population,0.30644,True,0.29948,True
39,population ages 10-14 female pct of female population,0.30587,True,0.3001,True
40,employment in agriculture pct of total employment modeled ilo estimate,0.30444,True,0.2599,True
41,population ages 50-54 female pct of female population,-0.30441,True,-0.3073,True
42,population ages 40-44 male pct of male population,-0.30216,True,-0.30313,True
43,employment in agriculture female pct of female employment modeled ilo estimate,0.29964,True,0.26152,True
44,employment in agriculture male pct of male employment modeled ilo estimate,0.29681,True,0.25333,True
45,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.28794,True,0.27388,True
46,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.28588,True,0.273,True
47,population ages 55-59 male pct of male population,-0.28472,True,-0.30338,True
48,access to electricity rural pct of rural population,-0.27581,True,-0.25478,True
49,population ages 55-59 female pct of female population,-0.27469,True,-0.28928,True
50,employment in services pct of total employment modeled ilo estimate,-0.27437,True,-0.24472,True
51,death rate crude per 1000 people,0.27207,True,0.22678,True
52,population ages 35-39 female pct of female population,-0.2714,True,-0.27882,True
53,renewable energy consumption pct of total final energy consumption,0.26994,True,0.2266,True
54,employment in services female pct of female employment modeled ilo estimate,-0.26884,True,-0.24577,True
55,employment in industry male pct of male employment modeled ilo estimate,-0.26825,True,-0.24363,True
56,employment in services male pct of male employment modeled ilo estimate,-0.2672,True,-0.23639,True
57,vulnerable employment total pct of total employment modeled ilo estimate,0.26682,True,0.24258,True
58,self-employed total pct of total employment modeled ilo estimate,0.26498,True,0.24333,True
59,wage and salaried workers total pct of total employment modeled ilo estimate,-0.26498,True,-0.24333,True
60,individuals using the internet pct of population,-0.26435,True,-0.30049,True
61,vulnerable employment female pct of female employment modeled ilo estimate,0.26373,True,0.24335,True
62,vulnerable employment male pct of male employment modeled ilo estimate,0.26368,True,0.23408,True
63,self-employed female pct of female employment modeled ilo estimate,0.26337,True,0.24209,True
64,wage and salaried workers female pct of female employment modeled ilo estimate,-0.26337,True,-0.24209,True
65,self-employed male pct of male employment modeled ilo estimate,0.26059,True,0.23648,True
66,wage and salaried workers male pct of male employment modeled ilo estimate,-0.26059,True,-0.23648,True
