#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,mobile cellular subscriptions per 100 people,0.57876,True,0.57995,True,Decision
2,life expectancy at birth female years,0.56056,True,0.52882,True,Decision
3,life expectancy at birth total years,0.55505,True,0.52345,True,Decision
4,survival to age 65 female pct of cohort,0.5468,True,0.5122,True,Decision
5,life expectancy at birth male years,0.54436,True,0.52075,True,Decision
6,employment in agriculture female pct of female employment modeled ilo estimate,-0.5419,True,-0.5276,True,Decision
7,mortality rate infant per 1000 live births,-0.53979,True,-0.52909,True,Decision
8,employment in services female pct of female employment modeled ilo estimate,0.53841,True,0.52248,True,Decision
9,mortality rate neonatal per 1000 live births,-0.52853,True,-0.51917,True,Decision
10,mortality rate under-5 per 1000 live births,-0.52827,True,-0.53125,True,Decision
11,employment in agriculture pct of total employment modeled ilo estimate,-0.52716,True,-0.51015,True,Decision
12,vulnerable employment female pct of female employment modeled ilo estimate,-0.52479,True,-0.50218,True,Decision
13,self-employed female pct of female employment modeled ilo estimate,-0.52392,True,-0.50072,True,Decision
14,wage and salaried workers female pct of female employment modeled ilo estimate,0.52392,True,0.50072,True,Decision
15,mortality rate adult female per 1000 female adults,-0.51903,True,-0.49696,True,Decision
16,individuals using the internet pct of population,0.51628,True,0.5547,True,Decision
17,survival to age 65 male pct of cohort,0.51456,True,0.49643,True,Decision
18,self-employed total pct of total employment modeled ilo estimate,-0.51426,True,-0.48605,True,Decision
19,wage and salaried workers total pct of total employment modeled ilo estimate,0.51426,True,0.48605,True,Decision
20,employment in services pct of total employment modeled ilo estimate,0.51423,True,0.49989,True,Decision
21,birth rate crude per 1000 people,-0.50963,True,-0.45826,True,Decision
22,vulnerable employment total pct of total employment modeled ilo estimate,-0.50904,True,-0.48073,True,Decision
23,population ages 0-4 male pct of male population,-0.50648,True,-0.46457,True,Decision
24,age dependency ratio young pct of working-age population,-0.50609,True,-0.46088,True,Decision
25,prevalence of anemia among children pct of children under 5,-0.50315,True,-0.45588,True,Decision
26,population ages 0-14 male pct of total,-0.5015,True,-0.47458,True,Decision
27,employment in agriculture male pct of male employment modeled ilo estimate,-0.50074,True,-0.47745,True,Decision
28,population ages 5-9 male pct of male population,-0.50056,True,-0.4747,True,Decision
29,fertility rate total births per woman,-0.50047,True,-0.4218,True,Decision
30,wage and salaried workers male pct of male employment modeled ilo estimate,0.49798,True,0.47281,True,Decision
31,self-employed male pct of male employment modeled ilo estimate,-0.49798,True,-0.47281,True,Decision
32,population ages 0-14 pct of total,-0.4965,True,-0.46783,True,Decision
33,access to electricity pct of population,0.49424,True,0.45824,True,Decision
34,vulnerable employment male pct of male employment modeled ilo estimate,-0.49246,True,-0.46323,True,Decision
35,population ages 0-4 female pct of female population,-0.48455,True,-0.44259,True,Decision
36,population ages 0-14 female pct of total,-0.48066,True,-0.45053,True,Decision
37,population ages 5-9 female pct of female population,-0.47929,True,-0.45225,True,Decision
38,age dependency ratio pct of working-age population,-0.47643,True,-0.4161,True,Decision
39,maternal mortality ratio modeled estimate per 100000 live births,-0.47333,True,-0.49461,True,Decision
40,urban population pct of total,0.47199,True,0.47416,True,Decision
41,rural population pct of total population,-0.47199,True,-0.47416,True,Decision
42,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.47151,True,-0.4598,True,Decision
43,mortality rate adult male per 1000 male adults,-0.46938,True,-0.45915,True,Decision
44,employment in services male pct of male employment modeled ilo estimate,0.46902,True,0.45703,True,Decision
45,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.46876,True,-0.45828,True,Decision
46,population ages 15-64 male pct of total,0.46764,True,0.43169,True,Decision
47,population ages 10-14 male pct of male population,-0.46405,True,-0.45401,True,Decision
48,immunization dpt pct of children ages 12-23 months,0.46271,True,0.3953,True,Decision
49,population ages 15-64 pct of total,0.45922,True,0.41587,True,Decision
50,population ages 50-54 male pct of male population,0.45782,True,0.457,True,Decision
51,lifetime risk of maternal death pct,-0.45637,True,-0.49701,True,Decision
52,adolescent fertility rate births per 1000 women ages 15-19,-0.45456,True,-0.39192,True,Decision
53,immunization measles pct of children ages 12-23 months,0.45319,True,0.39533,True,Decision
54,access to electricity urban pct of urban population,0.45092,True,0.43777,True,Decision
55,population ages 45-49 male pct of male population,0.45056,True,0.43424,True,Decision
56,population ages 10-14 female pct of female population,-0.4501,True,-0.44731,True,Decision
57,population ages 55-59 male pct of male population,0.44599,True,0.46873,True,Decision
58,renewable energy consumption pct of total final energy consumption,-0.44273,True,-0.40185,True,Decision
59,population ages 15-64 female pct of total,0.44021,True,0.39154,True,Decision
60,population ages 50-54 female pct of female population,0.43047,True,0.43106,True,Decision
61,contributing family workers total pct of total employment modeled ilo estimate,-0.42442,True,-0.43937,True,Decision
62,employment in industry male pct of male employment modeled ilo estimate,0.42272,True,0.39624,True,Decision
63,population ages 55-59 female pct of female population,0.41914,True,0.4277,True,Decision
64,contributing family workers male pct of male employment modeled ilo estimate,-0.41615,True,-0.4329,True,Decision
65,population ages 45-49 female pct of female population,0.41504,True,0.41359,True,Decision
66,gdp per person employed constant 2011 ppp  ,0.41174,True,0.47021,True,Decision
67,contributing family workers female pct of female employment modeled ilo estimate,-0.4092,True,-0.42538,True,Decision
68,population ages 40-44 male pct of male population,0.40739,True,0.39893,True,Decision
69,population ages 80 and above male pct of male population,0.40736,True,0.4477,True,Decision
70,access to electricity rural pct of rural population,0.40342,True,0.38856,True,Decision
