#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,total natural resources rents pct of gdp,0.3459,True,0.2417,True,Decision
2,access to electricity pct of population,-0.31831,True,-0.23645,True,Decision
3,access to electricity urban pct of urban population,-0.31417,True,-0.24783,True,Decision
4,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.29975,True,0.27126,True,Decision
5,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.2977,True,0.27032,True,Decision
6,prevalence of anemia among children pct of children under 5,0.28606,True,0.25166,True,Decision
7,lifetime risk of maternal death pct,0.27857,True,0.2284,True,Decision
8,mortality rate under-5 per 1000 live births,0.27842,True,0.23351,True,Decision
9,maternal mortality ratio modeled estimate per 100000 live births,0.27528,True,0.22779,True,Decision
10,oil rents pct of gdp,0.27431,True,0.0381,True,Decision
11,population ages 55-59 female pct of female population,-0.27312,True,-0.28435,True,Decision
12,life expectancy at birth female years,-0.27154,True,-0.2252,True,Decision
13,immunization measles pct of children ages 12-23 months,-0.26899,True,-0.20705,True,Decision
14,immunization dpt pct of children ages 12-23 months,-0.26881,True,-0.18466,True,Decision
15,mortality rate infant per 1000 live births,0.26807,True,0.23101,True,Decision
16,access to electricity rural pct of rural population,-0.26442,True,-0.2374,True,Decision
17,population ages 60-64 female pct of female population,-0.26375,True,-0.27771,True,Decision
18,survival to age 65 female pct of cohort,-0.26215,True,-0.19913,True,Decision
19,fertility rate total births per woman,0.2604,True,0.16081,True,Decision
20,life expectancy at birth total years,-0.25937,True,-0.20736,True,Decision
21,mortality rate adult female per 1000 female adults,0.25838,True,0.19011,True,Decision
22,population ages 0-4 female pct of female population,0.25807,True,0.20596,True,Decision
23,population ages 5-9 female pct of female population,0.25422,True,0.23459,True,Decision
24,population ages 0-14 female pct of total,0.25027,True,0.22569,True,Decision
25,population ages 60-64 male pct of male population,-0.24393,True,-0.25803,True,Decision
26,population ages 50-54 female pct of female population,-0.24325,True,-0.2469,True,Decision
27,birth rate crude per 1000 people,0.24146,True,0.15147,True,Decision
28,life expectancy at birth male years,-0.24115,True,-0.1893,True,Decision
29,age dependency ratio young pct of working-age population,0.23939,True,0.17662,True,Decision
30,mortality rate neonatal per 1000 live births,0.23575,True,0.22126,True,Decision
31,population ages 55-59 male pct of male population,-0.23272,True,-0.23784,True,Decision
32,population ages 45-49 female pct of female population,-0.22875,True,-0.21793,True,Decision
33,population ages 80 and above male pct of male population,-0.22499,True,-0.27582,True,Decision
34,adolescent fertility rate births per 1000 women ages 15-19,0.22174,True,0.11238,True,Decision
35,population ages 0-14 pct of total,0.22073,True,0.1832,True,Decision
36,population ages 10-14 female pct of female population,0.21893,True,0.22028,True,Decision
37,population ages 15-64 female pct of total,-0.21829,True,-0.14878,True,Decision
38,forest rents pct of gdp,0.21818,True,0.10307,True,Decision
39,population ages 0-4 male pct of male population,0.21618,True,0.14696,True,Decision
40,renewable energy consumption pct of total final energy consumption,0.21463,True,0.12573,True,Decision
41,age dependency ratio pct of working-age population,0.21187,True,0.11574,True,Decision
42,population ages 65 and above male pct of total,-0.21141,True,-0.25656,True,Decision
43,population ages 65 and above pct of total,-0.21104,True,-0.25853,True,Decision
44,employers male pct of male employment modeled ilo estimate,-0.20937,True,-0.23318,True,Decision
45,population ages 65 and above female pct of total,-0.20898,True,-0.25908,True,Decision
46,population ages 80 and above female pct of female population,-0.20755,True,-0.27183,True,Decision
47,population ages 75-79 male pct of male population,-0.20724,True,-0.25937,True,Decision
48,population ages 65-69 female pct of female population,-0.20708,True,-0.25036,True,Decision
49,population ages 70-74 male pct of male population,-0.20542,True,-0.24783,True,Decision
50,population ages 70-74 female pct of female population,-0.20509,True,-0.24766,True,Decision
51,survival to age 65 male pct of cohort,-0.20469,True,-0.16702,True,Decision
52,age dependency ratio old pct of working-age population,-0.2046,True,-0.26258,True,Decision
53,population ages 5-9 male pct of male population,0.20354,True,0.18183,True,Decision
54,population ages 0-14 male pct of total,0.20044,True,0.17294,True,Decision
55,population ages 75-79 female pct of female population,-0.1986,True,-0.25552,True,Decision
56,population ages 65-69 male pct of male population,-0.19555,True,-0.23947,True,Decision
57,employers total pct of total employment modeled ilo estimate,-0.19462,True,-0.22493,True,Decision
58,employment in industry male pct of male employment modeled ilo estimate,-0.19119,True,-0.18459,True,Decision
59,mortality rate adult male per 1000 male adults,0.18845,True,0.15015,True,Decision
60,population ages 50-54 male pct of male population,-0.18247,True,-0.18191,True,Decision
61,urban population growth annual pct,0.18243,True,0.20828,True,Decision
62,employers female pct of female employment modeled ilo estimate,-0.17854,True,-0.2182,True,Decision
63,population male pct of total,0.17594,True,0.10379,True,Decision
64,population female pct of total,-0.17594,True,-0.10379,True,Decision
65,employment in agriculture pct of total employment modeled ilo estimate,0.17589,True,0.12623,True,Decision
66,population growth annual pct,0.17535,True,0.21263,True,Decision
67,vulnerable employment total pct of total employment modeled ilo estimate,0.17399,True,0.09959,True,Decision
68,population ages 15-64 pct of total,-0.17392,True,-0.11509,True,Decision
69,employment in agriculture female pct of female employment modeled ilo estimate,0.1691,True,0.0803,True,Decision
70,vulnerable employment female pct of female employment modeled ilo estimate,0.16759,True,0.09972,True,Decision
71,mobile cellular subscriptions per 100 people,-0.166,True,-0.18749,True,Decision
72,vulnerable employment male pct of male employment modeled ilo estimate,0.16262,True,0.09325,True,Decision
73,wage and salaried workers female pct of female employment modeled ilo estimate,-0.16167,True,-0.09644,True,Decision
74,self-employed female pct of female employment modeled ilo estimate,0.16167,True,0.09644,True,Decision
75,employment in services pct of total employment modeled ilo estimate,-0.16137,True,-0.14013,True,Decision
76,rural population growth annual pct,0.16134,True,0.2032,True,Decision
77,self-employed total pct of total employment modeled ilo estimate,0.16115,True,0.09684,True,Decision
78,wage and salaried workers total pct of total employment modeled ilo estimate,-0.16115,True,-0.09684,True,Decision
79,employment in agriculture male pct of male employment modeled ilo estimate,0.15957,True,0.11055,True,Decision
80,population ages 10-14 male pct of male population,0.15852,True,0.17493,True,Decision
81,population ages 45-49 male pct of male population,-0.15563,True,-0.13703,True,Decision
82,population ages 15-64 male pct of total,-0.15393,True,-0.09981,True,Decision
83,crop production index 2004-2006 = 100,-0.14754,True,-0.24325,True,Decision
84,population ages 15-19 female pct of female population,0.14555,True,0.15317,True,Decision
85,contributing family workers male pct of male employment modeled ilo estimate,0.14536,True,0.04512,True,Decision
86,individuals using the internet pct of population,-0.14511,True,-0.1828,True,Decision
