#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,number of maternal deaths,0.06153,True,0.07208,True
2,mobile cellular subscriptions per 100 people,0.05628,True,0.05829,True
3,forest area sq. km,0.04916,True,0.06795,True
4,individuals using the internet pct of population,0.04576,True,0.04873,True
5,co2 emissions from gaseous fuel consumption kt,0.04412,True,0.11162,True
6,employment in services female pct of female employment modeled ilo estimate,0.04342,True,0.04188,True
7,agricultural land sq. km,0.04289,True,0.05747,True
9,secondary education duration years,-0.03901,True,-0.04029,True
10,employment in services pct of total employment modeled ilo estimate,0.03878,True,0.0376,True
11,urban population growth annual pct,-0.03347,False,-0.03802,True
16,co2 emissions from liquid fuel consumption kt,0.03144,False,0.09618,True
19,employers female pct of female employment modeled ilo estimate,0.03067,False,0.03513,True
38,population ages 80 and above male pct of male population,0.02563,False,0.03606,True
51,rural population,-0.02247,False,-0.03426,True
65,number of infant deaths,-0.02029,False,-0.03789,True
66,number of under-five deaths,-0.02011,False,-0.03906,True
71,number of neonatal deaths,-0.01893,False,-0.03464,True
75,capture fisheries production metric tons,0.01847,False,0.04904,True
101,co2 emissions kt,0.01482,False,0.09819,True
152,permanent cropland pct of land area,0.00715,False,0.04445,True
159,co2 emissions from solid fuel consumption kt,0.00581,False,0.10287,True
165,lifetime risk of maternal death pct,-0.00474,False,0.05612,True
187,maternal mortality ratio modeled estimate per 100000 live births,-0.00093,False,0.05311,True
192,total fisheries production metric tons,6e-05,False,0.05894,True
8,employment in agriculture female pct of female employment modeled ilo estimate,-0.03908,True,-0.02976,False
12,contributing family workers female pct of female employment modeled ilo estimate,-0.03289,False,-0.02398,False
13,mortality rate under-5 per 1000 live births,-0.03196,False,-0.01491,False
14,life expectancy at birth female years,0.03154,False,0.02235,False
15,access to electricity pct of population,0.03145,False,0.0243,False
17,death rate crude per 1000 people,-0.03121,False,-0.02824,False
18,contributing family workers total pct of total employment modeled ilo estimate,-0.03101,False,-0.02446,False
20,life expectancy at birth total years,0.03018,False,0.02123,False
21,mortality rate infant per 1000 live births,-0.03006,False,-0.01459,False
22,employment in services male pct of male employment modeled ilo estimate,0.02956,False,0.02884,False
23,lifetime risk of maternal death 1 in  rate varies by country,-0.02955,False,0.00131,False
24,contributing family workers male pct of male employment modeled ilo estimate,-0.02857,False,-0.02232,False
25,access to electricity urban pct of urban population,0.02849,False,0.02386,False
26,employment in agriculture pct of total employment modeled ilo estimate,-0.02822,False,-0.02166,False
27,life expectancy at birth male years,0.02799,False,0.0202,False
28,access to electricity rural pct of rural population,0.02797,False,0.02544,False
29,population ages 50-54 female pct of female population,0.02769,False,0.02541,False
30,survival to age 65 female pct of cohort,0.02764,False,0.01239,False
31,primary school starting age years,-0.02732,False,-0.02869,False
32,oil rents pct of gdp,-0.02729,False,-0.0285,False
33,immunization measles pct of children ages 12-23 months,0.027,False,0.02014,False
34,fertility rate total births per woman,-0.02684,False,-0.00605,False
35,population ages 55-59 female pct of female population,0.02651,False,0.03116,False
36,population growth annual pct,-0.02619,False,-0.02859,False
37,total natural resources rents pct of gdp,-0.02606,False,-0.02444,False
39,cereal yield kg per hectare,0.02521,False,0.01617,False
40,mortality rate neonatal per 1000 live births,-0.02516,False,-0.00959,False
41,forest area pct of land area,0.02476,False,0.02186,False
42,rural population growth annual pct,-0.0245,False,-0.02801,False
43,birth rate crude per 1000 people,-0.0241,False,-0.00812,False
44,survival to age 65 male pct of cohort,0.02394,False,0.01398,False
45,immunization dpt pct of children ages 12-23 months,0.02352,False,0.01781,False
46,population ages 65-69 female pct of female population,0.02341,False,0.02521,False
47,population ages 65-69 male pct of male population,0.02313,False,0.02386,False
48,population ages 60-64 female pct of female population,0.02296,False,0.03356,False
49,population ages 0-4 female pct of female population,-0.02283,False,-0.01069,False
50,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.02248,False,-0.01404,False
52,livestock production index 2004-2006 = 100,-0.02231,False,-0.03084,False
53,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.02219,False,-0.01406,False
54,mineral rents pct of gdp,0.02205,False,0.00384,False
55,age dependency ratio young pct of working-age population,-0.02178,False,-0.00266,False
56,primary education duration years,0.02139,False,0.01984,False
57,food production index 2004-2006 = 100,-0.02098,False,-0.0339,False
58,age dependency ratio pct of working-age population,-0.0209,False,-0.00245,False
59,population ages 15-64 female pct of total,0.02089,False,0.01104,False
60,population ages 55-59 male pct of male population,0.0206,False,0.02552,False
61,population ages 0-4 male pct of male population,-0.02053,False,-0.00694,False
62,employers total pct of total employment modeled ilo estimate,0.02048,False,0.02007,False
63,employers male pct of male employment modeled ilo estimate,0.02045,False,0.01582,False
64,population ages 50-54 male pct of male population,0.02036,False,0.01875,False
67,employment in agriculture male pct of male employment modeled ilo estimate,-0.01915,False,-0.0133,False
68,population ages 0-14 male,-0.01912,False,-0.02585,False
69,population ages 0-14 total,-0.01906,False,-0.02582,False
70,population ages 0-14 female,-0.01899,False,-0.02601,False
72,population total,-0.01875,False,-0.02683,False
73,co2 emissions from liquid fuel consumption pct of total,0.0187,False,0.03179,False
74,population ages 0-14 female pct of total,-0.01863,False,-0.00981,False
76,vulnerable employment female pct of female employment modeled ilo estimate,-0.01825,False,-0.01004,False
77,employment to population ratio ages 15-24 female pct modeled ilo estimate,-0.01825,False,-0.02023,False
78,population ages 60-64 male pct of male population,0.01796,False,0.02843,False
79,population male,-0.01792,False,-0.0237,False
80,population ages 15-64 male,-0.01786,False,-0.02331,False
81,coal rents pct of gdp,-0.01778,False,-0.02111,False
82,population ages 15-64 total,-0.01774,False,-0.02306,False
83,population ages 15-64 female,-0.01762,False,-0.02237,False
84,population female,-0.0176,False,-0.02374,False
85,wage and salaried workers female pct of female employment modeled ilo estimate,0.0171,False,0.00999,False
86,self-employed female pct of female employment modeled ilo estimate,-0.0171,False,-0.00999,False
87,rural population pct of total population,-0.01707,False,-0.0183,False
88,urban population pct of total,0.01707,False,0.0183,False
89,labor force participation rate for ages 15-24 female pct modeled ilo estimate,-0.01694,False,-0.01937,False
90,population ages 0-14 pct of total,-0.0169,False,-0.00608,False
91,population ages 65 and above male pct of total,0.01677,False,0.0249,False
92,population ages 5-9 female pct of female population,-0.01666,False,-0.00801,False
93,vulnerable employment total pct of total employment modeled ilo estimate,-0.01625,False,-0.00765,False
94,forest rents pct of gdp,-0.01611,False,0.00566,False
95,employment in industry female pct of female employment modeled ilo estimate,-0.01591,False,-0.01503,False
96,arable land pct of land area,-0.01586,False,0.00542,False
97,population ages 0-14 male pct of total,-0.0158,False,-0.00495,False
98,population ages 15-64 pct of total,0.01553,False,0.00221,False
99,self-employed total pct of total employment modeled ilo estimate,-0.01482,False,-0.0092,False
100,wage and salaried workers total pct of total employment modeled ilo estimate,0.01482,False,0.0092,False
102,crop production index 2004-2006 = 100,-0.0147,False,-0.02648,False
103,age dependency ratio old pct of working-age population,0.01466,False,0.02457,False
104,prevalence of anemia among children pct of children under 5,-0.01463,False,-0.00162,False
105,vulnerable employment male pct of male employment modeled ilo estimate,-0.01452,False,-0.00648,False
106,mortality rate adult female per 1000 female adults,-0.0144,False,0.01467,False
107,population ages 35-39 male pct of male population,-0.01429,False,-0.01919,False
108,population ages 5-9 male pct of male population,-0.01381,False,-0.00299,False
