Attribute Name,Pointbiserial,pvalue,pvalue < 0.005,Spearman,pvalue,pvalue < 0.005
total natural resources rents pct of gdp,0.4044348315895211,1.9271769884319534e-267,True,0.30641968560292204,1.4403904145943732e-148,True
oil rents pct of gdp,0.3212690566161282,6.1872426509006434e-164,True,0.11657932253073452,4.0153156500361103e-22,True
population male pct of total,0.27926229206925557,1.0615873181576212e-122,True,0.1871461165750629,6.2564867804459454e-55,True
population female pct of total,-0.2792622920692625,1.0615873181418715e-122,True,-0.1871461165750629,6.2564867804459454e-55,True
prevalence of anemia among women of reproductive age pct of women ages 15-49,0.27445986240526815,2.032083268702765e-118,True,0.26310295593074895,1.239654749894364e-108,True
prevalence of anemia among non-pregnant women pct of women ages 15-49,0.2730804965100214,3.325833793436074e-117,True,0.2627715829850502,2.353384280140826e-108,True
labor force participation rate for ages 15-24 male pct modeled ilo estimate,-0.26816722241400376,6.146462051044908e-113,True,-0.22788533421846655,2.985842663973074e-81,True
population ages 55-59 female pct of female population,-0.247850681973331,3.121056832948261e-96,True,-0.25551214161801017,2.3449664427601087e-102,True
access to electricity urban pct of urban population,-0.24713724142913315,1.1321011999508076e-95,True,-0.24209507981744746,9.058429123176911e-92,True
access to electricity pct of population,-0.24548568503690754,2.1994537518004444e-94,True,-0.21929963441448813,3.0909190826898776e-75,True
population ages 0-4 female pct of female population,0.24462430305718907,1.0243636613037936e-93,True,0.23898838116394608,2.0755437836439745e-89,True
population ages 50-54 female pct of female population,-0.24370473409104412,5.25797136075088e-93,True,-0.2374414730840395,3.017108295230562e-88,True
population ages 5-9 female pct of female population,0.24073471671789856,9.878238735652558e-91,True,0.23199084582453325,3.2262688445114676e-84,True
population ages 60-64 female pct of female population,-0.23567975100908284,6.212068494419556e-87,True,-0.2508087741774758,1.4280036452770177e-98,True
prevalence of anemia among children pct of children under 5,0.2326873846640453,9.990969098340072e-85,True,0.2194471552734071,2.4483678081414454e-75,True
employment to population ratio ages 15-24 male pct modeled ilo estimate,-0.23260998426926466,1.1383146845273622e-84,True,-0.21538303110316243,1.4124665000651296e-72,True
population ages 0-14 female pct of total,0.23112953124481594,1.36737501042882e-83,True,0.22178847541425484,5.9231946895731605e-77,True
population ages 65-69 female pct of female population,-0.22859836779614817,9.20615405444318e-82,True,-0.2687291882013071,2.018984197373512e-113,True
labor force participation rate for ages 15-24 total pct modeled ilo estimate,-0.22717447371569283,9.610462040262384e-81,True,-0.19309263445085575,2.0000802136660225e-58,True
population ages 70-74 male pct of male population,-0.22418266529937825,1.2596687391902976e-78,True,-0.25999681517954343,4.865095872780845e-106,True
population ages 65-69 male pct of male population,-0.22345587018504384,4.073765937728083e-78,True,-0.2586329322521954,6.529837828062264e-105,True
population ages 45-49 female pct of female population,-0.22196879170828224,4.439100125403777e-77,True,-0.21292658032959658,6.188002249308713e-71,True
population ages 70-74 female pct of female population,-0.22025705739796694,6.79033715618607e-76,True,-0.26009111437507604,4.0631631960764696e-106,True
population ages 65 and above male pct of total,-0.21991656636836768,1.1650041788449176e-75,True,-0.2630068098322164,1.4931934775516554e-108,True
population ages 60-64 male pct of male population,-0.21925574436852138,3.3127242922289193e-75,True,-0.2270895169522426,1.1048441311700825e-80,True
population ages 65 and above pct of total,-0.21902354807369656,4.778641531291154e-75,True,-0.2636880825072696,3.9879074962150224e-109,True
mortality rate adult female per 1000 female adults,0.2188144710894295,6.643891409285201e-75,True,0.1737611678037156,1.7367373757826922e-47,True
labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,-0.21756629549604742,4.717553678727033e-74,True,-0.18158654791739157,9.099309624460677e-52,True
population ages 65 and above female pct of total,-0.2159651228091198,5.727613879351558e-73,True,-0.261157609295709,5.270907870297599e-107,True
population ages 75-79 male pct of male population,-0.2130819443090411,4.879024580161407e-71,True,-0.2655243531304416,1.113885009973922e-110,True
population ages 75-79 female pct of female population,-0.2116368684972286,4.417939149011544e-70,True,-0.25929570177540656,1.8522300128797866e-105,True
age dependency ratio old pct of working-age population,-0.21086696027473964,1.419512866891405e-69,True,-0.2716968262413295,5.401807174489456e-116,True
