#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
387,total natural resources rents pct of gdp,-0.39720559213669054,True,-0.4283466408384502,True
388,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.3730917181474405,True,-0.3838165833643123,True
389,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.3727095716376237,True,-0.3831199828529989,True
390,population ages 80 and above male pct of male population,0.3523970583358013,True,0.37900790366218956,True
391,population ages 65 and above male pct of total,0.3466636501654741,True,0.3707807511455083,True
392,population ages 65 and above pct of total,0.3465945889498805,True,0.364901602832241,True
393,population ages 80 and above female pct of female population,0.34604219373637607,True,0.3677267486233061,True
394,life expectancy at birth female years,0.34494499084561725,True,0.3599699408793635,True
395,population ages 70-74 male pct of male population,0.3437708050342999,True,0.3653619506166001,True
396,age dependency ratio old pct of working-age population,0.3436123186070246,True,0.36861122226335524,True
397,population ages 65 and above female pct of total,0.343254932890599,True,0.35743955623613083,True
398,population ages 55-59 female pct of female population,0.34286680201097924,True,0.34679887075417054,True
399,population ages 75-79 male pct of male population,0.3426146953577383,True,0.370925638860185,True
400,population ages 75-79 female pct of female population,0.34039457230412723,True,0.35636919824395685,True
401,prevalence of anemia among children pct of children under 5,-0.3377044952187592,True,-0.3378454600868451,True
402,population ages 70-74 female pct of female population,0.3350056107701399,True,0.3504284726519519,True
403,life expectancy at birth total years,0.3317797305597,True,0.33090797561303154,True
404,population ages 0-4 female pct of female population,-0.3300082127061062,True,-0.3295641478031177,True
405,fixed telephone subscriptions per 100 people,0.32646744564706026,True,0.35637554769892615,True
406,population ages 65-69 male pct of male population,0.3261637079499363,True,0.35287378212738163,True
407,population ages 55-59 male pct of male population,0.3261381413163399,True,0.33047792827636274,True
408,employment in agriculture female pct of female employment modeled ilo estimate,-0.32184462259557844,True,-0.2815061186249678,True
409,population ages 65-69 female pct of female population,0.32175409363179003,True,0.3436131521277168,True
410,survival to age 65 female pct of cohort,0.3216269032668517,True,0.3305627207605185,True
411,oil rents pct of gdp,-0.3214982142033181,True,-0.23405306714927435,True
412,population ages 5-9 female pct of female population,-0.3198277941472716,True,-0.3159279088202168,True
413,population ages 0-14 female pct of total,-0.31883827344415727,True,-0.3129020606152984,True
414,population ages 60-64 male pct of male population,0.31555993880473776,True,0.32111571223129387,True
415,population ages 60-64 female pct of female population,0.31409131233173765,True,0.3202679544553049,True
416,birth rate crude per 1000 people,-0.3139147019905588,True,-0.29852138561872543,True
417,population ages 50-54 female pct of female population,0.31351872324541286,True,0.30869883508350154,True
418,urban population growth annual pct,-0.3132653102531905,True,-0.3715078696097852,True
419,vulnerable employment female pct of female employment modeled ilo estimate,-0.31316518706464785,True,-0.26890630821985273,True
420,employment in services pct of total employment modeled ilo estimate,0.3128924110641222,True,0.3160772226879317,True
421,life expectancy at birth male years,0.3124011621933565,True,0.31315175479124924,True
422,access to electricity pct of population,0.31142071138058003,True,0.3324919318373296,True
423,self-employed female pct of female employment modeled ilo estimate,-0.30753241907322837,True,-0.2666816301511271,True
424,wage and salaried workers female pct of female employment modeled ilo estimate,0.3075323769588326,True,0.2666816301511271,True
425,employment in services female pct of female employment modeled ilo estimate,0.30583293148246454,True,0.27254419087319304,True
426,fertility rate total births per woman,-0.30351114485904407,True,-0.2885178690295606,True
427,employment in agriculture pct of total employment modeled ilo estimate,-0.2987993408300757,True,-0.3078163254271129,True
428,mortality rate adult female per 1000 female adults,-0.29466346888266143,True,-0.2910184982683223,True
429,population ages 0-4 male pct of male population,-0.2944828560956028,True,-0.2837951066075334,True
430,mortality rate infant per 1000 live births,-0.29427855946302617,True,-0.32771016965508765,True
431,population ages 0-14 pct of total,-0.2932377466677105,True,-0.2785399633381577,True
432,access to electricity urban pct of urban population,0.29287294101272293,True,0.3256795484567128,True
433,urban population pct of total,0.29189864736906135,True,0.28566393081448876,True
434,rural population pct of total population,-0.29189864736906146,True,-0.28566393081448876,True
435,vulnerable employment total pct of total employment modeled ilo estimate,-0.28983767504542396,True,-0.24597946912143048,True
436,self-employed total pct of total employment modeled ilo estimate,-0.28970582099051156,True,-0.25262735671698866,True
437,wage and salaried workers total pct of total employment modeled ilo estimate,0.28970580098362536,True,0.25262735671698866,True
438,mortality rate under-5 per 1000 live births,-0.2874292821084006,True,-0.32912119213751717,True
439,age dependency ratio young pct of working-age population,-0.28553740066364874,True,-0.26444452908680993,True
440,mortality rate neonatal per 1000 live births,-0.28386494462767076,True,-0.31833971343199025,True
441,population ages 10-14 female pct of female population,-0.28211316748202325,True,-0.28131094088134945,True
442,population ages 50-54 male pct of male population,0.27640539241974216,True,0.27548727797699807,True
443,survival to age 65 male pct of cohort,0.2745988487032728,True,0.27713488188971125,True
444,population ages 5-9 male pct of male population,-0.27449172692304963,True,-0.2710928994489062,True
445,population ages 0-14 male pct of total,-0.2744048494399088,True,-0.2720577199125487,True
446,maternal mortality ratio modeled estimate per 100000 live births,-0.2714229539070969,True,-0.3041251249500707,True
